"","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w","trace_name"
"1",0.95906432748538,171,0.955414012738854,157,0.315014153658217,198,0.295519580419043,198,"1633748"
"2",0.947643979057592,191,0.947674418604651,172,0.490973588716724,198,0.453010797166836,198,"223811"
"3",0.947916666666667,96,0.941860465116279,86,0.115352834869416,198,0.107373679700608,198,"1948107"
"4",0.961748633879781,183,0.958579881656805,169,0.387818270039996,198,0.366661305358629,198,"1962655"
"5",0.879310344827586,58,0.844444444444444,45,0.0582635379493447,198,0.0472222380033224,198,"586116"
"6",0.958041958041958,143,0.954545454545455,132,0.227219913179026,198,0.20637999767542,198,"964155"
"7",0.946808510638298,188,0.94047619047619,168,0.386730330077838,198,0.359650599531232,198,"1942922"
"8",NA,0,NA,0,0,192,0,192,"929647"
"9",0.964912280701754,171,0.96875,160,0.292792843472961,198,0.279992645124877,198,"1338378"
"10",0,5,0,1,0,196,0,196,"633346"
"11",0.956521739130435,46,0.952380952380952,42,0.0514475692457778,198,0.0464090441594754,198,"1650389"
"12",0.966292134831461,178,0.964285714285714,168,0.284015189994717,198,0.273573110125107,198,"1641245"
"13",0.888888888888889,9,0.888888888888889,9,0.0130606173541231,180,0.0130606173541231,180,"1663289"
"14",0.925373134328358,67,0.915254237288136,59,0.0658519683594379,198,0.0533756314029409,198,"618849"
"15",0.959349593495935,123,0.964912280701754,114,0.202025543490643,198,0.193370611673686,198,"1054084"
"16",0.964467005076142,197,0.961748633879781,183,0.510629979388395,198,0.482097264561581,198,"811237"
"17",0.969387755102041,196,0.967391304347826,184,0.410204421650793,198,0.392340383174533,198,"955492"
"18",0.94047619047619,84,0.945945945945946,74,0.0900838097097539,197,0.0782043236472654,197,"948898"
"19",0.898876404494382,89,0.905405405405405,74,0.0886443244347985,196,0.0795817991624379,196,"8383"
"20",0.555555555555556,27,0.375,8,0.00414082821300702,196,0.000701641340101746,196,"737498"
"21",0.963917525773196,194,0.961111111111111,180,0.462160249278197,198,0.435309720978987,198,"1041019"
