"","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w","trace_name"
"1",0.994949494949495,198,0.994897959183674,196,0.227204434126376,198,0.225645537543759,198,"1633748"
"2",0.984848484848485,198,0.984375,192,0.449862356363144,198,0.433216278983868,198,"223811"
"3",NA,0,NA,0,0,198,0,198,"1948107"
"4",0.96969696969697,198,0.973262032085562,187,0.395114955431303,198,0.374774657261055,198,"1962655"
"5",0.666666666666667,3,0.666666666666667,3,0.00447537729679865,198,0.00447537729679865,198,"586116"
"6",0.900584795321637,171,0.9375,144,0.370692141023793,198,0.325834224393989,198,"964155"
"7",0.924242424242424,198,0.941520467836257,171,0.496895684012318,198,0.434031135682796,198,"1942922"
"8",NA,0,NA,0,0,192,0,192,"929647"
"9",0.94949494949495,198,0.949438202247191,178,0.37865048666755,198,0.340478142482618,198,"1338378"
"10",NA,0,NA,0,0,196,0,196,"633346"
"11",0.904761904761905,126,0.895238095238095,105,0.166009728433199,198,0.141268250341898,198,"1650389"
"12",0.974025974025974,154,0.972972972972973,148,0.255277496591221,198,0.247439060316975,198,"1641245"
"13",NA,0,NA,0,0,180,0,180,"1663289"
"14",NA,0,NA,0,0,198,0,198,"618849"
"15",0.922222222222222,90,0.924050632911392,79,0.086768465792756,198,0.0770406066576811,198,"1054084"
"16",0.94949494949495,198,0.943820224719101,178,0.612138020629728,198,0.549935904782087,198,"811237"
"17",0.964646464646465,198,0.96195652173913,184,0.524851560882799,198,0.487176321589065,198,"955492"
"18",0.871794871794872,39,0.838709677419355,31,0.0466868245093105,197,0.0356132992122761,197,"948898"
"19",0.891891891891892,37,0.90625,32,0.0854979425285138,196,0.0735605191974643,196,"8383"
"20",NA,0,NA,0,0,196,0,196,"737498"
"21",0.95959595959596,198,0.956043956043956,182,0.625382912878202,198,0.574863530344177,198,"1041019"
"22",NA,0,NA,0,0,197,0,197,"1985204"
"23",NA,0,NA,0,0,198,0,198,"948601"
"24",NA,0,NA,0,0,198,0,198,"1331037"
"25",0.95959595959596,198,0.956043956043956,182,0.307241587387699,198,0.275436399168955,198,"1669601"
"26",0.846153846153846,13,0.818181818181818,11,0.0175498431903016,197,0.015603926339018,197,"893041"
"27",NA,0,NA,0,0,198,0,198,"847832"
"28",0.666666666666667,9,0.666666666666667,6,0.0101495338629745,198,0.00659005419997863,198,"1102195"
"29",0.939655172413793,116,0.961538461538462,104,0.131327631792132,198,0.122843724217341,198,"592977"
"30",0.939393939393939,198,0.948863636363636,176,0.539039661798768,198,0.491949147017702,198,"1471895"
"31",0.95959595959596,198,0.956284153005464,183,0.484550500131315,198,0.448347543526297,198,"1958442"
"32",NA,0,NA,0,0,198,0,198,"948001"
"33",NA,0,NA,0,0,183,0,183,"964235"
"34",0.924418604651163,172,0.925675675675676,148,0.222632640117457,198,0.194534129642911,198,"1650226"
"35",NA,0,NA,0,0,197,0,197,"8201"
"36",0.846153846153846,13,0.818181818181818,11,0.0137498716449177,198,0.0123708646222808,198,"1546130"
"37",0.9,10,0.9,10,0.00946836819397924,198,0.00946836819397924,198,"1221713"
"38",0.855855855855856,111,0.906976744186046,86,0.131445222652612,198,0.103621220542352,198,"943424"
"39",0.919191919191919,198,0.923076923076923,169,0.272709878773614,198,0.230690247272898,198,"706726"
"40",0.886363636363636,132,0.927272727272727,110,0.290602590411441,198,0.237566971184798,198,"809906"
