"","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w","trace_name"
"1",0.968965517241379,580,0.976102941176471,544,0.421974225521906,594,0.404434401588679,594,"1633748"
"2",0.890572390572391,594,0.918918918918919,481,0.736100647646836,594,0.614346422344359,594,"223811"
"3",0.96078431372549,561,0.959381044487427,517,0.188919179615162,594,0.170024456335894,594,"1948107"
"4",0.988215488215488,594,0.987931034482759,580,0.429401503695832,594,0.418194508153839,594,"1962655"
"5",0.762626262626263,594,0.90547263681592,402,0.452479053390064,594,0.351576443131854,594,"586116"
"6",0.813131313131313,594,0.946784922394678,451,0.448478124348211,594,0.39031935791404,594,"964155"
"7",0.939393939393939,594,0.936902485659656,523,0.652920826125071,594,0.579679719300967,594,"1942922"
"8",0.272727272727273,55,0.166666666666667,6,0.00378290111337747,588,0.00100136611677295,588,"929647"
"9",0.956228956228956,594,0.959409594095941,542,0.528664526689797,594,0.490442222683857,594,"1338378"
"10",NA,0,NA,0,0,592,0,592,"633346"
"11",0.893653516295026,583,0.922431865828092,477,0.288248459971785,594,0.233451152912531,594,"1650389"
"12",0.987847222222222,576,0.99113475177305,564,0.214652922784516,594,0.210770911122071,594,"1641245"
"13",NA,0,NA,0,0,576,0,576,"1663289"
"14",0.960912052117264,307,0.964912280701754,285,0.0445557899937942,594,0.0391369596946571,594,"618849"
"15",0.906801007556675,397,0.937869822485207,338,0.298013202084045,594,0.259244864783194,594,"1054084"
"16",0.961279461279461,594,0.963702359346643,551,0.632814279551664,594,0.591813785181776,594,"811237"
"17",0.942760942760943,594,0.948960302457467,529,0.611665629575014,594,0.545662912342883,594,"955492"
"18",0.942608695652174,575,0.959459459459459,518,0.413725092548692,593,0.376773917418441,593,"948898"
"19",0.940273037542662,586,0.962121212121212,528,0.438958105478429,592,0.408462330550036,592,"8383"
"20",0.979439252336449,535,0.980544747081712,514,0.296122974451608,592,0.286510369589662,592,"737498"
"21",0.97979797979798,594,0.978947368421053,570,0.537457527455033,594,0.516387553286272,594,"1041019"
"22",0.944761904761905,525,0.94692144373673,471,0.355362246266842,593,0.319453819189601,593,"1985204"
"23",0.963671128107075,523,0.967213114754098,488,0.169284147916163,594,0.159507560634276,594,"948601"
"24",0.889487870619946,371,0.93485342019544,307,0.10764362197801,594,0.0938038484946312,594,"1331037"
"25",0.995283018867924,424,0.995238095238095,420,0.118347849335075,594,0.116399132480276,594,"1669601"
"26",0.946826758147513,583,0.940499040307102,521,0.234134167126859,593,0.205230944693974,593,"893041"
"27",1,5,1,5,0.000515582685601251,594,0.000515582685601251,594,"847832"
"28",0.869318181818182,528,0.873134328358209,402,0.274370154191081,594,0.200326056948219,594,"1102195"
"29",0.952861952861953,594,0.972776769509982,551,0.474725392461183,594,0.451951282202242,594,"592977"
"30",0.976430976430976,594,0.978835978835979,567,0.589115130579712,594,0.563764683013842,594,"1471895"
"31",0.98989898989899,594,0.989690721649485,582,0.414397712396965,594,0.406210642999341,594,"1958442"
"32",0.975778546712803,289,0.978181818181818,275,0.0834731288955777,594,0.0800056449755244,594,"948001"
"33",NA,0,NA,0,0,579,0,579,"964235"
"34",0.944067796610169,590,0.952651515151515,528,0.359529342857913,594,0.328755918591099,594,"1650226"
"35",0.887218045112782,532,0.931350114416476,437,0.209435375202076,593,0.175737065416702,593,"8201"
"36",0.986817325800377,531,0.990366088631985,519,0.115450277750078,594,0.112298645949147,594,"1546130"
"37",0.974358974358974,546,0.976878612716763,519,0.178787916847788,594,0.171170467744078,594,"1221713"
"38",0.896013864818024,577,0.934873949579832,476,0.384898953707593,594,0.320205364119571,594,"943424"
"39",0.846153846153846,585,0.909297052154195,441,0.477399308862129,594,0.376933311145142,594,"706726"
"40",0.634680134680135,594,0.961218836565097,361,0.425130455044504,594,0.389738482265716,594,"809906"
"41",0.954545454545455,594,0.967153284671533,548,0.443271855386072,594,0.413557018480508,594,"611375"
"42",0.986928104575163,306,0.989966555183946,299,0.0829687250396251,593,0.0813724071381968,593,"1547003"
"43",0.976430976430976,594,0.975265017667845,566,0.613471881101427,594,0.584971447257939,594,"1946494"
"44",0.930693069306931,505,0.92183908045977,435,0.093499228351022,594,0.0795511383973728,594,"1545927"
"45",0.957841483979764,593,0.969147005444646,551,0.382271962073909,594,0.35778097156996,594,"618853"
"46",0.875,8,0.833333333333333,6,0.000271179144342554,594,0.000199567420510181,594,"2008368"
"47",0.872053872053872,594,0.925847457627119,472,0.398566770448105,594,0.337183196141467,594,"943904"
"48",0.962962962962963,594,0.965454545454545,550,0.513177918612245,594,0.479006828068653,594,"1633630"
"49",0.952861952861953,594,0.955555555555556,540,0.431406276387287,594,0.385471968596882,594,"1114910"
"50",0.924460431654676,556,0.913135593220339,472,0.183923676387336,593,0.151606727776269,593,"1023683"
"51",0.848484848484849,594,0.914660831509847,457,0.588779967346661,594,0.488518863611338,594,"793205"
"52",NA,0,NA,0,0,594,0,594,"1221771"
"53",0.964467005076142,591,0.98018018018018,555,0.312294932786498,594,0.2932317451906,594,"1054467"
"54",0.96969696969697,594,0.976827094474153,561,0.628041929906226,594,0.598589716731787,594,"715945"
"55",0.986220472440945,508,0.98582995951417,494,0.149827210263557,594,0.146788891432169,594,"1054036"
"56",0.893760539629005,593,0.90146750524109,477,0.484724363824927,594,0.400178680843366,594,"612046"
"57",0.563973063973064,594,0.813559322033898,236,0.456985529361407,594,0.245134424895152,594,"1102397"
"58",0.973913043478261,345,0.975535168195719,327,0.127380124923369,594,0.120380831656513,594,"358485"
"59",0.957912457912458,594,0.965454545454545,550,0.601502600685304,594,0.560732086637804,594,"810877"
"60",0.978494623655914,558,0.98134328358209,536,0.202167759578819,594,0.195304857843432,594,"1126"
"61",0.947811447811448,594,0.961254612546125,542,0.462676122449743,594,0.423763216793543,594,"715737"
"62",0.864406779661017,236,0.851428571428571,175,0.0813205987837453,593,0.0633655431351163,593,"1099406"
"63",0.946551724137931,580,0.958254269449715,527,0.454364929613067,594,0.420691356191146,594,"1220694"
"64",0.957264957264957,585,0.964944649446494,542,0.260255032164535,594,0.244718147600761,594,"943893"
"65",0.963793103448276,580,0.970479704797048,542,0.336809138528607,594,0.317936794191198,594,"809838"
"66",0.953125,576,0.98330241187384,539,0.225159199120601,593,0.219063302271059,593,"1054436"
"67",1,1,1,1,5.18048284476974e-05,554,5.18048284476974e-05,554,"817395"
"68",0.928070175438596,570,0.930612244897959,490,0.43008208428216,594,0.37165562666973,594,"586036"
"69",0.907407407407407,594,0.952941176470588,510,0.410882195686171,594,0.370639101434133,594,"706714"
"70",0.972826086956522,552,0.971264367816092,522,0.238533293787594,594,0.227375040470689,594,"1220878"
"71",0.96969696969697,198,0.973262032085562,187,0.0952537455815975,594,0.0901504019534058,594,"955414"
"72",0.956896551724138,116,0.953703703703704,108,0.086697830599735,544,0.0800842753628916,544,"1555181"
"73",NA,0,NA,0,0,594,0,594,"1739024"
"74",0.996632996632997,594,0.996610169491525,590,0.480643700662257,594,0.47815964359682,594,"1652570"
"75",0.949211908931699,571,0.959615384615385,520,0.299965655991545,594,0.276673117019811,594,"1220941"
"76",0.984509466437177,581,0.987588652482269,564,0.274250425765271,594,0.267223808104534,594,"1947988"
"77",0.974704890387858,593,0.975177304964539,564,0.297145006825723,594,0.283365838825815,594,"807274"
"78",0.142857142857143,28,0.333333333333333,3,0.00350275912012594,594,0.00156199491467097,594,"1475279"
"79",0.890681003584229,558,0.948497854077253,466,0.279019433135043,594,0.251711452797938,594,"594559"
"80",0.978114478114478,594,0.97887323943662,568,0.580406718479519,594,0.556086312468857,594,"965207"
"81",0.993174061433447,586,0.993079584775087,578,0.31042008298462,594,0.306684629003752,594,"942980"
"82",0.863557858376511,579,0.876146788990826,436,0.462882268481728,594,0.360761882581815,594,"715586"
"83",0.961693548387097,496,0.960698689956332,458,0.227186404127035,594,0.210557337927162,594,"799526"
"84",0.949409780775717,593,0.972627737226277,548,0.364367715003091,594,0.343850396985681,594,"1641403"
"85",0.993265993265993,594,0.993174061433447,586,0.4473024730941,594,0.441335541918615,594,"1615370"
"86",0.971380471380471,594,0.97508896797153,562,0.484542172896424,594,0.461675133702871,594,"1771782"
"87",0.990476190476191,105,0.990291262135922,103,0.0131856102748327,594,0.0128190860239547,594,"1948338"
"88",NA,0,NA,0,0,594,0,594,"1035359"
