"","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w","trace_name"
"1",0.984126984126984,567,0.985454545454545,550,0.313924854406217,594,0.303804179469711,594,"1633748"
"2",0.64983164983165,594,0.649606299212598,254,0.614494265526348,594,0.267949417999396,594,"223811"
"3",0.980263157894737,304,0.979452054794521,292,0.0654762671029712,594,0.0638045880795333,594,"1948107"
"4",0.897306397306397,594,0.91340206185567,485,0.738342079962058,594,0.618585541110329,594,"1962655"
"5",0.64983164983165,594,0.910404624277457,346,0.456046872960509,594,0.36488855219433,594,"586116"
"6",0.720538720538721,594,0.875,376,0.535312153065127,594,0.407725118722704,594,"964155"
"7",0.919191919191919,594,0.914171656686627,501,0.696281162186794,594,0.591271224415688,594,"1942922"
"8",NA,0,NA,0,0,588,0,588,"929647"
"9",0.893939393939394,594,0.897489539748954,478,0.641595870777753,594,0.516935542106596,594,"1338378"
"10",NA,0,NA,0,0,592,0,592,"633346"
"11",0.737373737373737,594,0.834733893557423,357,0.4440400893814,594,0.294200338222778,594,"1650389"
"12",0.947811447811448,594,0.949532710280374,535,0.623641563048661,594,0.561426316976091,594,"1641245"
"13",NA,0,NA,0,0,576,0,576,"1663289"
"14",0.934859154929577,568,0.942115768463074,501,0.282377316362557,594,0.260115365275224,594,"618849"
"15",0.910774410774411,594,0.943137254901961,510,0.574352993382053,594,0.504257874306026,594,"1054084"
"16",0.937710437710438,594,0.954971857410882,533,0.647065727381995,594,0.588834104619348,594,"811237"
"17",0.919191919191919,594,0.918,500,0.654688228432553,594,0.552573005799157,594,"955492"
"18",0.915824915824916,594,0.947470817120623,514,0.470284061165458,593,0.415121003184933,593,"948898"
"19",0.920875420875421,594,0.958015267175573,524,0.490592139400117,592,0.451179997446371,592,"8383"
"20",0.971014492753623,552,0.969348659003831,522,0.251021999431489,592,0.237488737728812,592,"737498"
"21",0.98989898989899,594,0.989690721649485,582,0.520481041295411,594,0.510180965834939,594,"1041019"
"22",0.920774647887324,568,0.927835051546392,485,0.510092273348493,593,0.44789592114389,593,"1985204"
"23",0.952127659574468,564,0.951171875,512,0.333860830222355,594,0.305472875167164,594,"948601"
"24",0.890243902439024,410,0.935103244837758,339,0.0768844809697013,594,0.0589451759559743,594,"1331037"
"25",0.9975,400,0.99748743718593,398,0.103270194284516,594,0.102827096376421,594,"1669601"
"26",0.845117845117845,594,0.845794392523365,428,0.680921981399237,593,0.487474182836479,593,"893041"
"27",NA,0,NA,0,0,594,0,594,"847832"
"28",0.954468802698145,593,0.955801104972376,543,0.243012820140369,594,0.219559751275962,594,"1102195"
"29",0.760942760942761,594,0.735632183908046,348,0.647931870532785,594,0.378395574812393,594,"592977"
"30",0.944444444444444,594,0.947269303201507,531,0.735921132598592,594,0.661045459371472,594,"1471895"
"31",0.925925925925926,594,0.942196531791908,519,0.734826655652139,594,0.655380312401749,594,"1958442"
"32",0.977337110481586,353,0.979228486646884,337,0.134568268012814,594,0.128282237248271,594,"948001"
"33",NA,0,NA,0,0,579,0,579,"964235"
"34",0.86026936026936,594,0.880898876404494,445,0.543077559483985,594,0.419083213537093,594,"1650226"
