"","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w","trace_name"
"1",0.982547993019197,573,0.982547993019197,573,0.339668711397724,594,0.339668711397724,594,"1633748"
"2",0.895622895622896,594,0.897923875432526,578,0.734913571266758,594,0.716358669692714,594,"223811"
"3",0.978328173374613,323,0.978328173374613,323,0.0889241616515586,594,0.0889241616515586,594,"1948107"
"4",0.988215488215488,594,0.988215488215488,594,0.438270608152076,594,0.438270608152076,594,"1962655"
"5",0.759259259259259,594,0.858585858585859,495,0.462383277255346,594,0.428920536174931,594,"586116"
"6",0.808080808080808,594,0.923529411764706,510,0.46117741473775,594,0.447600204529647,594,"964155"
"7",0.952861952861953,594,0.952782462057336,593,0.633031646704007,594,0.631967379431057,594,"1942922"
"8",NA,0,NA,0,0,588,0,588,"929647"
"9",0.968013468013468,594,0.968013468013468,594,0.529114503135353,594,0.529114503135353,594,"1338378"
"10",NA,0,NA,0,0,592,0,592,"633346"
"11",0.893939393939394,594,0.902268760907504,573,0.291803249527064,594,0.27845092006315,594,"1650389"
"12",0.986531986531986,594,0.986486486486487,592,0.220840180701671,594,0.219992567053147,594,"1641245"
"13",NA,0,NA,0,0,576,0,576,"1663289"
"14",0.980263157894737,304,0.980263157894737,304,0.0911062238989721,594,0.0911062238989721,594,"618849"
"15",0.932659932659933,594,0.948096885813149,578,0.420084360192403,594,0.414013504824278,594,"1054084"
"16",0.94949494949495,594,0.948979591836735,588,0.659889659034569,594,0.653523639443542,594,"811237"
"17",0.964646464646465,594,0.964646464646465,594,0.637252432011324,594,0.637252432011324,594,"955492"
"18",0.932659932659933,594,0.944827586206897,580,0.388119539450375,593,0.384169361555495,593,"948898"
"19",0.929292929292929,594,0.952961672473868,574,0.444145243615214,592,0.438349561501769,592,"8383"
"20",0.962230215827338,556,0.962230215827338,556,0.283162754705143,592,0.283162754705143,592,"737498"
"21",0.98989898989899,594,0.98989898989899,594,0.479451761344993,594,0.479451761344993,594,"1041019"
"22",0.955719557195572,542,0.957407407407407,540,0.250252829881994,593,0.249797371628851,593,"1985204"
"23",0.971066907775769,553,0.972776769509982,551,0.0950541435304705,594,0.0950092767336739,594,"948601"
