"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"943951",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"377820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1061254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"1227269",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1954122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1022116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"825707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"619138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"382694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1054467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1228656",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1222757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1229088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"358709",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"595384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1757157",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"1014773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1330946",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"80491",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"277668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"809835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1396684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1547790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"42360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1585411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1650389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"871454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"890402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
