"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1633748",1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"223811",2,2,2,1,2,2,0,2,0,1,1,1,0,0,2,1,0,0,1,5
"1948107",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1962655",0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"586116",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4
"964155",1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"1942922",80,6,5,2,0,2,1,1,0,0,0,1,0,1,1,0,0,1,0,0
"929647",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1338378",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"633346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1650389",1,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1641245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1663289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"618849",2,2,1,1,4,0,2,0,1,2,1,5,0,0,0,0,0,0,1,2
"1054084",1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"811237",1,0,1,0,0,1,0,0,0,1,1,0,0,0,2,2,0,0,0,0
"955492",1,1,0,1,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"948898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8383",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"737498",0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1041019",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1985204",0,0,0,1,1,3,0,0,0,1,1,2,0,1,1,0,0,0,0,3
"948601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1331037",1,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9
"1669601",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"893041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"847832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1102195",3,4,4,2,4,4,3,2,2,3,6,0,0,0,0,1,1,0,1,2
"592977",2,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0
"1471895",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"1958442",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"948001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"964235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1650226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8201",0,2,1,0,1,4,0,0,0,0,1,2,0,0,1,0,0,0,0,4
"1546130",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1221713",0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"943424",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"706726",0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1,1
"809906",0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,7
"611375",0,1,2,1,0,1,0,3,0,1,2,0,1,0,0,0,0,0,0,1
"1547003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1946494",0,0,0,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,2,0
"1545927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"618853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2008368",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943904",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
"1633630",1,0,1,0,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0
"1114910",5,6,5,2,2,4,2,3,2,5,1,0,0,2,1,0,0,0,0,0
"1023683",2,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0
"793205",0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"1221771",0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,1,1,0,0
"1054467",2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0
"715945",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1054036",0,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"612046",0,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0
"1102397",1,0,0,1,3,1,2,0,1,0,1,2,1,1,0,0,1,1,0,0
"358485",0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"810877",0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1
"1126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"715737",3,1,1,0,0,2,0,1,0,0,1,4,0,0,0,1,1,0,0,2
"1099406",0,2,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1220694",0,0,0,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1
"943893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"809838",0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"1054436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"817395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"586036",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"706714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1220878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955414",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1555181",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1739024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1652570",0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,1,1,0,0,1
"1220941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1947988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"807274",1,0,0,0,1,0,0,2,1,0,0,1,1,0,0,1,0,0,1,2
"1475279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"594559",0,2,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,3
"965207",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942980",2,1,1,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0
"715586",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"799526",3,2,3,1,4,1,0,1,1,1,1,3,3,1,0,0,0,2,1,3
"1641403",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1615370",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0
"1771782",0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"1948338",3,1,2,3,5,0,1,1,2,4,2,4,0,0,0,0,0,0,0,2
"1035359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"780697",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1061254",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1938269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"827636",1,1,4,4,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0
"1629198",0,0,2,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"605145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1053575",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1947803",0,1,0,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"706990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1061169",1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"282785",0,0,0,2,1,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0
"825849",0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
