"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1633748",0,1,0,1,0,1,2,1,1,2,0,0,0,0,0,0,0,1,0,11
"223811",2,2,1,2,1,0,3,1,0,2,1,0,0,2,0,0,2,0,0,10
"1948107",1,4,3,4,0,1,1,1,0,1,1,6,1,0,0,0,0,0,0,0
"1962655",1,0,2,0,1,1,1,2,1,1,1,3,0,4,0,0,2,0,1,2
"586116",1,3,3,4,0,5,2,0,1,2,1,4,4,1,1,1,2,0,0,5
"964155",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
"1942922",103,4,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,6
"929647",1,2,0,0,1,1,0,1,1,0,1,0,2,1,0,0,0,0,0,25
"1338378",0,1,1,1,3,1,2,5,3,4,3,4,3,1,3,0,3,1,0,10
"633346",3,4,3,2,4,5,2,5,1,2,4,1,2,1,2,1,2,2,3,13
"1650389",1,1,2,1,4,0,1,2,1,2,1,3,1,2,1,1,0,0,1,6
"1641245",5,0,1,0,1,0,2,3,1,2,1,9,3,0,2,1,0,0,0,1
"1663289",2,3,4,3,1,4,2,7,7,4,5,2,2,4,3,4,3,1,1,7
"618849",1,0,1,3,3,2,1,1,0,2,0,8,0,1,0,0,0,0,0,5
"1054084",4,1,2,3,2,1,4,2,2,3,1,5,0,0,0,1,0,0,0,2
"811237",1,1,3,0,1,4,2,0,3,5,1,1,1,1,0,0,1,1,1,5
"955492",4,1,4,1,3,5,0,1,1,1,3,4,0,0,2,2,1,0,0,19
"948898",4,2,6,2,3,1,4,0,3,2,2,3,1,0,0,0,0,0,0,0
"8383",1,2,6,1,0,0,2,2,2,3,2,7,1,0,1,0,0,0,0,2
"737498",0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6
"1041019",0,4,0,1,1,1,0,2,0,1,0,3,1,0,0,0,1,1,1,2
"1985204",3,0,1,2,2,0,2,0,1,0,0,3,1,0,1,0,0,0,0,4
"948601",2,5,4,5,1,3,1,1,2,4,2,3,0,2,2,0,0,1,0,6
"1331037",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1669601",1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
