"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"1633748",0,3,0,1,0,1,1,0,1,2,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7
"223811",3,1,0,0,0,1,2,2,0,1,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7
"1948107",1,4,2,3,0,1,1,1,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1962655",2,1,2,0,1,1,1,2,1,2,0,2,1,3,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"586116",1,3,2,4,0,5,2,0,1,2,1,5,4,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
"964155",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,5
"1942922",99,2,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7
"929647",2,1,0,0,1,1,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,1,0,0,1,16
"1338378",1,1,1,2,3,1,2,4,3,4,3,4,3,1,4,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5
"633346",3,3,3,2,4,5,2,4,1,3,4,1,2,2,2,1,2,3,3,0,1,1,1,2,0,1,0,1,1,0,0,0,0,0,1,0,3
"1650389",3,0,1,0,2,2,1,1,1,1,2,0,1,1,1,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,10
"1641245",5,0,0,2,0,0,2,3,0,2,1,7,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"1663289",2,3,4,3,1,4,2,7,7,4,5,2,2,4,3,4,3,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3
"618849",1,0,1,2,4,2,1,1,0,1,0,8,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"1054084",3,1,2,3,2,2,4,2,0,3,1,4,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"811237",1,0,1,2,1,3,2,0,0,2,2,2,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"955492",4,0,5,3,2,3,3,1,1,2,3,6,0,0,4,0,0,0,0,0,1,1,3,0,0,0,0,0,0,2,0,1,1,0,2,0,5
"948898",3,2,6,1,4,0,4,0,3,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8383",2,3,3,1,0,2,0,2,2,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"737498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0
"1041019",1,2,0,1,0,0,0,2,1,0,0,2,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985204",2,1,0,1,1,1,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
