"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1633748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223811",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1948107",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1962655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"586116",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
"964155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
"1942922",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"929647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1338378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"633346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1650389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1641245",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
"1663289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"618849",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3
"1054084",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"811237",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"955492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"948898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8383",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
"737498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1041019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"948601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1331037",2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1
"1669601",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"893041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"847832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1102195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"592977",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1471895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1958442",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"948001",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"964235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1650226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8201",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1546130",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1221713",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943424",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"706726",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"809906",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"611375",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"1547003",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
"1946494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1545927",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"618853",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
"2008368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"1633630",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"1114910",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1023683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"793205",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1221771",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1054467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"715945",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1054036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"612046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1102397",0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2
"358485",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5
"810877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"1126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
