"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"1633748",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,6
"223811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1948107",2,3,2,3,1,2,2,0,3,4,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1962655",1,0,2,4,2,2,1,1,3,1,0,3,0,4,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"586116",1,3,3,3,0,4,3,0,1,2,1,5,4,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
"964155",2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,8
"1942922",118,9,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"929647",1,2,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,1,0,0,1,16
"1338378",2,1,1,1,3,1,2,5,1,3,5,2,3,1,2,1,3,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,7
"633346",1,5,3,1,3,5,0,3,2,2,5,3,3,0,3,1,2,1,3,0,1,2,1,2,0,1,0,1,1,0,0,0,0,0,1,0,5
"1650389",3,1,0,1,2,0,1,1,0,1,2,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,11
"1641245",4,0,0,1,0,0,2,3,1,1,3,8,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
"1663289",4,3,5,3,0,4,2,6,7,5,4,2,3,2,3,4,3,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3
"618849",1,0,1,2,4,2,1,1,0,1,0,8,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
