"Model","StateNum","Probability.Cut.Off","Granularity","Window.Size","Sample.Size","BinNum","Avg.Cycle.Usage1","Avg.Cycle.Usage2","Survival.Rate","Correctly.Scheduled","Correctly.Unscheduled"
"AR1",0,0.005,0,12,100,0,0.338342976246555,0.286058212979744,0.949240480860351,0.666666666666667,0.667030369158029
"AR1",0,0.01,0,12,100,0,0.379789379053129,0.319472256466003,0.941883992827159,0.833333333333333,0.667151691524191
"AR1",0,0.1,0,12,100,0,0.553651843859999,0.451563100798364,0.884343709252007,0.903225806451613,0.675670686684716
"AR1",0,0.005,0.78125,12,100,0,0.336098630906803,0.284013185015556,0.950373886568341,0.666666666666667,0.701945808328787
"AR1",0,0.01,0.78125,12,100,0,0.377789140199703,0.317598426509256,0.94291174437686,0.833333333333333,0.702073481265915
"AR1",0,0.1,0.78125,12,100,0,0.551636242363752,0.450686721601972,0.88033333799529,0.902127659574468,0.710605594835536
"AR1",0,0.005,1.5625,12,100,0,0.333572954234982,0.281821293766831,0.950985381988756,0.666666666666667,0.726616960659514
"AR1",0,0.01,1.5625,12,100,0,0.375610882112502,0.315683482791264,0.943416406270774,0.833333333333333,0.726749120892446
"AR1",0,0.1,1.5625,12,100,0,0.551340182827318,0.450173800671366,0.884138190164775,0.909090909090909,0.735570717315139
"AR1",0,0.005,3.125,12,100,0,0.332522121715537,0.277991303920284,0.964168551507049,1,0.772774107521668
"AR1",0,0.01,3.125,12,100,0,0.375232917342819,0.311829226623013,0.956614082208801,1,0.77286779414439
"AR1",0,0.1,3.125,12,100,0,0.556111666178577,0.448909592952005,0.889404328077734,0.915032679738562,0.779164372667768
"AR1",0,0.005,0,36,100,0,0.163315503296743,0.125968102906173,0.958006332044019,NA,0.860555555555556
"AR1",0,0.01,0,36,100,0,0.20360545172924,0.154157211499345,0.949317781768235,NA,0.860555555555556
"AR1",0,0.1,0,36,100,0,0.427109594174082,0.298999223358654,0.87532959762706,0.894736842105263,0.863222449358855
"AR1",0,0.005,0.78125,36,100,0,0.160344690731313,0.124192530138126,0.956398248565435,NA,0.873888888888889
"AR1",0,0.01,0.78125,36,100,0,0.199652211327394,0.151985634435418,0.948012353563726,NA,0.873888888888889
"AR1",0,0.1,0.78125,36,100,0,0.421220487875741,0.297546734401108,0.876322914660678,0.842105263157895,0.876417022858205
"AR1",0,0.005,1.5625,36,100,0,0.162729668338555,0.122274400930488,0.955817581823385,NA,0.878148148148148
"AR1",0,0.01,1.5625,36,100,0,0.203259879898699,0.150032196946321,0.949789537747456,NA,0.878148148148148
