"Model","StateNum","Probability.Cut.Off","Granularity","Window.Size","Sample.Size","BinNum","Avg.Cycle.Usage1","Avg.Cycle.Usage2","Survival.Rate","Correctly.Scheduled","Correctly.Unscheduled"
"AR1",0,0.005,0,12,100,0,0.295901187162618,0.290504305065577,0.927933850649775,0.2,0.668073520778932
"AR1",0,0.01,0,12,100,0,0.33044268700896,0.324448276983397,0.915553322302723,0.333333333333333,0.668317032177065
"AR1",0,0.1,0,12,100,0,0.475543252504332,0.466409269241716,0.83698728722775,0.591489361702128,0.678263914637663
"AR1",0,0.005,0.78125,12,100,0,0.293864034583084,0.288538806477075,0.92881531142319,0.166666666666667,0.70242643524024
"AR1",0,0.01,0.78125,12,100,0,0.328538749101021,0.322567622750013,0.916767234598035,0.263157894736842,0.702635255527658
"AR1",0,0.1,0.78125,12,100,0,0.474938840063729,0.46561323720171,0.829625017001197,0.587053571428571,0.712715766727549
"AR1",0,0.005,1.5625,12,100,0,0.291569567767852,0.286310813243097,0.929559243928625,0.142857142857143,0.726931406480863
"AR1",0,0.01,1.5625,12,100,0,0.326517856730188,0.320527629607961,0.917798079984771,0.257142857142857,0.727149408298999
"AR1",0,0.1,1.5625,12,100,0,0.474108571487841,0.4647020705735,0.833036468285458,0.578828828828829,0.73742381772829
"AR1",0,0.005,3.125,12,100,0,0.288415959406496,0.282771331871494,0.824304337222315,0.666666666666667,0.772758315416719
"AR1",0,0.01,3.125,12,100,0,0.322600939744951,0.316579843652407,0.929594800068753,0.285714285714286,0.772806387306342
"AR1",0,0.1,3.125,12,100,0,0.47208420119301,0.462707116303169,0.848747607057197,0.550161812297735,0.780055951351987
"AR1",0,0.005,0,36,100,0,0.132698354383248,0.128994237798933,0.937578416472483,NA,0.861119751166407
"AR1",0,0.01,0,36,100,0,0.162829514639105,0.158100895109613,0.92642909049172,NA,0.861119751166407
"AR1",0,0.1,0,36,100,0,0.321377264054571,0.312659991538245,0.790529549645617,0.375,0.864752390674806
"AR1",0,0.005,0.78125,36,100,0,0.131106334382529,0.127432612619583,0.937676794201343,NA,0.873359253499222
"AR1",0,0.01,0.78125,36,100,0,0.160707970469784,0.15601678201501,0.92657631438895,NA,0.873359253499222
"AR1",0,0.1,0.78125,36,100,0,0.31959452081623,0.310817777467955,0.783974623876006,0.2875,0.876910658021509
"AR1",0,0.005,1.5625,36,100,0,0.129327613156604,0.12564236694662,0.937175185553186,NA,0.878144116122343
"AR1",0,0.01,1.5625,36,100,0,0.158721286178658,0.154118855966097,0.925018501261418,NA,0.878144116122343
"AR1",0,0.1,1.5625,36,100,0,0.317427802826497,0.308664831547944,0.792750555694625,0.2875,0.881717574147853
"AR1",0,0.005,3.125,36,100,0,0.125549007097515,0.121921732755865,0.933845030557635,NA,0.891228615863142
"AR1",0,0.01,3.125,36,100,0,0.154046032491774,0.149511652699627,0.92886055230638,NA,0.891228615863142
"AR1",0,0.1,3.125,36,100,0,0.314004036337381,0.305180910166214,0.79410545338942,0.2875,0.894831132984402
"AR1",0,0.005,0,12,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.01,0,12,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.1,0,12,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.005,0.78125,12,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.01,0.78125,12,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.1,0.78125,12,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,12,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.01,1.5625,12,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.1,1.5625,12,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.005,3.125,12,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.01,3.125,12,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.1,3.125,12,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.005,0,36,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.01,0,36,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.1,0,36,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.005,0.78125,36,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.01,0.78125,36,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.1,0.78125,36,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,36,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.01,1.5625,36,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.1,1.5625,36,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.005,3.125,36,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.01,3.125,36,3000,0,NA,NA,NA,NA,NA
"AR1",0,0.1,3.125,36,3000,0,NA,NA,NA,NA,NA
"AR1_logistic_glm",0,0.005,0,12,100,500,0.35736486870525,0.351338424953387,0.865612203535332,0.585,0.672588470319635
"AR1_logistic_glm",0,0.005,0,12,100,1000,0.373076604543903,0.3667823204648,0.86596289549613,0.585,0.672588470319635
"AR1_logistic_glm",0,0.01,0,12,100,500,0.381376277859289,0.374897301268151,0.855772775260453,0.570731707317073,0.672583555025533
"AR1_logistic_glm",0,0.01,0,12,100,1000,0.396328450191532,0.389497383279186,0.856403278877709,0.570731707317073,0.672583555025533
"AR1_logistic_glm",0,0.1,0,12,100,500,0.48402809123531,0.475173817756371,0.788167766467339,0.61310592459605,0.695147037826347
"AR1_logistic_glm",0,0.1,0,12,100,1000,0.491208706523268,0.482252855891022,0.788900237846975,0.61310592459605,0.695147037826347
"AR1_logistic_glm",0,0.75,0,12,100,500,0.482215145270087,0.473288626848154,0.43863181587756,0.201923076923077,0.783022618231666
"AR1_logistic_glm",0,0.75,0,12,100,1000,0.488718268611076,0.479804102863494,0.442257846062048,0.201923076923077,0.783022618231666
"AR1_logistic_glm",0,0.005,0.78125,12,100,500,0.355580917366584,0.349574631788885,0.867482848525804,0.585,0.70718158838878
"AR1_logistic_glm",0,0.005,0.78125,12,100,1000,0.371375890853376,0.365110506791107,0.864380504495581,0.585,0.70718158838878
"AR1_logistic_glm",0,0.01,0.78125,12,100,500,0.380230043010258,0.373679598509791,0.856384061864203,0.570731707317073,0.707177730891152
"AR1_logistic_glm",0,0.01,0.78125,12,100,1000,0.394696006509297,0.387887565742646,0.856935801601968,0.570731707317073,0.707177730891152
"AR1_logistic_glm",0,0.1,0.78125,12,100,500,0.482945217670476,0.474131509109548,0.790547626239176,0.61310592459605,0.730979740984976
"AR1_logistic_glm",0,0.1,0.78125,12,100,1000,0.49074775068471,0.481771067702744,0.791307980689741,0.61310592459605,0.730979740984976
"AR1_logistic_glm",0,0.75,0.78125,12,100,500,0.492786701166255,0.483703240916187,0.452668190027363,0.181318998901798,0.820561643835616
"AR1_logistic_glm",0,0.75,0.78125,12,100,1000,0.501496981550289,0.492270211067643,0.458891761375503,0.181318998901798,0.820561643835616
"AR1_logistic_glm",0,0.005,1.5625,12,100,500,0.3539758871903,0.347953493148685,0.865728118949016,0.585,0.731888046314416
"AR1_logistic_glm",0,0.005,1.5625,12,100,1000,0.369410295418458,0.363138477226535,0.863781686937945,0.585,0.731888046314416
"AR1_logistic_glm",0,0.01,1.5625,12,100,500,0.378578413049933,0.372038350769752,0.857355820253518,0.570731707317073,0.73188494429665
"AR1_logistic_glm",0,0.01,1.5625,12,100,1000,0.392931920509977,0.386130628237462,0.85764718882956,0.570731707317073,0.73188494429665
"AR1_logistic_glm",0,0.1,1.5625,12,100,500,0.482105789037172,0.473379604639205,0.793818926593585,0.602122015915119,0.756570389093947
"AR1_logistic_glm",0,0.1,1.5625,12,100,1000,0.489990303263041,0.481013371601161,0.792842812834632,0.602122015915119,0.756570389093947
"AR1_logistic_glm",0,0.75,1.5625,12,100,500,0.50409350079315,0.494757702705809,0.468548480822744,0.178761670198751,0.852696242928954
"AR1_logistic_glm",0,0.75,1.5625,12,100,1000,0.513669381937663,0.504181806606753,0.478722761052128,0.178761670198751,0.852696242928954
"AR1_logistic_glm",0,0.005,3.125,12,100,500,0.350459091618112,0.344477168620667,0.876037634618771,0.585,0.778029191128506
"AR1_logistic_glm",0,0.005,3.125,12,100,1000,0.365817041052319,0.359613274765443,0.874405796433301,0.585,0.778029191128506
"AR1_logistic_glm",0,0.01,3.125,12,100,500,0.37466391742405,0.36813454339912,0.866675314530981,0.570731707317073,0.778027500025482
"AR1_logistic_glm",0,0.01,3.125,12,100,1000,0.390000581711293,0.383217230411571,0.866157379145755,0.570731707317073,0.778027500025482
"AR1_logistic_glm",0,0.1,3.125,12,100,500,0.479949919188317,0.471076777220181,0.806101071313342,0.577284372331341,0.804236441220171
"AR1_logistic_glm",0,0.1,3.125,12,100,1000,0.488755974025914,0.479602072253698,0.798196122128332,0.577284372331341,0.804236441220171
"AR1_logistic_glm",0,0.75,3.125,12,100,500,0.521049088615182,0.511253357336787,0.491605256623436,0.152032268073224,0.901860684737458
"AR1_logistic_glm",0,0.75,3.125,12,100,1000,0.529478572316957,0.519694428000517,0.502928095497843,0.152032268073224,0.901860684737458
"AR1_logistic_glm",0,0.005,0,36,100,500,0.159158688871471,0.154832369084097,0.760606313913019,0.222543352601156,0.872963380341025
"AR1_logistic_glm",0,0.005,0,36,100,1000,0.17448385001673,0.169730435373926,0.806232071308677,0.222543352601156,0.872963380341025
"AR1_logistic_glm",0,0.01,0,36,100,500,0.176013597076755,0.171226785390571,0.755859061301594,0.23121387283237,0.873179186488181
"AR1_logistic_glm",0,0.01,0,36,100,1000,0.191590858204488,0.186406082747697,0.777431282463651,0.23121387283237,0.873179186488181
"AR1_logistic_glm",0,0.1,0,36,100,500,0.254232506000682,0.24725142563481,0.682690191529152,0.181132075471698,0.882443465994101
"AR1_logistic_glm",0,0.1,0,36,100,1000,0.267230584714478,0.259890912087176,0.698633405085534,0.181132075471698,0.882443465994101
"AR1_logistic_glm",0,0.75,0,36,100,500,0.349011571395017,0.339412721902905,0.436733733408682,0.0711805555555556,0.929896199505261
"AR1_logistic_glm",0,0.75,0,36,100,1000,0.356810717494494,0.346922650318376,0.471542156702971,0.0711805555555556,0.929896199505261
"AR1_logistic_glm",0,0.005,0.78125,36,100,500,0.157939859211731,0.153645632197859,0.754204708120602,0.222543352601156,0.885391104698312
"AR1_logistic_glm",0,0.005,0.78125,36,100,1000,0.172861133912706,0.168143308520362,0.793233481561513,0.222543352601156,0.885391104698312
"AR1_logistic_glm",0,0.01,0.78125,36,100,500,0.174498674317608,0.169787714321033,0.756034423372533,0.23121387283237,0.88561208308968
"AR1_logistic_glm",0,0.01,0.78125,36,100,1000,0.190078120326844,0.184906618741312,0.780573121034628,0.23121387283237,0.88561208308968
"AR1_logistic_glm",0,0.1,0.78125,36,100,500,0.253486218294153,0.246595604742643,0.69753222997901,0.179422835633626,0.894917644796102
"AR1_logistic_glm",0,0.1,0.78125,36,100,1000,0.266234949390005,0.25889564067087,0.711474864851406,0.179422835633626,0.894917644796102
"AR1_logistic_glm",0,0.75,0.78125,36,100,500,0.352669567493115,0.342898341353466,0.44675714611552,0.0687411598302687,0.942016210140212
"AR1_logistic_glm",0,0.75,0.78125,36,100,1000,0.359668061553651,0.349630593564057,0.480389215112944,0.0687411598302687,0.942016210140212
"AR1_logistic_glm",0,0.005,1.5625,36,100,500,0.156708743675713,0.152410647385664,0.749160950375669,0.222543352601156,0.890251608758386
