"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.436754427184551,0.944444444444444,NA,0.62962962962963
"223811",0.629403570042108,0.888888888888889,NA,0.907407407407407
"1948107",0.26005350710271,0.925925925925926,NA,0.685185185185185
"1962655",0.507240284987561,0.888888888888889,NA,0.907407407407407
"586116",0.224338795008511,0.893617021276596,NA,0.425925925925926
"964155",0.15808451705288,0.314814814814815,NA,0.833333333333333
"1942922",0.277160597135095,0.944444444444444,NA,1
"929647",0,NA,NA,1
"1338378",0.430226734075559,0.944444444444444,NA,0.962962962962963
"633346",0,NA,NA,1
"1650389",0.115041834648508,0.462962962962963,NA,1
"1641245",0.41413467944816,0.925925925925926,NA,1
"1663289",0.000110151765066062,0.956521739130435,NA,1
"618849",0.22385876716573,0.851063829787234,NA,0.222222222222222
"1054084",0.323318676196784,0.907407407407407,NA,0.944444444444444
"811237",0.529525986226786,0.796296296296296,NA,0.907407407407407
"955492",0.496809879021775,0.944444444444444,NA,0.851851851851852
"948898",0.268911008693633,0.944444444444444,NA,0.962962962962963
"8383",0.291510829554609,0.796296296296296,NA,1
"737498",0.282101438996154,0.87037037037037,NA,0.888888888888889
"1041019",0.526588658433363,0.888888888888889,NA,0.907407407407407
"1985204",0.244738051828546,0.777777777777778,NA,0.962962962962963
"948601",0.228239569267956,0.888888888888889,NA,1
"1331037",0.11646485457326,0.777777777777778,NA,0.648148148148148
"1669601",0.360106581580089,0.943396226415094,NA,1
"893041",0.164960526958647,0.777777777777778,NA,1
"847832",0.00103438668653276,0.9,NA,1
"1102195",0.0593806311377613,0.962962962962963,NA,1
"592977",0.415619366399561,0.925925925925926,NA,1
"1471895",0.531338976093712,1,NA,0.759259259259259
"1958442",0.539361153841238,0.888888888888889,NA,0.925925925925926
"948001",0.267856422377852,0.944444444444444,NA,0.981481481481482
"964235",0.0228164606157842,1,NA,0.462962962962963
"1650226",0.257174943436462,0.907407407407407,NA,0.888888888888889
"8201",0.128214105363248,0.837209302325581,NA,0.777777777777778
"1546130",0.329175018308417,0.981132075471698,NA,1
"1221713",0.320286458482413,0.944444444444444,NA,0.962962962962963
"943424",0.346105740036564,0.961538461538462,NA,0.648148148148148
"706726",0.358962085843123,0.888888888888889,NA,0.759259259259259
"809906",0.452618445217494,0.918918918918919,0.928571428571429,0.4
"611375",0.401835282925636,0.833333333333333,NA,0.907407407407407
"1547003",0.288000520890823,0.907407407407407,NA,0.944444444444444
"1946494",0.578351821759582,0.888888888888889,NA,0.944444444444444
"1545927",0.198904247363476,0.87037037037037,NA,1
"618853",0.368262828838091,0.87037037037037,NA,1
"2008368",0,NA,NA,0.962962962962963
"943904",0.204892259755892,0.759259259259259,NA,0.833333333333333
"1633630",0.475434032638822,0.888888888888889,NA,0.888888888888889
"1114910",0.223419478010184,0.814814814814815,NA,1
"1023683",0.146200625139106,0.740740740740741,NA,1
"793205",0.334726068941602,0.944444444444444,NA,0.87037037037037
"1221771",0.414258577838757,0.830188679245283,NA,0.12962962962963
"1054467",0.460680144655668,0.962962962962963,NA,0.481481481481481
"715945",0.591937818813684,0.888888888888889,NA,0.851851851851852
"1054036",0.242010870047548,0.814814814814815,NA,0.888888888888889
"612046",0.278550868156583,0.907407407407407,NA,0.814814814814815
"1102397",0.406344004717772,0.740740740740741,NA,0.555555555555556
"358485",0.256843074819188,0.777777777777778,NA,0.944444444444444
"810877",0.60370838220306,0.833333333333333,NA,0.796296296296296
"1126",0.35922348411259,0.907407407407407,NA,0.962962962962963
"715737",0.403544898547313,0.851851851851852,NA,1
"1099406",0,NA,NA,1
"1220694",0.328894098954507,0.87037037037037,NA,1
"943893",0.272374648679515,0.851851851851852,NA,0.944444444444444
"809838",0.328369829296939,0.907407407407407,NA,1
"1054436",0.339451693574085,0.87037037037037,NA,0.944444444444444
"817395",0.000462144915726395,0.933333333333333,NA,0.962962962962963
"586036",0.345506407614906,0.851851851851852,NA,1
"706714",0.253187901682678,0.888888888888889,NA,0.62962962962963
"1220878",0.285634420803616,0.888888888888889,NA,0.981481481481482
"955414",0.064726839675928,0.962962962962963,NA,1
"1555181",0.215818880839073,0.833333333333333,0.8,0.693877551020408
"1739024",0.00788897651008374,0.962962962962963,NA,0.925925925925926
"1652570",0.542054614797549,0.888888888888889,NA,0.907407407407407
"1220941",0.225501276661974,0.851851851851852,NA,0.777777777777778
"1947988",0.387462050671343,0.907407407407407,NA,0.981481481481482
"807274",0.316407133602369,0.833333333333333,NA,0.925925925925926
"1475279",0,NA,NA,1
"594559",0.220874055453401,0.62962962962963,NA,0.703703703703704
"965207",0.554151735429661,0.944444444444444,NA,1
"942980",0.388721128924146,0.851851851851852,NA,0.907407407407407
"715586",0.435581979035296,0.905660377358491,NA,0.111111111111111
"799526",0.0642254223706865,0.871794871794872,NA,0.888888888888889
"1641403",0.338218742771647,0.888888888888889,NA,0.962962962962963
"1615370",0.574647758577532,0.907407407407407,NA,0.888888888888889
"1771782",0.366573831318052,0.962962962962963,NA,0.981481481481482
"1948338",0.25583687729967,0.884615384615385,NA,0.740740740740741
"1035359",0.0199405585940919,0.777777777777778,NA,1
"780697",0.561820872087821,0.87037037037037,NA,1
"1061254",0.787823445296279,0.925925925925926,NA,1
"1938269",0.0276102381827017,1,NA,1
"827636",0.0209977775385366,0.952380952380952,NA,0.425925925925926
