"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.473780933214526,0.981818181818182,NA,0.339393939393939
"223811",0.624633850970258,0.703030303030303,NA,0.703030303030303
"1948107",0.358046394970965,0.954545454545455,NA,0.303030303030303
"1962655",0.411014447939748,0.987878787878788,NA,0.606060606060606
"586116",0.330207825445544,0.927272727272727,NA,0.193939393939394
"964155",0.197289596546561,0.949152542372881,NA,0.733333333333333
"1942922",0.345476348870848,0.957575757575758,NA,0.993939393939394
"929647",0,NA,NA,0.957575757575758
"1338378",0.405073716774721,0.987878787878788,NA,0.763636363636364
"633346",0,NA,NA,0.903030303030303
"1650389",0.0699699237996313,0.520833333333333,NA,0.957575757575758
"1641245",0.515499684255876,0.969325153374233,NA,0.812121212121212
"1663289",0.00659791947716881,0.414473684210526,NA,0.642424242424242
"618849",0.346281124259114,0.914634146341463,NA,0.115151515151515
"1054084",0.343463550693948,0.968944099378882,NA,0.563636363636364
"811237",0.640138843004515,0.927272727272727,NA,0.563636363636364
"955492",0.52673218895693,0.96969696969697,NA,0.6
"948898",0.342886457775987,0.987730061349693,NA,0.751515151515151
"8383",0.418196346891285,0.878205128205128,NA,0.775757575757576
"737498",0.223539440914529,0.95364238410596,NA,0.654545454545455
"1041019",0.566558290352713,0.96969696969697,NA,0.672727272727273
"1985204",0.406685417613715,0.841463414634146,NA,0.715151515151515
"948601",0.36647069637535,0.927007299270073,NA,0.739393939393939
"1331037",0.214491284716024,0.587878787878788,NA,0.521212121212121
"1669601",0,0,NA,0.945454545454545
"893041",0,NA,NA,1
"847832",0,NA,NA,0.884848484848485
"1102195",0.182246291755554,0.753164556962025,NA,0.975757575757576
"592977",0.55958477734861,0.94478527607362,NA,0.787878787878788
"1471895",0.567749226890549,0.987878787878788,NA,0.454545454545455
"1958442",0.544052474960821,0.975757575757576,NA,0.684848484848485
"948001",0.31797141042215,0.98159509202454,NA,0.793939393939394
"964235",0.000960999992863046,0.0933333333333333,NA,0.454545454545455
"1650226",0.286873264162223,0.963636363636364,NA,0.527272727272727
"8201",0.127671448986981,0.896551724137931,NA,0.496969696969697
"1546130",0.059333731207276,1,NA,0.993939393939394
"1221713",0.379329169746549,0.975757575757576,NA,0.775757575757576
"943424",0.452800034534124,0.957055214723926,NA,0.333333333333333
"706726",0.423184525440379,0.96969696969697,NA,0.357575757575758
"809906",0.376484470396149,0.793939393939394,0.966666666666667,1
"611375",0.51393799616705,0.89375,NA,0.515151515151515
"1547003",0.412792992016365,0.969135802469136,NA,0.648484848484848
"1946494",0.661292175320436,0.933333333333333,NA,0.76969696969697
"1545927",0.000335702005472909,1,NA,0.945454545454545
"618853",0.383085100930897,0.928,NA,0.781818181818182
"2008368",0.0130577440726602,0.851851851851852,NA,0.860606060606061
"943904",0.445367464636799,0.76969696969697,NA,0.654545454545455
"1633630",0.526499540326193,0.951515151515152,NA,0.533333333333333
"1114910",0.305905783193724,0.903030303030303,NA,0.939393939393939
"1023683",0.250255325779518,0.896969696969697,NA,0.848484848484849
"793205",0.460637076886148,0.96969696969697,NA,0.515151515151515
"1221771",0.405340307923353,0.975757575757576,NA,0.0484848484848485
"1054467",0.61884031951239,0.981707317073171,NA,0.187878787878788
"715945",0.561273871519439,0.96969696969697,NA,0.648484848484848
"1054036",0.291215216240048,0.947019867549669,NA,0.696969696969697
"612046",0.313426005686874,0.975757575757576,NA,0.575757575757576
"1102397",0.50535467852725,0.884848484848485,NA,0.375757575757576
"358485",0.322228766117893,0.83739837398374,0,0.791411042944785
"810877",0.434018859465973,0.942528735632184,NA,0.618181818181818
"1126",0.491502556255961,0.938650306748466,NA,0.721212121212121
"715737",0.54537897105636,0.834355828220859,NA,0.812121212121212
"1099406",0.0143651015714222,0.947368421052632,NA,0.793939393939394
"1220694",0.393451010822945,0.957055214723926,NA,0.818181818181818
"943893",0.384732189880582,0.915151515151515,NA,0.612121212121212
"809838",0.291574528243668,0.957055214723926,NA,0.709090909090909
"1054436",0.339039293939665,0.932098765432099,NA,0.636363636363636
"817395",0,NA,NA,0.745454545454545
"586036",0.380503211905162,0.932926829268293,NA,0.757575757575758
"706714",0,NA,NA,0.309090909090909
"1220878",0.149740754677945,0.963768115942029,0,0.797546012269939
"955414",0.222111065863755,0.986842105263158,NA,0.963636363636364
"1555181",0.00479010904432745,0.601351351351351,NA,0.515151515151515
"1739024",0,NA,NA,0.666666666666667
"1652570",0.569084630337309,0.96969696969697,NA,0.684848484848485
"1220941",0.324803709143877,0.957317073170732,NA,0.436363636363636
"1947988",0.455265362304676,0.969512195121951,NA,0.751515151515151
"807274",0.370402230298545,0.921212121212121,NA,0.654545454545455
"1475279",0,NA,NA,0.896969696969697
"594559",0.305027029463051,0.886178861788618,NA,0.503030303030303
"965207",0.673363282577318,0.963636363636364,NA,0.96969696969697
"942980",0.423682498281942,0.967532467532468,NA,0.678787878787879
"715586",0.370187815825331,0.969512195121951,NA,0.0484848484848485
"799526",0.10659495358854,0.981818181818182,NA,0.660606060606061
"1641403",0.310561740407213,0.980769230769231,NA,0.684848484848485
"1615370",0.611037597759266,0.963636363636364,NA,0.56969696969697
"1771782",0.328792653187269,0.987878787878788,NA,0.927272727272727
"1948338",0.549162746115714,0.814814814814815,NA,0.4
"1035359",0.00885090321396823,0.0121212121212121,NA,1
"780697",0.618957829973453,0.963636363636364,NA,0.76969696969697
"1061254",0.775455334233289,0.812121212121212,NA,0.981818181818182
"1938269",0,NA,NA,0.818181818181818
"827636",0.135012627080125,0.939189189189189,NA,0.278787878787879
"1629198",0.219896044060272,0.87037037037037,NA,0.8
"605145",0,NA,NA,0.878787878787879
"1053575",0.146789592498675,0.984962406015038,NA,0.678787878787879
"1947803",0.19547762577758,0.969325153374233,NA,0.76969696969697
"706990",0.153655744780079,0.951515151515152,NA,0.666666666666667
"1061169",0.247707203774326,0.257668711656442,NA,0.975757575757576
"282785",0.334184717255325,0.909090909090909,NA,0.939393939393939
"825849",0.772746695039452,0.963636363636364,NA,0.109090909090909
