"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.518440772291245,0.814814814814815,0.666666666666667,0.705882352941177
"223811",0.516763182663285,0.685185185185185,NA,0.962962962962963
"1948107",0.38864211414113,0.792452830188679,NA,0.796296296296296
"1962655",0.581185159769939,0.740740740740741,NA,0.925925925925926
"586116",0.312106811495814,0.659574468085106,0.444444444444444,0.422222222222222
"964155",0.207068573064184,0.622222222222222,NA,0.833333333333333
"1942922",0.307596368188608,0.833333333333333,NA,1
"929647",0.00177811803493261,0.666666666666667,NA,1
"1338378",0.420154784449978,0.759259259259259,NA,0.962962962962963
"633346",0.00170229869431326,0.5,NA,1
"1650389",0.065527440813345,0.551020408163265,NA,1
"1641245",0.422703242647267,0.75,NA,1
"1663289",0,NA,NA,1
"618849",0.318775864275658,0.673913043478261,0.846153846153846,0.285714285714286
"1054084",0.359823064945087,0.648148148148148,NA,0.944444444444444
"811237",0.557822093445053,0.759259259259259,NA,0.981481481481482
"955492",0.435245689282938,0.759259259259259,NA,0.851851851851852
"948898",0.386507706814299,0.791666666666667,NA,0.962962962962963
"8383",0.3508621252999,0.755555555555556,NA,1
"737498",0.548061738013518,0.8125,NA,0.944444444444444
"1041019",0.592566057843431,0.759259259259259,NA,0.962962962962963
"1985204",0.404114756813456,0.659090909090909,NA,0.981481481481482
"948601",0.312319064616768,0.673469387755102,NA,1
"1331037",0.215299518468083,0.666666666666667,NA,0.666666666666667
"1669601",0.428380747991311,0.907407407407407,NA,1
"893041",0.178768427735064,0.688888888888889,NA,1
"847832",0.0325897187196896,0.645161290322581,NA,1
"1102195",0.119013244617413,0.666666666666667,NA,1
"592977",0.461498822476461,0.759259259259259,NA,1
"1471895",0.597252471931853,0.87037037037037,1,0.792452830188679
"1958442",0.532895002762022,0.666666666666667,NA,0.981481481481482
"948001",0.354492104442491,0.775510204081633,NA,0.981481481481482
"964235",0.0880061115355233,1,NA,0.462962962962963
"1650226",0.322680658239924,0.84,NA,0.944444444444444
"8201",0.198094920482731,0.627906976744186,NA,0.777777777777778
"1546130",0.365140177867526,0.907407407407407,NA,1
"1221713",0.452167174991328,0.792452830188679,NA,0.981481481481482
"943424",0.442433238437696,0.814814814814815,NA,0.648148148148148
"706726",0.439085499530222,0.740740740740741,NA,0.759259259259259
"809906",0.489494163424124,0.755102040816326,0.942857142857143,0.789473684210526
"611375",0.403226837936359,0.666666666666667,NA,0.925925925925926
"1547003",0.361822414366478,0.82,NA,0.944444444444444
"1946494",0.540152018831647,0.722222222222222,NA,0.981481481481482
"1545927",0.206679362720052,0.693877551020408,NA,1
"618853",0.366049206709742,0.714285714285714,NA,1
"2008368",0.0319874668989343,0.5,NA,0.981481481481482
"943904",0.277057981212572,0.681818181818182,NA,0.851851851851852
"1633630",0.568058597892775,0.907407407407407,NA,0.907407407407407
"1114910",0.223216655921726,0.686274509803922,NA,1
"1023683",0.176097279545555,0.51219512195122,NA,1
"793205",0.348156747319445,0.7,NA,0.87037037037037
"1221771",0.436133872350425,0.686274509803922,0.869565217391304,0.125
"1054467",0.537916052173759,0.769230769230769,NA,0.5
"715945",0.621238650517157,0.759259259259259,NA,0.907407407407407
"1054036",0.260402622799954,0.673076923076923,NA,0.888888888888889
"612046",0.313924452019501,0.740740740740741,0.5,0.826923076923077
"1102397",0.430508440453781,0.740740740740741,0.842105263157895,0.771428571428571
"358485",0.303151772777528,0.651162790697674,NA,0.944444444444444
"810877",0.583027967210168,0.740740740740741,NA,0.796296296296296
"1126",0.393289893248302,0.74,NA,0.981481481481482
"715737",0.359220712313414,0.648148148148148,NA,1
"1099406",0.0270317247324986,0.578947368421053,NA,1
"1220694",0.388558742707078,0.686274509803922,NA,1
"943893",0.334893048128342,0.705882352941177,NA,0.944444444444444
"809838",0.390967917100321,0.78,NA,1
"1054436",0.412102209214414,0.72,NA,0.944444444444444
"817395",0,NA,NA,0.981481481481482
"586036",0.391023028560177,0.759259259259259,NA,1
"706714",0.356774547449259,0.787234042553192,NA,0.648148148148148
"1220878",0.362339971215984,0.784313725490196,NA,0.981481481481482
"955414",0.0780293964913865,0.849056603773585,NA,1
"1555181",0.41747197526092,0.833333333333333,0.833333333333333,0.904761904761905
"1739024",0,NA,NA,1
"1652570",0.593560025254803,0.777777777777778,NA,1
"1220941",0.328455044789324,0.692307692307692,NA,0.777777777777778
"1947988",0.474744298740452,0.830188679245283,NA,0.981481481481482
"807274",0.414216587343382,0.722222222222222,NA,0.944444444444444
"1475279",0.00561762686474003,0.375,NA,1
"594559",0.296652059169506,0.75,NA,0.703703703703704
"965207",0.581580467462207,0.796296296296296,NA,1
"942980",0.385294682280668,0.685185185185185,NA,0.907407407407407
"715586",0.524026602281939,0.754716981132076,0.895833333333333,0.166666666666667
"799526",0.12284385780711,0.769230769230769,NA,0.907407407407407
"1641403",0.392540231613776,0.716981132075472,NA,0.981481481481482
"1615370",0.552047453320569,0.685185185185185,NA,0.925925925925926
"1771782",0.432818693928646,0.907407407407407,NA,1
"1948338",0.359278386982667,0.78,NA,0.759259259259259
"1035359",0.0328218105024212,0.575,NA,1
"780697",0.591304347826087,0.740740740740741,NA,1
"1061254",0.746948871512834,0.796296296296296,NA,1
"1938269",0.0523039985224859,0.673469387755102,NA,1
"827636",0.0827999660655877,0.571428571428571,0.7,0.454545454545455
"1629198",0.274779957030979,0.659090909090909,NA,0.981481481481482
"605145",0.0254573550017679,0.565217391304348,NA,1
"1053575",0.394829612220917,0.74,NA,0.907407407407407
"1947803",0.337038004130368,0.773584905660377,NA,0.87037037037037
"706990",0.37263453439401,0.755102040816326,NA,1
"1061169",0.722798938307168,0.777777777777778,NA,1
"282785",0.251363528574816,0.811320754716981,NA,1
"825849",0.759669007718518,0.925925925925926,NA,0.222222222222222
