"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.461195408010259,0.925925925925926,NA,0.62962962962963
"223811",0.61415495416904,0.905660377358491,NA,0.907407407407407
"1948107",0.222952674087405,0.891304347826087,NA,0.685185185185185
"1962655",0.56433605818189,0.888888888888889,NA,0.907407407407407
"586116",0.282489572978545,0.818181818181818,0.5,0.42
"964155",0.152179859473655,0.68,NA,0.833333333333333
"1942922",0.258841172943367,0.942307692307692,NA,1
"929647",0,NA,NA,1
"1338378",0.427413687477013,0.944444444444444,NA,0.962962962962963
"633346",0,NA,NA,1
"1650389",0.0205732214609825,0.333333333333333,NA,1
"1641245",0.405169131765984,0.88,NA,1
"1663289",0,NA,NA,1
"618849",0.29358030985507,0.8,0.823529411764706,0.243243243243243
"1054084",0.287091941152153,0.923076923076923,NA,0.944444444444444
"811237",0.529109376388655,0.851851851851852,NA,0.907407407407407
"955492",0.419856596390634,0.962962962962963,NA,0.851851851851852
"948898",0.331905196529615,0.96078431372549,NA,0.962962962962963
"8383",0.32110221622092,0.837209302325581,NA,1
"737498",0.434419373911692,0.851063829787234,NA,0.888888888888889
"1041019",0.516223655384872,0.796296296296296,NA,0.907407407407407
"1985204",0.28492068853101,0.75,NA,0.962962962962963
"948601",0.196079299140047,0.853658536585366,NA,1
"1331037",0.14054651929546,0.7,NA,0.648148148148148
"1669601",0.465402404604312,0.923076923076923,NA,1
"893041",0.0997665987488081,0.804347826086957,NA,1
"847832",0,NA,NA,1
"1102195",0,NA,NA,1
"592977",0.453629149914206,0.92156862745098,NA,1
"1471895",0.537507073253627,0.981481481481482,NA,0.759259259259259
"1958442",0.556317153172265,0.851851851851852,NA,0.925925925925926
"948001",0.178820977474107,0.933333333333333,NA,0.981481481481482
"964235",0,NA,NA,0.462962962962963
"1650226",0.247796356536575,0.877551020408163,NA,0.888888888888889
"8201",0.143342344706116,0.724137931034483,NA,0.777777777777778
"1546130",0.333101489106059,0.962264150943396,NA,1
"1221713",0.315217963133498,0.94,NA,0.962962962962963
"943424",0.393269346746122,0.909090909090909,NA,0.648148148148148
"706726",0.401649013741071,0.901960784313726,NA,0.759259259259259
"809906",0.461323179106166,0.916666666666667,0.941176470588235,0.75
"611375",0.356258478287619,0.86,NA,0.907407407407407
"1547003",0.33372057278817,0.918367346938776,NA,0.944444444444444
"1946494",0.535849320439223,0.833333333333333,NA,0.944444444444444
"1545927",0.178445156884837,0.877551020408163,NA,1
"618853",0.371242583804233,0.787234042553192,NA,1
"2008368",0,NA,NA,0.962962962962963
"943904",0.191819837093222,0.75,NA,0.833333333333333
"1633630",0.409094618840459,0.944444444444444,NA,0.888888888888889
"1114910",0.17665603936656,0.833333333333333,NA,1
"1023683",0.0452302285321431,0.769230769230769,NA,1
"793205",0.351193531329794,0.85,NA,0.87037037037037
"1221771",0.431779732952055,0.829787234042553,0.857142857142857,0.115384615384615
"1054467",0.531798255840557,0.961538461538462,NA,0.481481481481481
"715945",0.608133080731126,0.87037037037037,NA,0.851851851851852
"1054036",0.22957423540785,0.8125,NA,0.888888888888889
"612046",0.247091418191602,0.903846153846154,0,0.811320754716981
"1102397",0.403837455516127,0.833333333333333,NA,0.555555555555556
"358485",0.251765088898887,0.846153846153846,NA,0.944444444444444
"810877",0.549492367529194,0.888888888888889,NA,0.796296296296296
"1126",0.349814423621115,0.897959183673469,NA,0.962962962962963
"715737",0.391294656127827,0.843137254901961,NA,1
"1099406",0,NA,NA,1
"1220694",0.377834358994708,0.872340425531915,NA,1
"943893",0.263497817712821,0.829787234042553,NA,0.944444444444444
"809838",0.373729155049983,0.869565217391304,NA,1
"1054436",0.390983298483249,0.872340425531915,NA,0.944444444444444
"817395",0,NA,NA,0.962962962962963
"586036",0.31509701620132,0.907407407407407,NA,1
"706714",0.301510727373743,0.877551020408163,NA,0.62962962962963
"1220878",0.264282881300274,0.872340425531915,NA,0.981481481481482
"955414",0,0,NA,1
"1555181",0.316097783232777,0.833333333333333,0.916666666666667,0.80952380952381
"1739024",0,NA,NA,0.925925925925926
"1652570",0.525031656358263,0.851851851851852,NA,0.907407407407407
"1220941",0.266907305907271,0.909090909090909,NA,0.777777777777778
"1947988",0.450789179271374,0.938775510204082,NA,0.981481481481482
"807274",0.387278271550465,0.788461538461538,NA,0.925925925925926
"1475279",0,NA,NA,1
"594559",0.212860564430508,0.821428571428571,NA,0.703703703703704
"965207",0.53609191443268,0.944444444444444,NA,1
"942980",0.329798388434057,0.962962962962963,NA,0.907407407407407
"715586",0.444969561372632,0.882352941176471,0.866666666666667,0.0833333333333333
"799526",0.0214040259551309,0.8,NA,0.888888888888889
"1641403",0.369169621090739,0.86,NA,0.962962962962963
"1615370",0.566947658706065,0.833333333333333,NA,0.888888888888889
"1771782",0.380628411122987,0.962264150943396,NA,0.981481481481482
"1948338",0.22986127980817,0.875,NA,0.740740740740741
"1035359",0,NA,NA,1
"780697",0.574914259080088,0.888888888888889,NA,1
"1061254",0.766309361455814,0.944444444444444,NA,1
"1938269",0,NA,NA,1
"827636",0.086482443272284,0.777777777777778,0.4,0.408163265306122
"1629198",0.18013992076943,0.8,NA,0.944444444444444
"605145",0,NA,NA,1
"1053575",0.373423482531895,0.877551020408163,NA,0.907407407407407
"1947803",0.250433270562104,0.875,NA,0.87037037037037
"706990",0.316651472138521,0.804347826086957,NA,0.962962962962963
"1061169",0.737304615044847,0.851851851851852,NA,1
"282785",0.188484052511699,0.961538461538462,NA,1
"825849",0.701813305229462,0.981481481481482,NA,0.222222222222222
