"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.198993791401787,1,NA,0.62962962962963
"223811",0.495828483893832,0.962962962962963,NA,0.907407407407407
"1948107",0.0567782282986491,0.975,NA,0.685185185185185
"1962655",0.380120464413132,0.981481481481482,NA,0.907407407407407
"586116",0.0735214488810832,0.911111111111111,NA,0.425925925925926
"964155",0.103590225100718,0.407407407407407,NA,0.833333333333333
"1942922",0.246652681981308,0.962962962962963,NA,1
"929647",0,NA,NA,1
"1338378",0.281123833329486,0.981481481481482,NA,0.962962962962963
"633346",0,NA,NA,1
"1650389",0,NA,NA,1
"1641245",0.233069060898346,0.925925925925926,NA,1
"1663289",0,NA,NA,1
"618849",0.20719473358997,0.867924528301887,NA,0.222222222222222
"1054084",0.0728729480743045,0.979591836734694,NA,0.944444444444444
"811237",0.550187308645161,0.962962962962963,NA,0.907407407407407
"955492",0.0368856685388035,1,NA,0.851851851851852
"948898",0.00631612229301611,0.952380952380952,NA,0.962962962962963
"8383",0.112598875491546,0.851851851851852,NA,1
"737498",0.295460553255863,0.867924528301887,NA,0.888888888888889
"1041019",0.4383544862449,1,NA,0.907407407407407
"1985204",0.00136785415501172,0.941176470588235,NA,0.962962962962963
"948601",0.00769579542705634,0.952380952380952,NA,1
"1331037",0.0361354648268329,0.75,NA,0.648148148148148
"1669601",0.341283890471764,0.943396226415094,NA,1
"893041",0.00902920466210424,0.916666666666667,NA,1
"847832",0,NA,NA,1
"1102195",0,NA,NA,1
"592977",0.187129898436981,0.944444444444444,NA,1
"1471895",0.224298076621478,1,NA,0.759259259259259
"1958442",0.432852851554184,0.962962962962963,NA,0.925925925925926
"948001",0.0312963931018611,0.923076923076923,NA,0.981481481481482
"964235",0.00556435709662781,1,NA,0.462962962962963
"1650226",0.00127374033211556,1,NA,0.888888888888889
"8201",0.0156856833380927,0.833333333333333,NA,0.777777777777778
"1546130",0.231707475425852,0.981132075471698,NA,1
"1221713",0.05342600860161,1,NA,0.962962962962963
"943424",0.0864674850142093,0.977272727272727,NA,0.648148148148148
"706726",0.163241459403134,0.959183673469388,NA,0.759259259259259
"809906",0.368819490377181,0.948717948717949,NA,0.314814814814815
"611375",0.22071803409208,0.925925925925926,NA,0.907407407407407
"1547003",0.12932591176868,0.907407407407407,NA,0.944444444444444
"1946494",0.524860734811499,1,NA,0.944444444444444
"1545927",0.156966677450075,0.87037037037037,NA,1
"618853",0.130980969561868,0.907407407407407,NA,1
"2008368",0,NA,NA,0.962962962962963
"943904",0.0559997607036585,0.862068965517241,NA,0.833333333333333
"1633630",0.286242756624294,0.944444444444444,NA,0.888888888888889
"1114910",0.0367802163002768,0.944444444444444,NA,1
"1023683",0,NA,NA,1
"793205",0.053649527809661,0.975609756097561,NA,0.87037037037037
"1221771",0.329979444182687,0.943396226415094,NA,0.12962962962963
"1054467",0.261986960737031,0.980769230769231,NA,0.481481481481481
"715945",0.499415129413925,0.925925925925926,NA,0.851851851851852
"1054036",0.0377403974493969,0.909090909090909,NA,0.888888888888889
"612046",0.0592302963815587,0.962962962962963,NA,0.814814814814815
"1102397",0.267771688235393,0.796296296296296,NA,0.555555555555556
"358485",0.114243518688808,0.796296296296296,NA,0.944444444444444
"810877",0.466228647166935,0.907407407407407,NA,0.796296296296296
"1126",0.0665260825380463,0.907407407407407,NA,0.962962962962963
"715737",0.196376361831932,0.87037037037037,NA,1
"1099406",0,NA,NA,1
"1220694",0.0317006322366122,0.962962962962963,NA,1
"943893",0.0554073927033242,0.938775510204082,NA,0.944444444444444
"809838",0.0922915712831504,0.918367346938776,NA,1
"1054436",0.167856229941983,0.925925925925926,NA,0.944444444444444
"817395",0,0,0.037037037037037,NA
"586036",0.0949967390990822,0.962962962962963,NA,1
"706714",0.0673793710871803,0.972972972972973,NA,0.62962962962963
"1220878",0,NA,NA,0.981481481481482
"955414",0,NA,NA,1
"1555181",0.0893398232103782,0.833333333333333,NA,0.648148148148148
"1739024",0,0,0.0740740740740741,NA
"1652570",0.467537984614819,0.981481481481482,NA,0.907407407407407
"1220941",0.00741147290753262,1,NA,0.777777777777778
"1947988",0.267458686510031,0.907407407407407,NA,0.981481481481482
"807274",0.319048882777256,0.851851851851852,NA,0.925925925925926
"1475279",0,NA,NA,1
"594559",0,NA,NA,0.703703703703704
"965207",0.359178692094284,0.981481481481482,NA,1
"942980",0.122280887400544,1,NA,0.907407407407407
"715586",0.347736428256591,0.888888888888889,NA,0.111111111111111
"799526",0.146493467336821,0.592592592592593,1,0.923076923076923
"1641403",0.15936879005747,0.92,NA,0.962962962962963
"1615370",0.457360461391365,0.944444444444444,NA,0.888888888888889
"1771782",0.232998958951845,0.981481481481482,NA,0.981481481481482
"1948338",0.0863940530826113,0.954545454545455,NA,0.740740740740741
"1035359",0.0154047974295928,0.12962962962963,NA,1
"780697",0.445094466387928,0.981481481481482,NA,1
"1061254",0.738126251810577,0.962962962962963,NA,1
"1938269",0,NA,NA,1
"827636",0,NA,NA,0.425925925925926
"1629198",0,NA,NA,0.944444444444444
"605145",0,NA,NA,1
"1053575",0.0946680448101546,0.959183673469388,NA,0.907407407407407
"1947803",0,NA,NA,0.87037037037037
"706990",0.137342744914292,0.934782608695652,NA,0.962962962962963
"1061169",0.695690409458139,0.925925925925926,NA,1
"282785",0.198297000273578,0.962962962962963,NA,1
"825849",0.51301024208394,1,NA,0.222222222222222
