"Model","StateNum","Probability.Cut.Off","Granularity","Window.Size","Sample.Size","BinNum","Training.Size","Update.Freq","Avg.Cycle.Usage","Agg.Cycle.Usage","Avg.Survival.Rate","Agg.Survival.Rate","Correctly.Scheduled","Correctly.Unscheduled"
"AR1",0,0.0025,0,12,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0,12,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0,12,100,0,2000,36,0.308948845001237,0.327313707014647,0.96681113663523,0.965621299514878,0.492063492063492,0.709085341523843
"AR1",0,0.005,0,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0,12,100,0,3000,36,0.306346801096842,0.324742019576369,0.964396113124346,0.967354424575883,0.704545454545455,0.689508701816274
"AR1",0,0.005,0,12,100,0,4000,36,0.305274347359095,0.323345027546435,0.964501544620075,0.969533643481221,0.476190476190476,0.681779381657934
"AR1",0,0.005,0,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,0,12,100,0,2000,36,0.340627417413882,0.36050388182906,0.960097475614946,0.959308660529776,0.439252336448598,0.709449765763925
"AR1",0,0.01,0,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,0,12,100,0,3000,36,0.338929904296383,0.35881675999803,0.957589725643231,0.961892721690446,0.736842105263158,0.689844081577948
"AR1",0,0.01,0,12,100,0,4000,36,0.338078376947754,0.35756692608995,0.953047480500838,0.962585985123874,0.54,0.682094329535434
"AR1",0,0.01,0,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,0,12,100,0,2000,36,0.474019402131946,0.497812299638463,0.902587655356392,0.901890982723146,0.67032967032967,0.71557628747568
"AR1",0,0.1,0,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,0,12,100,0,3000,36,0.474863133211416,0.498618979102646,0.903763620302792,0.905510268067095,0.801282051282051,0.696193962915536
"AR1",0,0.1,0,12,100,0,4000,36,0.476620441138471,0.500413972461633,0.906681569297599,0.905541561712846,0.767605633802817,0.689078697107725
"AR1",0,0.1,0,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,12,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,12,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0.78125,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0.78125,12,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0.78125,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0.78125,12,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0.78125,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,0.78125,12,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,0.78125,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,0.78125,12,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,0.78125,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,0.78125,12,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,0.78125,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,0.78125,12,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,0.78125,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,1.5625,12,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,1.5625,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,1.5625,12,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,1.5625,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,12,100,0,2000,36,0.305116753273089,0.323529189372009,0.967533091671341,0.966701312699696,0.617021276595745,0.763899777789118
"AR1",0,0.005,1.5625,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,1.5625,12,100,0,3000,36,0.302537637653351,0.32092443679965,0.968855253801722,0.96891910642431,0.84375,0.747163641031079
"AR1",0,0.005,1.5625,12,100,0,4000,36,0.301200724987568,0.319258995797492,0.970950202046159,0.970791654758502,0.545454545454545,0.73941370338248
"AR1",0,0.005,1.5625,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,1.5625,12,100,0,2000,36,0.337037535728397,0.356931601890153,0.958439774862149,0.960902085222122,0.478260869565217,0.764320831186195
"AR1",0,0.01,1.5625,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,1.5625,12,100,0,3000,36,0.335188008390502,0.355033131388057,0.958114913320916,0.963383093606788,0.740740740740741,0.747551346340701
"AR1",0,0.01,1.5625,12,100,0,4000,36,0.334461327822344,0.354003873763634,0.965110665526727,0.964211472554638,0.6,0.739870306598534
"AR1",0,0.01,1.5625,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,1.5625,12,100,0,2000,36,0.472390028378934,0.49631941615822,0.897822335430408,0.906567838861929,0.682758620689655,0.77083225924381
"AR1",0,0.1,1.5625,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,1.5625,12,100,0,3000,36,0.47342007682049,0.497501299829346,0.907456991945479,0.911096043395022,0.775641025641026,0.754264575685293
"AR1",0,0.1,1.5625,12,100,0,4000,36,0.475176650803503,0.499437355856495,0.911554699161985,0.910576733162157,0.783393501805054,0.747386074972282
"AR1",0,0.1,1.5625,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,3.125,12,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,3.125,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,3.125,12,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,3.125,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,3.125,12,100,0,2000,36,0.301232992086591,0.319694036350727,0.969020572356991,0.968617207906124,0.604651162790698,0.803184926105632
"AR1",0,0.005,3.125,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,3.125,12,100,0,3000,36,0.298539814159914,0.316990928145645,0.96955865104229,0.970020111313783,0.928571428571429,0.790535714285714
"AR1",0,0.005,3.125,12,100,0,4000,36,0.297237716514248,0.315344807367973,0.971839555567262,0.971896142948014,0.944444444444444,0.7848842452876
"AR1",0,0.005,3.125,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,3.125,12,100,0,2000,36,0.333300658585371,0.353196993529713,0.957934622083797,0.962400303835929,0.459770114942529,0.803582535718596
"AR1",0,0.01,3.125,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.01,3.125,12,100,0,3000,36,0.331511251076647,0.351390493487419,0.964592097683021,0.96470427288066,0.923076923076923,0.790892037651157
"AR1",0,0.01,3.125,12,100,0,4000,36,0.330732698417229,0.350445487409537,0.965812063169274,0.965803284239038,0.888888888888889,0.785257166655098
"AR1",0,0.01,3.125,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,3.125,12,100,0,2000,36,0.470284769850222,0.494613726113464,0.911085159509857,0.910826315966048,0.694376528117359,0.810264698992738
"AR1",0,0.1,3.125,12,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.1,3.125,12,100,0,3000,36,0.471144187331965,0.495789217877598,0.911195576136448,0.915228262623004,0.795539033457249,0.797185509711061
"AR1",0,0.1,3.125,12,100,0,4000,36,0.473151724928284,0.497746701093853,0.91549445060552,0.914986022364217,0.737051792828685,0.792397025532482
"AR1",0,0.1,3.125,12,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0,36,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0,36,100,0,2000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0,36,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.0025,0,36,100,0,4000,108,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0,36,100,0,2000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0,36,100,0,2000,108,0.154745265696356,0.165342366236891,0.953084106947666,0.956092373138864,1,0.884215389454646
"AR1",0,0.005,0,36,100,0,3000,108,0.148877855553406,0.159070989077078,0.956020856654386,0.961318843249217,0,0.874117902826824
"AR1",0,0.005,0,36,100,0,4000,36,NA,NA,NA,NA,NA,NA
"AR1",0,0.005,0,36,100,0,4000,108,0.145383844975387,0.155841372689149,0.946822541216914,0.963602856484681,1,0.872424554710169
"AR1",0,0.01,0,36,100,0,2000,36,NA,NA,NA,NA,NA,NA
