"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.448338317678278,0.974452554744526,NA,0.326086956521739
"223811",0.658148791590614,0.981884057971015,NA,0.789855072463768
"1948107",0.264298353978164,0.968253968253968,NA,0.376811594202899
"1962655",0.533227508687631,0.963768115942029,NA,0.945652173913043
"586116",0.149317454075614,0.949152542372881,NA,0.521739130434783
"964155",0.22163361729544,0.95,NA,0.52536231884058
"1942922",0.239577216676453,0.985507246376812,NA,0.989130434782609
"929647",0,NA,NA,0.960144927536232
"1338378",0.415391217279359,0.985507246376812,NA,0.818840579710145
"633346",0,NA,NA,0.942028985507246
"1650389",0.154238760104215,0.941176470588235,NA,0.702898550724638
"1641245",0.455929315383834,0.985507246376812,NA,0.996376811594203
"1663289",0,NA,NA,0.77536231884058
"618849",0.280649548408095,0.968253968253968,NA,0.144927536231884
"1054084",0.375155279503106,0.981617647058823,NA,0.742753623188406
"811237",0.641949085038818,0.97463768115942,NA,0.934782608695652
"955492",0.421199685671876,0.989130434782609,NA,0.692028985507246
"948898",0.236082154105487,0.973880597014925,NA,0.949275362318841
"8383",0.270247549941376,0.943609022556391,NA,0.91304347826087
"737498",0.223690491144329,0.955284552845528,NA,1
"1041019",0.58220714733809,0.971014492753623,NA,0.902173913043478
"1985204",0.234829094443544,0.929752066115702,NA,0.844202898550725
"948601",0.211146433096948,0.968503937007874,NA,0.942028985507246
"1331037",0.147922202481093,0.945121951219512,NA,0.47463768115942
"1669601",0.147598668568711,0.988847583643123,NA,0.971014492753623
"893041",0.17517367703889,0.945652173913043,NA,1
"847832",0,NA,NA,0.894927536231884
"1102195",0,NA,NA,0.898550724637681
"592977",0.386889803774795,0.988805970149254,NA,0.952898550724638
"1471895",0.500835202596287,0.985507246376812,NA,0.615942028985507
"1958442",0.561193010173038,0.960144927536232,NA,0.952898550724638
"948001",0.296359723740099,0.985294117647059,NA,1
"964235",0.471189285844616,0.963636363636364,1,0.787313432835821
"1650226",0.209314871426003,0.966417910447761,NA,0.956521739130435
"8201",0.0648950038074833,0.961038961038961,NA,0.721014492753623
"1546130",0.417726864233355,0.989090909090909,NA,0.985507246376812
"1221713",0.311491709163219,0.981884057971015,NA,1
"943424",0.152500683246789,0.947916666666667,NA,0.652173913043478
"706726",0.182463320127128,0.953703703703704,NA,0.677536231884058
"809906",0.468002585649644,0.985221674876847,1,0.277153558052434
"611375",0.401318705074853,0.945652173913043,NA,0.554347826086957
"1547003",0.290446535047039,0.970909090909091,NA,0.934782608695652
"1946494",0.622010990643101,0.967391304347826,NA,0.909420289855073
"1545927",0.148021152240468,0.9812734082397,NA,0.938405797101449
"618853",0.361152817131955,0.96,NA,0.992753623188406
"2008368",0,NA,NA,0.942028985507246
"943904",0.161733830003386,0.918478260869565,NA,0.510869565217391
"1633630",0.47330660225826,0.960144927536232,NA,0.673913043478261
"1114910",0.157759854443791,0.963768115942029,NA,0.963768115942029
"1023683",0.143042639059484,0.949275362318841,NA,0.829710144927536
"793205",0.216518494002716,0.961538461538462,NA,0.619565217391304
"1221771",0.316010774587741,0.973094170403587,NA,0.184782608695652
"1054467",0.449996868933559,0.992565055762082,NA,0.221014492753623
"715945",0.616283549505586,0.97463768115942,NA,0.960144927536232
"1054036",0.226983059531815,0.959259259259259,NA,0.608695652173913
"612046",0.198422904282421,0.989130434782609,NA,0.706521739130435
"1102397",0.48704935488778,0.963768115942029,NA,0.692028985507246
"358485",0.272437486718141,0.949416342412451,NA,0.822463768115942
"810877",0.569954004621132,0.967391304347826,NA,0.427536231884058
"1126",0.332763607678149,0.96,NA,0.826086956521739
"715737",0.416965263527235,0.956521739130435,NA,0.909420289855073
"1099406",0,NA,NA,0.778985507246377
"1220694",0.352681287017769,0.960144927536232,NA,1
"943893",0.285102134676433,0.963369963369963,NA,0.923913043478261
"809838",0.305579957702945,0.966292134831461,NA,0.952898550724638
"1054436",0.337794802129034,0.973584905660377,NA,0.949275362318841
"817395",0,NA,NA,1
"586036",0.341966885402634,0.971014492753623,NA,0.989130434782609
"706714",0.18083547086845,0.965367965367965,NA,0.648550724637681
"1220878",0.254069709377809,0.934306569343066,NA,0.945652173913043
"955414",0.218849261335778,0.952054794520548,NA,0.960144927536232
"1555181",0.342193934855859,0.939393939393939,NA,0.746376811594203
"1739024",0,NA,NA,0.978260869565217
"1652570",0.613913489924272,0.971014492753623,NA,0.967391304347826
