"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.468795508748232,0.902173913043478,NA,0.576968272620447
"223811",0.667259338779207,0.923913043478261,NA,0.959459459459459
"1948107",0.312912494072359,0.934065934065934,NA,0.72737955346651
"1962655",0.518209327857067,0.847826086956522,NA,0.983548766157462
"586116",0.193066873240276,0.835616438356164,NA,0.623971797884841
"964155",0.250793728325111,0.810126582278481,NA,0.779670975323149
"1942922",0.282951285344862,0.923913043478261,NA,1
"929647",0,NA,NA,1
"1338378",0.451258543189497,0.956521739130435,NA,0.928319623971798
"633346",0,NA,NA,1
"1650389",0.183143027790465,0.819444444444444,NA,0.825499412455934
"1641245",0.455732289521913,0.933333333333333,NA,1
"1663289",0,NA,NA,1
"618849",0.235453124449093,0.862068965517241,NA,0.313748531139835
"1054084",0.365644294965112,0.880434782608696,NA,0.922444183313749
"811237",0.602017412990715,0.846153846153846,NA,1
"955492",0.47753300879067,0.91304347826087,NA,0.897179788484136
"948898",0.275883131426245,0.923913043478261,NA,0.985311398354877
"8383",0.305540258988231,0.853932584269663,NA,0.999412455934195
"737498",0.228943954764677,0.779069767441861,NA,0.99882491186839
"1041019",0.560005549893004,0.912087912087912,NA,0.995887191539365
"1985204",0.235965485234969,0.776470588235294,NA,0.986486486486487
"948601",0.216820259777955,0.844444444444444,NA,0.998237367802585
"1331037",0.137169696776049,0.847826086956522,NA,0.602232667450059
"1669601",0.279775080231847,0.933333333333333,NA,1
"893041",0.175741239892183,0.820224719101124,NA,1
"847832",0.00140499684526171,0.75,NA,1
"1102195",0.0685721623559375,0.912087912087912,NA,0.993537015276146
"592977",0.419121674596441,0.912087912087912,NA,1
"1471895",0.53267491670633,0.967391304347826,NA,0.714453584018801
"1958442",0.548631503804533,0.869565217391304,NA,0.994712103407756
"948001",0.310652440090957,0.880434782608696,NA,0.995887191539365
"964235",0.385517265956309,0.947368421052632,1,0.914207275223061
"1650226",0.252065597275742,0.901098901098901,NA,0.961809635722679
"8201",0.129119790442288,0.901408450704225,NA,0.889541715628672
"1546130",0.469016365728496,0.945652173913043,NA,1
"1221713",0.340997929315593,0.91304347826087,NA,0.984136310223267
"943424",0.249104871384152,0.805194805194805,NA,0.811985898942421
"706726",0.237901923697929,0.772727272727273,NA,0.843713278495887
"809906",0.469350689685439,0.956521739130435,0.96,0.396959459459459
"611375",0.417597542378014,0.868131868131868,NA,0.934195064629847
"1547003",0.333659524211237,0.923913043478261,NA,0.991774383078731
"1946494",0.556454048250176,0.820224719101124,NA,1
"1545927",0.251915551036868,0.902173913043478,NA,1
"618853",0.389383561643836,0.934065934065934,NA,0.999412455934195
"2008368",0,NA,NA,1
"943904",0.203657191145748,0.802816901408451,NA,0.735017626321974
"1633630",0.466542617905962,0.89010989010989,NA,0.977673325499412
"1114910",0.223348607112445,0.833333333333333,NA,1
"1023683",0.124003260663042,0.755555555555556,NA,0.982961222091657
"793205",0.278649707930737,0.89873417721519,NA,0.850176263219741
"1221771",0.413818738876749,0.897435897435897,0.375,0.254926108374384
"1054467",0.488141279530311,0.956043956043956,NA,0.494712103407756
"715945",0.59542679951861,0.9,NA,0.902467685076381
"1054036",0.311186640086277,0.880434782608696,NA,0.808460634547591
"612046",0.28746543089917,0.923076923076923,NA,0.887779083431257
"1102397",0.578072115954975,0.934065934065934,NA,0.786133960047004
"358485",0.310933220981673,0.911111111111111,NA,0.987074030552291
"810877",0.580683441380068,0.9,NA,0.682726204465335
"1126",0.366792527931803,0.901098901098901,NA,1
"715737",0.4297463572585,0.89010989010989,NA,1
"1099406",0,NA,NA,0.988836662749706
"1220694",0.374769170959277,0.911111111111111,NA,1
"943893",0.320539866298019,0.89010989010989,NA,0.957696827262045
"809838",0.338119143607263,0.911111111111111,NA,0.987661574618096
"1054436",0.389666794851494,0.912087912087912,NA,0.978260869565217
"817395",0,NA,NA,1
"586036",0.355484700102487,0.912087912087912,NA,1
"706714",0.239347983080574,0.906976744186046,NA,0.826086956521739
"1220878",0.265195232824063,0.846153846153846,NA,1
"955414",0.0570253392255937,0.934065934065934,NA,1
"1555181",0.228157778106072,0.894736842105263,1,0.729441305712492
"1739024",0,NA,NA,0.990011750881316
"1652570",0.585381975620101,0.847826086956522,NA,1
"1220941",0.256936026554588,0.880434782608696,NA,0.877790834312573
"1947988",0.473469568196638,0.967391304347826,NA,0.993537015276146
"807274",0.335685539785158,0.829545454545455,NA,0.984136310223267
"1475279",0.00130098929394227,1,NA,0.985311398354877
"594559",0.21578218851191,0.831168831168831,NA,0.703877790834313
"965207",0.575146025754141,0.956521739130435,NA,1
"942980",0.417169986234795,0.902173913043478,NA,0.86310223266745
"715586",0.504542780573894,0.9,0.261904761904762,0.169188445667125
"799526",0.110828202398037,0.939393939393939,0.5,0.800119331742243
"1641403",0.373540856031128,0.901098901098901,NA,0.995887191539365
"1615370",0.612300713395245,0.891304347826087,NA,0.99764982373678
"1771782",0.368349057709895,0.967391304347826,NA,0.990599294947121
"1948338",0.309044563593214,0.887640449438202,NA,0.723266745005875
"1035359",0.0290630203340229,0.845238095238095,NA,1
"780697",0.590105206127718,0.869565217391304,NA,0.998237367802585
"1061254",0.788235613316331,0.91304347826087,NA,1
"1938269",0.0238062989491128,0.984615384615385,NA,1
"827636",0.0152333540759179,0.869565217391304,NA,0.576380728554642
"1629198",0.0888496953593843,0.822222222222222,NA,0.99882491186839
"605145",0.00257744260417164,0.666666666666667,NA,0.992361927144536
"1053575",0.298270445679566,0.901098901098901,NA,0.975323149236193
"1947803",0.256613008421016,0.813953488372093,NA,0.824324324324324
"706990",0.279835485238352,0.879120879120879,NA,0.985311398354877
"1061169",0.76518369300023,0.880434782608696,NA,1
"282785",0.250143430866322,0.945054945054945,NA,1
"825849",0.681747410700183,0.945652173913043,NA,0.551116333725029
