"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.751650935505429,0.990963855421687,0.988571428571429,0.0955414012738854
"223811",0.908574973576767,0.996987951807229,1,0
"1948107",0.700646350175385,0.987878787878788,0.666666666666667,0.0425531914893617
"1962655",0.923905772274004,0.984939759036145,NA,0.0572289156626506
"586116",0.708195222140064,0.963855421686747,0.984771573604061,0.214814814814815
"964155",0.729569835623609,0.990963855421687,0.996350364963504,0
"1942922",0.437429181305242,1,NA,0.466867469879518
"929647",0.731641700549019,0.996987951807229,1,NA
"1338378",0.823360436979551,0.984939759036145,0.9375,0.0126582278481013
"633346",0.679875534022301,0.993975903614458,1,0
"1650389",0.683102910957951,0.957831325301205,0.968325791855204,0.342342342342342
"1641245",0.798195254354503,0.987951807228916,1,0.0272727272727273
"1663289",0,NA,NA,0.0150602409638554
"618849",0.783428132379549,0.990963855421687,0.992248062015504,0.202702702702703
"1054084",0.817387406996866,0.97289156626506,0.985365853658537,0.078740157480315
"811237",0.93783920622718,0.996987951807229,NA,0.0602409638554217
"955492",0.665121975303722,0.978915662650602,0.993827160493827,0.0294117647058824
"948898",0.751213355173438,0.990963855421687,0.857142857142857,0.0553846153846154
"8383",0.73222933631744,0.981927710843373,0.918918918918919,0.0983050847457627
"737498",0.806768459376777,0.936746987951807,NA,0.129518072289157
"1041019",0.934804695109499,0.993975903614458,NA,0.0753012048192771
"1985204",0.835401937495821,0.94578313253012,0.940594059405941,0.103448275862069
"948601",0.735337183724301,0.987951807228916,0.928571428571429,0.119496855345912
"1331037",0.774000692837272,0.990963855421687,1,0
"1669601",0.540376121445988,0.996987951807229,NA,0.412650602409639
"893041",0.771022031268373,0.987951807228916,0.954545454545455,0.0104166666666667
"847832",0.794495514402434,1,1,NA
"1102195",0.740689133218038,1,1,NA
"592977",0.780778212494625,0.996987951807229,NA,0.126506024096386
"1471895",0.813438824876617,0.990963855421687,1,0.0628930817610063
"1958442",0.926699984802464,0.984939759036145,NA,0.072289156626506
"948001",0.754270378541965,0.993975903614458,NA,0.0662650602409639
"964235",0.691788659345299,0.990963855421687,1,NA
"1650226",0.776225253597969,0.984939759036145,1,0.0171232876712329
"8201",0.736873992713067,0.987951807228916,0.977272727272727,0.00641025641025641
"1546130",0.83879056779068,0.996960486322188,NA,0.234939759036145
"1221713",0.782256350146417,0.978915662650602,NA,0.0963855421686747
"943424",0.679232051946041,0.978723404255319,1,0.172161172161172
"706726",0.741217101598437,0.97289156626506,0.954198473282443,0.208955223880597
"809906",0.784813200539289,0.983221476510067,0.992277992277992,0.876712328767123
"611375",0.888210772877836,0.990963855421687,0.993788819875776,0.1
"1547003",0.739956989458425,0.996987951807229,1,0.0664652567975831
"1946494",0.942173816611576,1,NA,0.0602409638554217
"1545927",0.418425190937182,0.996978851963746,NA,0.515060240963855
"618853",0.728090864756951,0.990963855421687,NA,0.129518072289157
"2008368",0.506969387113211,0.962962962962963,0.978723404255319,0.0575916230366492
"943904",0.712962871240975,0.945121951219512,0.941176470588235,0.284916201117318
"1633630",0.837865326705303,1,NA,0.00301204819277108
"1114910",0.510445523030387,0.996987951807229,NA,0.469879518072289
"1023683",0.783470889944492,1,1,NA
"793205",0.77897945768337,0.960843373493976,0.987951807228916,0.27710843373494
"1221771",0.658570039043652,0.991304347826087,0.995652173913044,0.362745098039216
"1054467",0.83861182458758,0.993975903614458,0.994318181818182,0.00641025641025641
"715945",0.90606289979317,0.990963855421687,NA,0.0542168674698795
"1054036",0.835232156296415,0.963855421686747,0.978540772532189,0.0808080808080808
"612046",0.763632829683966,0.984939759036145,0.990783410138249,0.0173913043478261
"1102397",0.777948431591616,0.990963855421687,0.98993288590604,0.205882352941176
"358485",0.78139797229586,0.981818181818182,NA,0.0873493975903614
"810877",0.709612595047282,0.981873111782477,1,0.234615384615385
"1126",0.756801524709836,0.975903614457831,0.947916666666667,0.101694915254237
"715737",0.868592354153748,0.978723404255319,NA,0.0873493975903614
"1099406",0.69429417820059,0.996987951807229,1,NA
"1220694",0.802777029408687,0.993975903614458,NA,0.0602409638554217
"943893",0.674314553788342,0.984939759036145,1,0.069204152249135
"809838",0.795487154719784,0.957575757575758,NA,0.123493975903614
"1054436",0.740509702134093,0.987951807228916,0.916666666666667,0.053125
"817395",0.305136660972168,0.995670995670996,1,0
"586036",0.881563405714028,0.963855421686747,0.993865030674847,0
"706714",0.719115768961775,0.984939759036145,1,0.0447761194029851
"1220878",0.73102671794418,0.939759036144578,0.973544973544973,0.0559440559440559
"955414",0.599016212586708,0.996987951807229,NA,0.493975903614458
"1555181",0.804936080101827,0.984939759036145,1,NA
"1739024",0.921694116852046,1,1,NA
"1652570",0.935685535984324,0.996969696969697,NA,0.0572289156626506
"1220941",0.730721217556832,0.987951807228916,1,0.0521472392638037
"1947988",0.718758721965253,0.987951807228916,0.96969696969697,0.020066889632107
"807274",0.837870085005622,0.996987951807229,NA,0.0451807228915663
"1475279",0.565892927334775,0.981927710843373,1,0
"594559",0.692390243016124,0.955017301038062,0.984,0.217391304347826
"965207",0.795185158456913,1,NA,0.0933734939759036
"942980",0.781644495668042,0.996987951807229,1,0
"715586",0.774690507986513,0.987951807228916,0.992125984251969,0.0641025641025641
"799526",0.262494252523364,0.98705501618123,0.981818181818182,0.115523465703971
"1641403",0.710411708264157,0.984939759036145,0.947368421052632,0.0383386581469649
"1615370",0.927957244191483,0.990963855421687,NA,0.0783132530120482
"1771782",0.68345577904863,0.993975903614458,0.993690851735016,0
"1948338",0.757999128316561,0.990936555891239,1,0.0154320987654321
"1035359",0.610038334080479,0.990963855421687,NA,0.993975903614458
"780697",0.921226785044238,0.975757575757576,NA,0.0542168674698795
"1061254",0.965087034262455,0.993975903614458,NA,0.0331325301204819
"1938269",0.427663186920147,0.984939759036145,0.96969696969697,0.0037593984962406
"827636",0.27197940340828,0.959770114942529,0.991869918699187,0.0717703349282297
"1629198",0.804904654291996,0.948795180722892,0.939068100358423,0.0754716981132075
"605145",0.470918050802271,0.960365853658537,0.968553459119497,0.0289017341040462
"1053575",0.716768891898762,0.993975903614458,1,0.0408805031446541
"1947803",0.738686200601755,0.966867469879518,0.971014492753623,0.026615969581749
"706990",0.654272736046392,0.984894259818731,0.8,0.110091743119266
"1061169",0.855265839400549,1,NA,0.0150602409638554
"282785",0.944006729131831,1,1,NA
"825849",0.757010112596745,1,1,0.0163398692810458
