"","utilization_rate1","utilization_rate2","survival_rate","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.897749703908409,0.866992152335766,0.93841642228739,0.984555984555985,0.223502304147465
"223811",0.964323300357819,0.954860447748233,0.984939759036145,1,0.00444938820912125
"1948107",0.90034062190968,0.854335189803029,0.93841642228739,0.938775510204082,0.0979955456570156
"1962655",0.963642111919064,0.950025974025974,0.984939759036145,NA,0.133920296570899
"586116",0.859029126213592,0.787640204941544,0.869318181818182,0.889830508474576,0.363507779349364
"964155",0.900365732018176,0.844380927634143,0.912181303116147,0.986206896551724,0.0152671755725191
"1942922",0.775370059514726,0.522642528351377,0.996987951807229,NA,0.5
"929647",0.895706952869809,0.827296399389423,0.990963855421687,1,NA
"1338378",0.904767099378204,0.884992264053636,0.87292817679558,0.907534246575342,0.0392749244712991
"633346",0.852720450281426,0.783178624544848,0.978915662650602,1,0
"1650389",0.827829396619277,0.769084101781876,0.88695652173913,0.882113821138211,0.413109756097561
"1641245",0.944100054377379,0.905229496515407,0.926900584795322,NA,0.0931417979610751
"1663289",0,0,NA,NA,0.226598702502317
"618849",0.922103696353262,0.862779991489033,0.915204678362573,0.951851851851852,0.397489539748954
"1054084",0.950114118030649,0.904867466553958,0.935294117647059,NA,0.0732159406858202
"811237",0.964972814721874,0.961930322849623,0.996987951807229,NA,0.0931417979610751
"955492",0.858287021902583,0.784638948036908,0.937125748502994,0.957142857142857,0.0626740947075209
"948898",0.916497813799723,0.876096947660836,0.941690962099125,NA,0.151065801668211
"8383",0.920442344857204,0.878426148880578,0.955621301775148,NA,0.107506950880445
"737498",0.923375834851245,0.879863461482831,0.916167664670659,1,0.153329602686066
"1041019",0.96118530884808,0.957679612575696,0.993975903614458,NA,0.126042632066728
"1985204",0.910023677979479,0.901830743785493,0.933734939759036,0.915857605177994,0.0753424657534247
"948601",0.910982410982411,0.867501872404167,0.93859649122807,NA,0.162187210379981
"1331037",0.903157597970116,0.859394386506153,0.960843373493976,1,0
"1669601",0.757215219696077,0.638389790530419,0.990963855421687,NA,0.416126042632067
"893041",0.937467485173239,0.881231050109217,0.984939759036145,NA,0.0213160333642261
"847832",0.936855267271022,0.903466755987272,1,1,NA
"1102195",0.884240989213365,0.838424679603779,0.978915662650602,1,NA
"592977",0.9125,0.872279764083099,0.943952802359882,NA,0.151065801668211
"1471895",0.917699321954641,0.890308678146797,0.919770773638969,0.966507177033493,0.149509803921569
"1958442",0.960046384145056,0.953962185094014,0.981927710843373,NA,0.14967562557924
"948001",0.93233665559247,0.891261005346084,0.928358208955224,NA,0.0931417979610751
"964235",0.844222776392352,0.770619925639275,0.923529411764706,1,0
"1650226",0.949398589796765,0.917772060543286,0.964285714285714,0.962382445141066,0.104838709677419
"8201",0.869165325362152,0.821902915436047,0.938953488372093,0.935222672064777,0.0347682119205298
"1546130",0.96728624535316,0.932433470133017,0.978978978978979,1,0.470260223048327
"1221713",0.914670029424128,0.879776956056637,0.949704142011834,NA,0.154309545875811
"943424",0.823156991093465,0.787846627867169,0.93452380952381,0.878980891719745,0.353700516351119
"706726",0.86029488654188,0.814097700959857,0.937125748502994,0.842696629213483,0.264840182648402
"809906",0.900597803419992,0.86285130755228,0.868347338935574,0.984496124031008,0.855397148676171
"611375",0.965988460370483,0.94574104355582,0.947674418604651,0.957957957957958,0.0892857142857143
"1547003",0.925490618934656,0.890614461373502,0.963855421686747,NA,0.0871177015755329
"1946494",0.962159908266444,0.959343115006843,0.996987951807229,NA,0.0987025023169602
"1545927",0.790496156533892,0.582637285283842,0.975903614457831,NA,0.523169601482855
"618853",0.897474638463199,0.872475476053087,0.957831325301205,NA,0.184893419833179
"2008368",0.882118725868726,0.791912262490409,0.915451895043732,0.84045584045584,0.0875912408759124
"943904",0.839287677256238,0.789636984176233,0.922388059701493,0.829268292682927,0.316851664984864
"1633630",0.955594830442947,0.929756840266894,0.979041916167665,0.966463414634146,0
"1114910",0.820484429065744,0.610457482686713,0.984939759036145,NA,0.645041705282669
"1023683",0.945275322909585,0.891822554783538,0.954819277108434,1,NA
"793205",0.933484162895928,0.884079708592243,0.888252148997135,0.955056179775281,0.305970149253731
"1221771",0.780530765617661,0.707817907533943,0.960725075528701,0.96137339055794,0.33142037302726
"1054467",0.921744509743272,0.893895712166914,0.946428571428571,0.995833333333333,0.0244821092278719
"715945",0.9622742331944,0.947432108941364,0.961424332344214,NA,0.173772011121409
"1054036",0.925270200720535,0.896047581864398,0.940652818991098,0.967567567567568,0.189277899343545
"612046",0.899890710382514,0.870486040754478,0.935483870967742,0.953068592057762,0.0599455040871935
"1102397",0.928023286583752,0.8851403933116,0.952662721893491,0.920118343195266,0.234567901234568
"358485",0.90907029478458,0.860870032031208,0.952095808383233,0.984615384615385,0.104312354312354
"810877",0.919037199124726,0.901019009594184,0.894586894586895,0.877133105802048,0.782417582417582
"1126",0.911202333369342,0.86441893830703,0.909356725146199,1,0.10107948969578
"715737",0.938846641318124,0.91033070194154,0.949554896142433,NA,0.111214087117702
"1099406",0.848422330097087,0.754315925766077,0.987951807228916,1,NA
"1220694",0.913672810580027,0.890746349469552,0.96996996996997,NA,0.130676552363299
"943893",0.915179554968055,0.879355054950871,0.875706214689266,NA,0.0936051899907322
"809838",0.922869180079939,0.873063591691435,0.906976744186046,NA,0.226598702502317
"1054436",0.90528233151184,0.859825131236378,0.903225806451613,1,0.0717636022514071
