"","utilization_rate1","utilization_rate2","survival_rate","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.820209567323072,0.783146445186097,0.731958762886598,0.623762376237624,0.28030303030303
"223811",0.95489277297796,0.941668100426608,1,1,NA
"1948107",0.766133097224352,0.722519190964272,0.972972972972973,1,0.0200594353640416
"1962655",0.953403516494758,0.928360595115838,0.972972972972973,NA,0.133674214755296
"586116",0.821073462517139,0.727663747420454,0.833333333333333,0.952380952380952,0.383360522022838
"964155",0.86175894714241,0.776721267587458,0.58974358974359,1,0
"1942922",0.846098508689919,0.522761990646609,0.972972972972973,NA,0.762600438276114
"929647",0.909940979578038,0.80919640969032,0.945945945945946,1,NA
"1338378",0.833332690079862,0.798984142891992,0.933333333333333,NA,0.0350620891161432
"633346",0.886934926308196,0.787370285330283,0.972972972972973,1,NA
"1650389",0.74269429165918,0.616781193162913,0.685393258426966,0.44,0.498466257668712
"1641245",0.848104675784965,0.804269810024331,0.960526315789474,NA,0.0971512052593134
"1663289",0,0,NA,NA,0.0248356464572681
"618849",0.850266375954373,0.804543949088495,1,1,NA
"1054084",0.840263471495019,0.78357503407009,0.891891891891892,0.385321100917431,0.140096618357488
"811237",0.96002686758621,0.946599359505754,1,NA,0.139517896274653
"955492",0.826917489974149,0.726653100394234,0.907894736842105,0.91025641025641,0
"948898",0.854721021344379,0.794237071267167,0.811111111111111,NA,0.0496712929145362
"8383",0.830015097694881,0.776722202896451,0.959459459459459,0.27027027027027,0.189929328621908
"737498",0.835088621945689,0.722642942396807,0.522522522522523,NA,0.193571950328707
"1041019",0.959417282791678,0.941167205678699,0.986486486486487,NA,0.0825420014609204
"1985204",0.842315765181963,0.80789273008435,0.730337078651685,0.504587155963303,0
"948601",0.836942792545962,0.774021905734368,0.825581395348837,0,0.233210332103321
"1331037",0.818955604293257,0.762833298838912,0.905405405405405,1,0
"1669601",0.630733432453645,0.559158012357973,0.973333333333333,NA,0.257121986851717
"893041",0.964132185187879,0.892215033987141,0.972972972972973,0.878048780487805,NA
"847832",0.830381866046479,0.784105316071514,0.986486486486487,1,NA
"1102195",0.886320442096983,0.824355907807742,1,1,NA
"592977",0.810767301341215,0.763281643914222,0.788888888888889,NA,0.335281227173119
"1471895",0.868266048914789,0.830551874843428,0.886075949367089,0.983333333333333,0.165178571428571
"1958442",0.965330757965571,0.91208830095599,0.886075949367089,NA,0.241051862673484
"948001",0.850696208880668,0.803979512876716,1,NA,0.135135135135135
"964235",0.771935640196828,0.679428024141225,0.377142857142857,1,0
"1650226",0.886723256101429,0.862872221897662,0.959459459459459,0.986301369863014,0
"8201",0.840537236666848,0.75502967520921,0.813953488372093,0.475728155339806,0.114803625377644
"1546130",0.894319052945652,0.840841794561742,0.916666666666667,NA,0.487947406866326
"1221713",0.829675602772279,0.766608907069279,0.907894736842105,NA,0.196493791088386
"943424",0.803859650365209,0.711214667938542,0.855263157894737,0.420454545454545,0.794069192751236
"706726",0.864378160192607,0.771001258168592,0.906666666666667,0.257142857142857,0.745679012345679
"809906",0.855546973681917,0.782528688497925,0.592233009708738,0.923076923076923,0.8980044345898
"611375",0.903452581018036,0.885821275403953,0.986486486486487,0.986301369863014,0
"1547003",0.832714387562679,0.782748891529177,0.972972972972973,1,0.163663663663664
"1946494",0.961019437551611,0.941285120070525,0.986486486486487,NA,0.120525931336742
"1545927",0.796601845111367,0.529630566662902,0.986486486486487,NA,0.970051132213294
"618853",0.866185758213727,0.809457011996129,0.858823529411765,NA,0.260774287801315
"2008368",0.378923615926381,0.318861146426723,0.972972972972973,NA,0.111760409057706
"943904",0.786263951863645,0.694004163691041,0.839506172839506,0.459459459459459,0.576298701298701
"1633630",0.861175489258913,0.83499832330199,1,NA,0
"1114910",0.799589935055533,0.533932344123347,0.986486486486487,NA,0.95836376917458
"1023683",0.86059808695592,0.810311175534472,1,1,NA
"793205",0.860208841275171,0.818003122018106,0.972972972972973,1,0.22189349112426
"1221771",0.91332239854711,0.881762346261031,0.986486486486487,0.986486486486487,NA
"1054467",0.918682353344049,0.88872844512027,0.986486486486487,0.985714285714286,0
"715945",0.961675743528883,0.882843401785967,0.744444444444444,NA,0.169466764061359
"1054036",0.887986089899073,0.807424727421729,0.868421052631579,0.4,0.468852459016393
"612046",0.823075190191447,0.770728861147821,0.8625,0.82051282051282,0.0142857142857143
"1102397",0.795476416432861,0.725017137512621,0.972972972972973,0.626262626262626,0.391566265060241
"358485",0.803828525948413,0.718717948370316,0.568807339449541,NA,0.203067932797663
"810877",0.87849549347613,0.819894413950497,0.75,0.440677966101695,1
"1126",0.879011644283726,0.797349271163934,0.767441860465116,0.244604316546763,0.0842696629213483
"715737",0.904995331086791,0.853149370669405,0.918918918918919,NA,0.173849525200877
"1099406",0.819279784774021,0.696961772237059,1,1,NA
"1220694",0.837027144552488,0.778522216977469,0.772727272727273,NA,0.209642074506939
"943893",0.853159272865472,0.793727326134202,0.947368421052632,NA,0.097881665449233
"809838",0.83657185933959,0.790753281046107,0.879518072289157,NA,0.278305332359386
"1054436",0.818095579957553,0.763235507358299,0.886075949367089,0.833333333333333,0.100793650793651
"817395",0.559628096939916,0.45816965663092,1,1,NA
"586036",0.919774082103393,0.856601574320327,0.918918918918919,0.72,NA
"706714",0.826636033503704,0.773999872968748,0.959459459459459,0.0769230769230769,0.0435114503816794
"1220878",0.82743797961801,0.704598057781104,0.721518987341772,0.352380952380952,0.145299145299145
"955414",0.887901171507311,0.641407472005592,0.959459459459459,NA,1
"1555181",0.788103744211536,0.773087119743145,0.945945945945946,1,NA
"1739024",0.92294013474179,0.920839823603676,1,1,NA
"1652570",0.95367318856296,0.93784526797629,0.986486486486487,NA,0.177501826150475
"1220941",0.805689596599095,0.741758061969346,0.825581395348837,NA,0.0620891161431702
"1947988",0.839944232384007,0.801469200690284,1,1,0.0532633158289572
"807274",0.900152156952237,0.871948396374095,1,NA,0.0934989043097151
"1475279",0.793422926134018,0.691356596974148,0.933333333333333,1,NA
"594559",0.799960962616101,0.715234143887063,0.556603773584906,0.486842105263158,0.366942148760331
"965207",0.869029175415131,0.849902723747602,1,NA,0.251278305332359
"942980",0.834533769173436,0.772872887057557,1,1,0
"715586",0.916681619225568,0.87927131034938,0.946666666666667,0.660550458715596,NA
"799526",0.445010741920113,0.259760754422501,0.959459459459459,0.514285714285714,0.348514851485148
"1641403",0.831885167636272,0.770180217863319,0.75,0.111111111111111,0.176697530864198
"1615370",0.947608188723975,0.924646095724465,0.96,NA,0.138787436084733
"1771782",0.829380505530705,0.703036079802445,0.866666666666667,1,0
"1948338",0.838776368639838,0.79994176336126,1,1,0
"1035359",0.834397005877169,0.569974420157336,0.891891891891892,NA,1
