"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.820743357148591,0.968609865470852,0.970149253731343,0.141491395793499
"223811",0.960690316395014,0.995495495495496,1,0.0192837465564738
"1948107",0.874546996684401,0.941441441441441,0.917431192660551,0.0222222222222222
"1962655",0.952872118487036,0.990990990990991,NA,0.171171171171171
"586116",0.74099737854701,0.924107142857143,0.992307692307692,0.345167652859961
"964155",0.806886811486986,0.909871244635193,0.994791666666667,0
"1942922",0.538571153475833,0.990990990990991,NA,0.5003465003465
"929647",0.818558720532396,0.995495495495496,1,NA
"1338378",0.895606534491322,0.964125560538117,0.988505747126437,0.0701754385964912
"633346",0.744813627930511,0.995495495495496,1,0
"1650389",0.689356552141464,0.818930041152263,0.827067669172932,0.385885885885886
"1641245",0.906532088135064,0.963963963963964,NA,0.0644490644490645
"1663289",0,NA,NA,0.223839223839224
"618849",0.865445209476018,0.924444444444444,0.995454545454545,0
"1054084",0.898774053971989,0.959821428571429,0.876543209876543,0.0700985761226725
"811237",0.962170285536612,1,NA,0.118503118503119
"955492",0.797420781134856,0.972972972972973,1,0.0333333333333333
"948898",0.897471802836265,0.956140350877193,1,0.0818181818181818
"8383",0.861139975162835,0.932735426008969,0.646153846153846,0.111520737327189
"737498",0.841759099269829,0.95045045045045,NA,0.0887040887040887
"1041019",0.966117500777122,1,NA,0.0921690921690922
"1985204",0.943103636562193,0.986486486486487,1,0
"948601",0.889830508474576,0.959459459459459,0.727272727272727,0.0930735930735931
"1331037",0.870537079186058,0.959459459459459,1,0
"1669601",0.598813573893713,0.986607142857143,NA,0.122661122661123
"893041",0.884318766066838,0.986547085201794,1,0.00955180014695077
"847832",0.901390803157499,1,1,NA
"1102195",0.87050382551827,0.995495495495496,1,NA
"592977",0.879837067209776,0.947136563876652,NA,0.158697158697159
"1471895",0.890718299370388,0.977578475336323,0.934426229508197,0.124161073825503
"1958442",0.947635729075779,0.977477477477477,NA,0.151074151074151
"948001",0.866347603750082,0.911504424778761,NA,0.140679140679141
"964235",0.752958465465233,0.882352941176471,1,NA
"1650226",0.919092581238504,0.986486486486487,0.995454545454545,0
"8201",0.822438984903064,0.951327433628319,0.941176470588235,0.0723981900452489
"1546130",0.908574934805952,0.972972972972973,1,0.799687010954617
"1221713",0.91183179356483,0.968468468468468,NA,0.108108108108108
"943424",0.73187446460556,0.963302752293578,0.846153846153846,0.368043087971275
"706726",0.790540540540541,0.916299559471366,0.842105263157895,0.239171374764595
"809906",0.865094246521267,0.854771784232365,0.949367088607595,0.984090909090909
"611375",0.927578639356255,0.935622317596567,0.990867579908676,0.928571428571429
"1547003",0.861554968003985,0.888412017167382,0.764705882352941,0.124229074889868
"1946494",0.96072319201995,0.995495495495496,NA,0.117810117810118
"1545927",0.5723618219696,0.981981981981982,NA,0.530838530838531
"618853",0.905066610720655,0.943722943722944,NA,0.205821205821206
"2008368",0.721047812412914,0.95045045045045,0.940119760479042,0.039039039039039
"943904",0.733272949237979,0.899563318777293,0.896296296296296,0.404120443740095
"1633630",0.91399393649274,0.981981981981982,1,0
"1114910",0.612326862674425,0.990990990990991,NA,0.680526680526681
"1023683",0.835681971816338,0.918918918918919,1,NA
"793205",0.876924885388504,0.95067264573991,0.947368421052632,0.525951557093426
"1221771",0.850576422461882,0.901345291479821,0.994791666666667,0
"1054467",0.896906444283538,0.960352422907489,0.980676328502415,0
"715945",0.931975263732266,0.964285714285714,NA,0.164934164934165
"1054036",0.88880501245565,0.932432432432432,0.99236641221374,0.296229802513465
"612046",0.840703081894853,0.959641255605381,0.962162162162162,0.0229885057471264
"1102397",0.875346764291236,0.968468468468468,0.954337899543379,0.166666666666667
"358485",0.849738651994498,0.872340425531915,0.82962962962963,0.290492957746479
"810877",0.868496475509308,0.871244635193133,0.975903614457831,0.947802197802198
"1126",0.892666084911029,0.964444444444444,0.6,0.0555555555555556
"715737",0.878347048482841,0.920353982300885,NA,0.14968814968815
"1099406",0.738012118293808,0.995495495495496,1,NA
"1220694",0.891840703048057,0.942477876106195,0.6,0.157303370786517
"943893",0.86372064276885,0.963963963963964,0.909090909090909,0.142961876832845
"809838",0.865338584871012,0.95045045045045,NA,0.161469161469161
"1054436",0.887768165418784,0.945945945945946,1,0.0867739678096571
"817395",0.565944612009871,1,1,NA
"586036",0.917808567433583,0.938864628820961,0.812903225806452,0.0207253886010363
"706714",0.806594996898904,0.892241379310345,0.796610169491525,0.0781032078103208
"1220878",0.845350417394681,0.89237668161435,0.710526315789474,0.203259827420901
"955414",0.71625052097147,0.933035714285714,0.5,0.512297962052003
"1555181",0.962351269756704,0.990990990990991,1,NA
"1739024",1,1,1,NA
"1652570",0.961480157033467,1,NA,0.147609147609148
"1220941",0.878657498277677,0.943478260869565,0.987654320987654,0.104347826086957
"1947988",0.893266041072374,0.913793103448276,0.520833333333333,0.040551500405515
"807274",0.893299830144447,0.954954954954955,NA,0.0630630630630631
