"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.7991403906412,0.984984984984985,0.940972222222222,0.221590909090909
"223811",0.908574973576767,0.996987951807229,1,0
"1948107",0.733794035165229,0.964497041420118,0.2,0.0430510060832943
"1962655",0.925547905463873,0.984939759036145,NA,0.0588507877664504
"586116",0.715111613807299,0.9164265129683,0.898617511520737,0.25531914893617
"964155",0.784110204205058,0.958944281524927,0.971631205673759,0
"1942922",0.452805970287294,1,NA,0.450417052826691
"929647",0.747810007798011,0.993975903614458,1,NA
"1338378",0.82893832188683,0.86449864498645,0.9875,0.0213675213675214
"633346",0.719280077623394,0.987951807228916,1,0
"1650389",0.733147565156975,0.951951951951952,0.911764705882353,0.379785604900459
"1641245",0.798195254354503,0.961876832844575,1,0.0262172284644195
"1663289",0,NA,NA,0.0143651529193698
"618849",0.786120325274324,0.987987987987988,0.951672862453532,0.147609147609148
"1054084",0.867053313232486,0.95,0.907488986784141,0.0855920114122682
"811237",0.940024091186884,0.996987951807229,NA,0.0509731232622799
"955492",0.7044093739665,0.97289156626506,0.995670995670996,0.0608108108108108
"948898",0.790569300896335,0.976261127596439,0.538461538461538,0.0638703527168732
"8383",0.788832310133862,0.961538461538462,0.829787234042553,0.0955761878754779
"737498",0.814993728397145,0.936746987951807,NA,0.126969416126043
"1041019",0.934804695109499,0.993975903614458,NA,0.0699721964782206
"1985204",0.835401937495821,0.94578313253012,0.916666666666667,0.0833333333333333
"948601",0.788135176345865,0.961764705882353,0.952380952380952,0.124120603015075
"1331037",0.81416486560111,0.990963855421687,1,0
"1669601",0.542725582843579,0.996987951807229,NA,0.411955514365153
"893041",0.820367441269549,0.987951807228916,0.914285714285714,0.00274725274725275
"847832",0.794889023820167,1,1,NA
"1102195",0.806106742178901,0.993975903614458,1,NA
"592977",0.787902776923837,0.958702064896755,NA,0.130676552363299
"1471895",0.839177751141126,0.990963855421687,0.995260663507109,0.0822454308093995
"1958442",0.933352896287088,0.984939759036145,NA,0.0746061167747915
"948001",0.798082063926254,0.982089552238806,NA,0.0329008341056534
"964235",0.702812527837018,0.979041916167665,1,NA
"1650226",0.842022410715804,0.973214285714286,0.946078431372549,0.0245261984392419
"8201",0.76148577951297,0.970414201183432,0.942708333333333,0.0177580466148724
"1546130",0.89506435607892,0.987841945288754,NA,0.229379054680259
"1221713",0.78622361961124,0.955621301775148,NA,0.118628359592215
"943424",0.725182783215223,0.972727272727273,0.96875,0.194626474442988
"706726",0.781263397581909,0.949253731343284,0.755813953488372,0.286624203821656
"809906",0.802228423418374,0.943037974683544,0.992277992277992,0.853862212943633
"611375",0.891271254876933,0.956395348837209,0.961077844311377,0.12
"1547003",0.756847312043889,0.996987951807229,1,0.0458372310570627
"1946494",0.942173816611576,1,NA,0.0481927710843374
"1545927",0.494057597751873,0.996978851963746,NA,0.512974976830398
"618853",0.799906866321188,0.987951807228916,NA,0.121408711770158
"2008368",0.692726641306192,0.937869822485207,0.855614973262032,0.0419776119402985
"943904",0.748627776114603,0.945121951219512,0.836653386454183,0.434718100890208
"1633630",0.837865326705303,1,NA,0.00509731232622799
"1114910",0.511253829480158,0.996987951807229,NA,0.447636700648749
"1023683",0.809478222390782,1,1,NA
"793205",0.79213794577014,0.946745562130177,0.954802259887006,0.287368421052632
"1221771",0.661617056105275,0.96652719665272,0.96218487394958,0.34841628959276
"1054467",0.862764647431421,0.982089552238806,0.99581589958159,0.0152801358234295
"715945",0.916489780363597,0.990963855421687,NA,0.0430954587581094
"1054036",0.857221871415008,0.952380952380952,0.925925925925926,0.175084175084175
"612046",0.788838518405968,0.978915662650602,0.9553264604811,0.08300395256917
"1102397",0.780059623248435,0.987987987987988,0.973597359735974,0.214611872146119
"358485",0.792658669487335,0.975903614457831,NA,0.0815569972196478
"810877",0.768634968799398,0.958456973293769,0.81651376146789,0.238767650834403
"1126",0.779140249857715,0.949554896142433,0.81875,0.100349040139616
"715737",0.903785408403346,0.964285714285714,NA,0.0810936051899907
"1099406",0.694803498653877,0.996987951807229,1,NA
"1220694",0.829693452819099,0.966966966966967,NA,0.0611677479147359
"943893",0.807451854378924,0.956140350877193,1,0.0565714285714286
"809838",0.859480242038339,0.906432748538012,NA,0.139481000926784
"1054436",0.795521058032617,0.961876832844575,0.619047619047619,0.0492202729044834
"817395",0.439131455572989,0.996987951807229,1,NA
"586036",0.88813180859957,0.963855421686747,0.993865030674847,0
"706714",0.787366619798285,0.979041916167665,1,0.0414381474710542
"1220878",0.745419793233793,0.914956011730205,0.940298507462687,0.0707196029776675
"955414",0.599925254960601,0.996987951807229,NA,0.499536607970343
"1555181",0.834058569032954,0.981981981981982,1,NA
"1739024",0.921694116852046,1,1,NA
"1652570",0.940422273529829,0.996969696969697,NA,0.06209453197405
"1220941",0.734159733393028,0.958702064896755,1,0.0511928429423459
"1947988",0.78987096365461,0.976190476190476,0.853658536585366,0.0176348547717842
"807274",0.864936479199805,0.996987951807229,NA,0.0505097312326228
"1475279",0.599438688994831,0.975975975975976,1,0
"594559",0.730033269715047,0.920529801324503,0.938356164383562,0.243243243243243
"965207",0.849790147878847,1,NA,0.0917516218721038
"942980",0.783432404148714,0.993993993993994,1,0
"715586",0.811931725049215,0.973293768545994,0.950943396226415,0.094
"799526",0.273444000198861,0.977917981072555,0.909090909090909,0.0905963302752294
"1641403",0.792145859641858,0.931034482758621,0.96,0.0433231396534149
"1615370",0.929118601342638,0.987987987987988,NA,0.0815569972196478
"1771782",0.686030000438644,0.990963855421687,0.993690851735016,0
"1948338",0.760491541386825,0.987915407854985,1,0.0104562737642586
"1035359",0.611689447856544,0.990963855421687,NA,0.994439295644115
"780697",0.926109185766753,0.975757575757576,NA,0.051436515291937
"1061254",0.968490568912711,0.993975903614458,NA,0.031047265987025
"1938269",0.484137084223449,0.975903614457831,0.937799043062201,0
"827636",0.295303269796486,0.953846153846154,0.99236641221374,0.0281576830249397
"1629198",0.813161184335617,0.94311377245509,0.874193548387097,0.0982456140350877
"605145",0.475298189790692,0.954682779456193,0.856410256410256,0.0226500566251416
"1053575",0.773042374085018,0.982142857142857,1,0.0439667806546165
"1947803",0.77997873102224,0.935672514619883,0.955056179775281,0.0253968253968254
"706990",0.746535049653896,0.964497041420118,0.8,0.124354763022055
"1061169",0.880324801572072,0.996987951807229,NA,0.0166821130676552
"282785",0.944006729131831,1,1,NA
"825849",0.789574234758728,1,1,0.0144181256436663
