"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.69291985094423,0.986486486486487,0.529411764705882,0.0870322019147084
"223811",0.946879716725788,1,NA,0
"1948107",0.80475219162228,0.945945945945946,1,0.0375626043405676
"1962655",0.795171439578785,1,NA,0.140248356464573
"586116",0.572225628448804,0.945945945945946,0.625,0.261996161228407
"964155",0.760835820895522,0.931506849315068,1,0
"1942922",0.479054397559736,1,NA,0.782322863403945
"929647",0.815627807913741,1,1,NA
"1338378",0.803273296583299,0.945945945945946,0.925925925925926,0.0527522935779817
"633346",0.725710958707307,1,1,0
"1650389",0.557872674875557,0.931506849315068,0.530612244897959,0.413631022326674
"1641245",0.864092194921178,0.945945945945946,NA,0.0971512052593134
"1663289",0,NA,NA,0.559532505478451
"618849",0.787199142184239,0.986486486486487,1,0
"1054084",0.873518337749268,0.986301369863014,NA,0.114682249817385
"811237",0.827010573738586,1,NA,0.199415631848064
"955492",0.718783292311083,0.945945945945946,1,0.0243654822335025
"948898",0.716352121595947,0.986301369863014,NA,0.0496712929145362
"8383",0.757947415312873,0.972972972972973,NA,0.214755295836377
"737498",0.511195790748945,0.972972972972973,NA,0.194302410518627
"1041019",0.883114564938832,1,NA,0.157048940832725
"1985204",0.860104003781956,0.986486486486487,NA,0.122717311906501
"948601",0.8232100788692,0.958904109589041,0,0.233210332103321
"1331037",0.830239723453821,1,1,0
"1669601",0.577942664418213,0.986301369863014,NA,0.274653031409788
"893041",0.859156293892575,0.986486486486487,NA,0.0241051862673484
"847832",0.890815416625384,1,1,NA
"1102195",0.829365425654288,0.959459459459459,1,NA
"592977",0.743159451618408,0.972602739726027,NA,0.344777209642075
"1471895",0.838294243643029,0.986486486486487,1,0.151300236406619
"1958442",0.861816853666195,1,NA,0.356464572680789
"948001",0.827882421368171,0.972972972972973,NA,0.171658144631118
"964235",0.685812652417157,0.931506849315068,1,NA
"1650226",0.86691015339664,0.986486486486487,0.986301369863014,0
"8201",0.699213236535539,0.972222222222222,0.421052631578947,0.0717213114754098
"1546130",0.695505704004288,1,NA,0.81154127100073
"1221713",0.73264786317298,0.972602739726027,NA,0.196493791088386
"943424",0.527538926330467,0.986301369863014,NA,0.406866325785245
"706726",0.721574988939684,0.986486486486487,0.125,0.32642089093702
"809906",0.705809277324308,0.972602739726027,0.957446808510638,0.784499054820416
"611375",0.873934423232773,0.972972972972973,1,0.00845503458877786
"1547003",0.768857571907127,0.958904109589041,1,0.163663663663664
"1946494",0.74759280334514,1,NA,0.23009495982469
"1545927",0.367409889754184,0.986486486486487,NA,0.973703433162893
"618853",0.778575179415368,0.972972972972973,NA,0.261504747991234
"2008368",0.159894249834765,0.986486486486487,NA,0.111760409057706
"943904",0.466186715308637,0.931506849315068,NA,0.300949598246896
"1633630",0.884712164191557,0.986486486486487,1,0
"1114910",0.529998015707912,0.986486486486487,NA,0.97954711468225
"1023683",0.801241636022901,0.972972972972973,1,NA
"793205",0.758537232493577,0.986486486486487,NA,0.173119065010957
"1221771",0.856938614659897,0.972972972972973,0.986301369863014,0
"1054467",0.766131458569981,0.986486486486487,0.916666666666667,0
"715945",0.875284320906743,0.986486486486487,NA,0.169466764061359
"1054036",0.811604141537218,0.972602739726027,0.916666666666667,0.227189781021898
"612046",0.763308741396724,0.959459459459459,1,0.0483606557377049
"1102397",0.751867706914842,0.959459459459459,0.659340659340659,0.402714932126697
"358485",0.750515463917526,0.918918918918919,NA,0.211833455076698
"810877",0.780381499333402,0.958904109589041,NA,0.289262235208181
"1126",0.690049126013938,0.972602739726027,NA,0.150474799123448
"715737",0.649266697804764,1,NA,0.307523739956172
"1099406",0.697826215954269,0.986486486486487,1,NA
"1220694",0.804645458413636,0.986486486486487,NA,0.406866325785245
"943893",0.775664223988048,0.932432432432432,NA,0.122717311906501
"809838",0.823083113001494,0.972972972972973,NA,0.278305332359386
"1054436",0.763882310592426,0.972602739726027,0.666666666666667,0.103552532123961
"817395",0.350295229881245,1,1,NA
"586036",0.886894569089432,0.986486486486487,NA,0.0927684441197955
"706714",0.754095425655716,0.972602739726027,0.0769230769230769,0.0442748091603053
"1220878",0.720256734416026,0.959459459459459,NA,0.224251278305332
"955414",0.596899463534513,1,NA,1
"1555181",0.889153322062675,1,1,NA
"1739024",0.998332365230752,1,1,NA
"1652570",0.832878120883005,1,NA,0.331628926223521
"1220941",0.727460898588598,0.972972972972973,NA,0.0876552227903579
"1947988",0.86715112043132,0.986486486486487,NA,0.142439737034332
"807274",0.804463641900548,0.945945945945946,NA,0.158509861212564
"1475279",0.55589764501988,1,1,NA
"594559",0.742955224284035,0.944444444444444,0.8,0.215890850722311
"965207",0.879923718456642,0.986486486486487,NA,0.319211102994887
"942980",0.790271346848582,0.945205479452055,1,0
"715586",0.7548881953684,0.986301369863014,0.657142857142857,0.0344827586206897
"799526",0.29500602242194,0.986486486486487,1,0.33362676056338
"1641403",0.758802507469682,0.914285714285714,NA,0.221329437545654
"1615370",0.734323905685273,1,NA,0.204528853177502
"1771782",0.527872209707147,1,1,0
"1948338",0.86551739441933,0.986486486486487,1,0
"1035359",0.616790664300011,0.972972972972973,NA,1
"780697",0.912536841488884,0.986486486486487,NA,0.197224251278305
"1061254",0.934295030135362,0.972972972972973,NA,1
"1938269",0.42840009594627,0.972972972972973,0.833333333333333,0.0444444444444444
"827636",0.0213649851632047,1,NA,0.0803506208911614
"1629198",0.615780966477368,0.959459459459459,NA,0.224981738495252
"605145",0.279687838413761,0.972972972972973,1,0.032285471537808
"1053575",0.748813445029437,0.986486486486487,1,0.123612139156181
"1947803",0.698876346712607,0.986301369863014,NA,0.135135135135135
"706990",0.783080733544653,0.958904109589041,NA,0.232286340394449
"1061169",0.878170894526035,0.986486486486487,NA,0.234477720964207
"282785",0.983989912498567,1,1,NA
"825849",0.75103953147877,1,1,0
