"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.788943660392016,0.978260869565217,0.988095238095238,0.610619469026549
"223811",0.939851435660712,0.989130434782609,0.892156862745098,NA
"1948107",0.729934956697531,0.978021978021978,0.142857142857143,0.0432432432432432
"1962655",0.900101702434541,0.934782608695652,NA,0.178025851938895
"586116",0.685618525070225,0.933333333333333,0.396396396396396,0.328145265888457
"964155",0.800085373566131,0.956043956043956,0.730769230769231,0
"1942922",0.531203596621078,0.978260869565217,NA,0.656286721504113
"929647",0.815835383822417,0.956521739130435,1,NA
"1338378",0.734325873805996,0.908045977011494,1,0.0255474452554745
"633346",0.780415877930334,0.967391304347826,1,NA
"1650389",0.685994246381511,0.902173913043478,0.6125,0.554929577464789
"1641245",0.775350479494174,0.923913043478261,0.548387096774194,0.0687361419068736
"1663289",0,NA,NA,0.0681551116333725
"618849",0.791444108565562,0.989130434782609,0.943181818181818,0.385135135135135
"1054084",0.796496922921389,0.891304347826087,0.697368421052632,0.106854838709677
"811237",0.936169017693818,0.989130434782609,NA,0.152173913043478
"955492",0.724290560393139,0.934065934065934,0.572368421052632,0
"948898",0.792959983208102,0.978260869565217,1,0.12124849939976
"8383",0.788932511673904,0.945652173913043,0.142857142857143,0.197831978319783
"737498",0.688034395607875,0.779069767441861,NA,0.203877790834313
"1041019",0.924998011527207,0.978260869565217,NA,0.147473560517039
"1985204",0.707695560358186,0.802325581395349,0.219672131147541,0.0105263157894737
"948601",0.783280520432628,0.978260869565217,0,0.228111971411555
"1331037",0.823152233751354,0.989130434782609,1,0
"1669601",0.583835070622572,0.989010989010989,NA,0.379553466509988
"893041",0.874071060492716,0.967391304347826,0.526627218934911,NA
"847832",0.798352773991459,1,1,NA
"1102195",0.80924716541796,0.978260869565217,1,NA
"592977",0.779944670374924,0.978260869565217,NA,0.353701527614571
"1471895",0.796415206086713,0.923913043478261,0.570093457943925,0.0158371040723982
"1958442",0.88158790825106,0.923913043478261,NA,0.173325499412456
"948001",0.795246144187158,0.978260869565217,NA,0.167450058754407
"964235",0.68137761832434,0.943820224719101,1,NA
"1650226",0.885833177909739,0.989130434782609,1,0
"8201",0.736987494395266,0.956521739130435,0.96078431372549,0.052863436123348
"1546130",0.881279933604925,0.955056179775281,NA,0.425381903642773
"1221713",0.793531479724638,0.945652173913043,NA,0.175675675675676
"943424",0.697027252390709,0.923076923076923,0.456521739130435,0.574754901960784
"706726",0.697000188580109,0.868131868131868,0.212121212121212,0.371910112359551
"809906",0.785547542653732,0.930232558139535,0.598130841121495,0.90280777537797
"611375",0.887806241046231,0.978260869565217,0.689922480620155,0.214285714285714
"1547003",0.787667940203361,0.978260869565217,1,0.136854741896759
"1946494",0.926176411053206,0.978260869565217,NA,0.212690951821387
"1545927",0.531558608945429,0.989130434782609,NA,0.962397179788484
"618853",0.798044693532176,0.978260869565217,NA,0.210340775558167
"2008368",0.288882246256154,0.934782608695652,NA,0.124559341950646
"943904",0.694930699153681,0.857142857142857,0.326241134751773,0.57617728531856
"1633630",0.836066355095589,1,NA,0
"1114910",0.532602964934325,0.989130434782609,NA,0.972972972972973
"1023683",0.809981731428155,1,1,NA
"793205",0.759600907528554,0.923076923076923,1,0.291632145816073
"1221771",0.769567921097827,1,1,0.39527027027027
"1054467",0.873749444548179,0.989130434782609,1,0
"715945",0.861461750897887,0.912087912087912,NA,0.173913043478261
"1054036",0.805999172435859,0.902173913043478,0.511278195488722,0.57190635451505
"612046",0.752393064614759,0.923913043478261,0.704347826086957,0.0256410256410256
"1102397",0.736268228214483,0.989130434782609,0.939759036144578,0.454901960784314
"358485",0.748409147703768,0.920454545454545,NA,0.185076380728555
"810877",0.793910932064506,0.934065934065934,0.37007874015748,0.421052631578947
"1126",0.798830845573831,0.902173913043478,0.303448275862069,0.290647482014389
"715737",0.864079234587898,0.91304347826087,NA,0.17743830787309
"1099406",0.700661420845138,1,1,NA
"1220694",0.791195806464767,0.956043956043956,NA,0.160987074030552
"943893",0.782234323687002,0.945652173913043,1,0.144486692015209
"809838",0.771209538550146,0.945054945054945,NA,0.313748531139835
"1054436",0.794439866921994,0.978260869565217,1,0.138735420503376
"817395",0.442655661255721,1,1,NA
"586036",0.873308894158461,0.956043956043956,0.978260869565217,NA
"706714",0.773646923981593,0.967391304347826,0.8,0.0805626598465473
"1220878",0.729580162712175,0.813186813186813,0.764705882352941,0.319702602230483
"955414",0.614480126843994,0.934782608695652,NA,1
"1555181",0.802152270934883,0.978260869565217,1,NA
"1739024",0.921502204584781,1,1,NA
"1652570",0.924486804039763,0.967391304347826,NA,0.18213866039953
"1220941",0.743407719957997,0.967391304347826,NA,0.0934195064629847
"1947988",0.798018032033464,0.989130434782609,0.05,0.0496411483253589
"807274",0.86190687294804,0.989130434782609,NA,0.136310223266745
"1475279",0.708913506260036,0.91304347826087,1,NA
"594559",0.721463699395212,0.863636363636364,0.444444444444444,0.3
"965207",0.849846404869825,1,NA,0.249118683901293
"942980",0.771384812122715,0.989130434782609,1,NA
"715586",0.858357496581325,0.967391304347826,0.976190476190476,0.309734513274336
"799526",0.265003592496518,0.901098901098901,0.302083333333333,0.257790368271955
"1641403",0.779976498655716,0.956521739130435,0.75,0.163390663390663
"1615370",0.933276186637688,0.989130434782609,NA,0.131609870740306
"1771782",0.708335797676354,0.869565217391304,0.919191919191919,NA
"1948338",0.797686737634529,0.978260869565217,NA,0.027614571092832
"1035359",0.598721663756792,0.945652173913043,NA,1
"780697",0.88986777981565,0.91304347826087,NA,0.128672150411281
"1061254",0.964164956843497,0.989130434782609,NA,0.153349001175088
"1938269",0.543110031491504,0.934782608695652,0.661290322580645,0
"827636",0.174794632150288,0.961038961038961,1,0.142765273311897
"1629198",0.722309921211437,0.891304347826087,0.259036144578313,0.139673105497771
"605145",0.49844093693905,0.967391304347826,0.432692307692308,0.00794701986754967
"1053575",0.803412099848726,0.967391304347826,NA,0.101057579318449
"1947803",0.785393225695107,0.967391304347826,1,0.121411483253589
"706990",0.779183126547979,0.956521739130435,NA,0.237955346650999
"1061169",0.883499572090448,1,NA,0.081668625146886
"282785",0.944114271481155,1,1,NA
"825849",0.825754918891099,0.978021978021978,1,0.0182083029861617
