"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.682895150308998,0.980392156862745,0.928571428571429,0.0609756097560976
"223811",0.919377676326471,0.990909090909091,0.988372093023256,0
"1948107",0.802798628089902,0.963302752293578,0.966666666666667,0.22
"1962655",0.922008100930186,0.972727272727273,0.958333333333333,0.174418604651163
"586116",0.538516582210085,0.917525773195876,0.945945945945946,0.305555555555556
"964155",0.523052811428131,0.990566037735849,0.988888888888889,0
"1942922",0.50228267600521,0.990909090909091,NA,0.727272727272727
"929647",0.681350928203981,1,1,NA
"1338378",0.792146564562606,0.971698113207547,0.976470588235294,0.08
"633346",0.740795744096511,0.981818181818182,1,NA
"1650389",0.61108945666374,0.818181818181818,0.940298507462687,0.511627906976744
"1641245",0.858526200123618,0.963636363636364,0.893939393939394,0.159090909090909
"1663289",0.000400180081036466,1,NA,0.509090909090909
"618849",0.53604089882297,0.980769230769231,0.988372093023256,0.541666666666667
"1054084",0.879142102053263,0.990909090909091,1,0.0952380952380952
"811237",0.943369163313421,0.990909090909091,0.74,0.333333333333333
"955492",0.684745887869446,0.953703703703704,0.909090909090909,0.113636363636364
"948898",0.820624151967436,0.963636363636364,1,0.175925925925926
"8383",0.821283478305167,0.963302752293578,NA,0.236363636363636
"737498",0.702658509768543,0.863636363636364,1,0.152380952380952
"1041019",0.922502414422148,0.972727272727273,0.8,0.305263157894737
"1985204",0.791992661298542,0.925925925925926,0.869565217391304,0.125
"948601",0.828770836156661,0.954545454545455,1,0.192660550458716
"1331037",0.689918819352222,1,1,0
"1669601",0.637936536222094,0.827272727272727,NA,0.518181818181818
"893041",0.851630246624443,0.981818181818182,0.833333333333333,0.0543478260869565
"847832",0.711542466780522,1,1,NA
"1102195",0.509972696561618,1,1,NA
"592977",0.772051769695542,0.923809523809524,NA,0.4
"1471895",0.703683724159282,0.962616822429907,0.945454545454545,0.0909090909090909
"1958442",0.917032709375713,0.963636363636364,0.625,0.276595744680851
"948001",0.823017131234056,0.945454545454545,0,0.192660550458716
"964235",0.073486305334105,1,1,NA
"1650226",0.776184368405809,0.972727272727273,0.963636363636364,NA
"8201",0.739390466640404,0.981818181818182,0.96551724137931,0.037037037037037
