"","utilization_rate1","utilization_rate2","survival_rate","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.764352033477181,0.74007639225948,0.979041916167665,0.96958174904943,0.213963963963964
"223811",0.935335836462244,0.931022848194897,1,0.996978851963746,0
"1948107",0.891814476148507,0.841534409869014,0.935483870967742,0.861313868613139,0.108771929824561
"1962655",0.961218252713668,0.947636363636364,0.984939759036145,0.53030303030303,0.111248454882571
"586116",0.658582558431767,0.616334450520374,0.949404761904762,0.898039215686275,0.411858974358974
"964155",0.544477678076881,0.510220853482357,1,0.971223021582734,0
"1942922",0.735544735240414,0.496656592206992,1,NA,0.5
"929647",0.732521739130435,0.679732467858488,1,1,NA
"1338378",0.864897204394648,0.847579284001066,0.982035928143713,0.895027624309392,0.4
"633346",0.810035842293907,0.74822202239843,0.990963855421687,1,NA
"1650389",0.697222849401671,0.645929386335707,0.957095709570957,0.878661087866109,0.379020979020979
"1641245",0.909071550255537,0.883347990274688,0.95906432748538,0.669811320754717,0.171875
"1663289",0.0426123205187587,0.0128487133829126,0.830188679245283,0.479166666666667,0.238599348534202
"618849",0.584463478467761,0.562868763246835,0.987987987987988,0.952205882352941,0.407725321888412
"1054084",0.925156365949327,0.88727346669039,0.976190476190476,0.87007874015748,0.204081632653061
"811237",0.963202335035964,0.960415764400173,1,0.774647887323944,0.339805825242718
"955492",0.809332905708788,0.750613489329004,0.993975903614458,0.932432432432432,0.109929078014184
"948898",0.918173066638143,0.876395317179417,0.973293768545994,0.556354916067146,0.204326923076923
"8383",0.916962843295638,0.874172185430464,0.964071856287425,0.728682170542636,0.132394366197183
"737498",0.832912912912913,0.796713871254991,0.802777777777778,0.638141809290954,0.470149253731343
"1041019",0.962124373956594,0.958615252666141,0.993975903614458,0.742603550295858,0.365789473684211
"1985204",0.868305793350587,0.857149875942713,1,0.940559440559441,0.103321033210332
"948601",0.893913598638008,0.85561515480717,0.96969696969697,0.740740740740741,0.167114454594304
"1331037",0.811318111780361,0.77374538005967,1,1,0
"1669601",0.850866777487533,0.715556480133139,0.972972972972973,1,0.41884328358209
"893041",0.897513266049318,0.843673589150067,0.993975903614458,0.940251572327044,0
"847832",0.735438157757633,0.70922793501926,1,1,NA
"1102195",0.552240750390829,0.525316782501833,1,1,NA
"592977",0.942587925934042,0.890871748847966,0.940119760479042,0.4375,0.150450878025629
"1471895",0.825011558021267,0.806424583635388,0.993975903614458,0.889632107023411,0.230547550432277
"1958442",0.956356736242884,0.949094618275023,0.987878787878788,0.636363636363636,0.243867243867244
"948001",0.904520990312164,0.868781555321972,0.967164179104478,0.810810810810811,0.109324758842444
"964235",0.0538461538461538,0.0495755688382139,1,1,NA
"1650226",0.809548202028481,0.785343956535423,0.981981981981982,0.96165191740413,0.631578947368421
"8201",0.79575051405072,0.754202192448234,0.987878787878788,0.915032679738562,0.0427046263345196
"1546130",0.953889883145594,0.923053414377398,0.996978851963746,0.858823529411765,0.607164541590771
"1221713",0.910370915204371,0.87683432850926,0.940298507462687,0.67741935483871,0.163898117386489
"943424",0.769746808050206,0.735195838644115,0.970491803278689,0.804733727810651,0.321895424836601
"706726",0.851618987739704,0.806943800887006,0.966360856269113,0.822033898305085,0.203604806408545
"809906",0.338845252859308,0.326882387477706,0.978260869565217,0.992217898832685,0.87551867219917
"611375",0.910685483870968,0.895682205000248,0.976261127596439,0.9533527696793,0.166666666666667
"1547003",0.91171458998935,0.878449212036222,0.978915662650602,0.803191489361702,0.0981887511916111
"1946494",0.966433858021474,0.963604552462453,1,0.767441860465116,0.111352133044107
"1545927",0.801852371596969,0.58946210121816,0.975975975975976,NA,0.523169601482855
"618853",0.895609126130004,0.87120835405271,0.972809667673716,0.847457627118644,0.211494252873563
"2008368",0.765363800360794,0.68756639956784,0.938053097345133,0.830238726790451,0.114285714285714
"943904",0.812060301507538,0.762950593213671,0.923547400611621,0.822727272727273,0.337807606263982
"1633630",0.881370730110226,0.865115780828766,1,0.967551622418879,0
"1114910",0.8196450680974,0.613625830372316,0.990963855421687,NA,0.645041705282669
"1023683",0.712627467997396,0.678668285249374,1,1,NA
"793205",0.857032372113579,0.818875194637249,0.987012987012987,0.815331010452962,0.416206261510129
"1221771",0.550845467355566,0.498985046049657,0.915942028985507,0.962655601659751,0.355932203389831
"1054467",0.840485829959514,0.824184276911625,0.985074626865672,0.990825688073395,0.268292682926829
"715945",0.949420890447349,0.937819800750466,0.99079754601227,0.590452261306533,0.408408408408408
"1054036",0.884627154952565,0.862299265839148,0.982035928143713,0.836363636363636,0.435483870967742
"612046",0.813339107838891,0.787910042042147,0.984939759036145,0.928774928774929,0
"1102397",0.797742363877822,0.757726106883068,0.948640483383686,0.98828125,0.128205128205128
"358485",0.902173913043478,0.854660517000965,0.961077844311377,0.901459854014598,0.273972602739726
"810877",0.829308736656648,0.813211382113821,0.956112852664577,0.833333333333333,0.752759381898455
"1126",0.927010396774878,0.886911508466835,0.984848484848485,0.926470588235294,0.159547738693467
"715737",0.948031496062992,0.921718567916777,0.964285714285714,0.727777777777778,0.102978723404255
"1099406",0.568532818532819,0.507785979848052,1,1,NA
"1220694",0.930337314058244,0.904578403245794,0.957957957957958,0.590909090909091,0.135387488328665
"943893",0.912804483724941,0.881177817084591,0.95,0.831649831649832,0.179624664879357
"809838",0.937648072367004,0.888235244110821,0.946428571428571,1,0.230844314299658
"1054436",0.905866158407454,0.867339179804329,0.967261904761905,0.720430107526882,0.156398104265403
"817395",0.241895261845387,0.204186644836861,1,1,NA
"586036",0.93727168354034,0.907827229762176,0.996987951807229,0.909090909090909,NA
"706714",0.870892268424971,0.836643821037844,0.996969696969697,0.952755905511811,0.261954261954262
"1220878",0.928448830723021,0.885572987721692,0.964179104477612,0.746130030959752,0.16551724137931
"955414",0.851542337470812,0.704065302251539,0.891891891891892,0.703703703703704,0.70343725019984
"1555181",0,0,NA,1,NA
"1739024",0,0,NA,1,NA
"1652570",0.9609440267335,0.95663172485489,0.996987951807229,0.667796610169492,0.172256097560976
"1220941",0.878685670764879,0.83708636728771,0.963963963963964,0.957547169811321,0.0934210526315789
"1947988",0.921570702794242,0.883563207698748,0.973214285714286,0.791469194312796,0.0424242424242424
"807274",0.933621769327109,0.915851490585531,0.996987951807229,0.742718446601942,0.0692883895131086
"1475279",0.578028503562945,0.536426760718616,1,1,NA
"594559",0.806743329239701,0.763740135287486,0.977564102564103,0.913194444444444,0.733870967741935
"965207",0.980128774422735,0.955416080510767,0.984939759036145,0.0240740740740741,0.586046511627907
"942980",0.803626495621068,0.763334928089515,1,0.972972972972973,0.363636363636364
"715586",0.525568181818182,0.516846398837794,0.979166666666667,0.897832817337461,0.346590909090909
