"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.690047096195225,0.971698113207547,0.3125,0.057160417947142
"223811",0.916246273749358,0.990909090909091,0.988095238095238,0
"1948107",0.808644739578545,0.84,0.602272727272727,0.158841158841159
"1962655",0.893918047011251,0.936363636363636,0.958333333333333,0.214959145191703
"586116",0.572608657802361,0.696296296296296,0.642201834862385,0.295795795795796
"964155",0.531432913927497,0.990740740740741,0.989010989010989,0
"1942922",0.494007622551126,0.990909090909091,NA,0.661425061425061
"929647",0.681572321558155,1,1,NA
"1338378",0.822064602922142,0.914529914529915,0.86046511627907,0.0746527777777778
"633346",0.750170042081734,0.981818181818182,1,NA
"1650389",0.61459198941593,0.612244897959184,0.492063492063492,0.505910165484634
"1641245",0.866635018145645,0.929203539823009,0.711111111111111,0.0692362598144183
"1663289",0.0035067713615955,1,NA,0.0712530712530713
"618849",0.552091157993403,0.88034188034188,0.720338983050847,0.441441441441441
"1054084",0.867144479301218,0.981818181818182,1,0.102893890675241
"811237",0.897382066965436,0.871794871794872,0.402061855670103,0.133000831255195
"955492",0.707729267466324,0.927927927927928,0.470588235294118,0.081474296799224
"948898",0.840861918513118,0.954954954954955,1,0.20190380761523
"8383",0.829246212276582,0.867768595041322,NA,0.1995085995086
"737498",0.721734289723616,0.521978021978022,0.5,0.182547642928786
"1041019",0.923617504970996,0.954545454545455,0.857142857142857,0.208333333333333
"1985204",0.780425855476292,0.808333333333333,0.300751879699248,0.131756756756757
"948601",0.839790661346589,0.972727272727273,1,0.201100550275138
"1331037",0.748469448952817,1,1,0
"1669601",0.675964690767343,0.84070796460177,NA,0.464373464373464
"893041",0.850609541872446,0.972972972972973,0.333333333333333,0.0287896592244418
"847832",0.712896029148245,1,1,NA
"1102195",0.517916476221425,1,1,NA
"592977",0.793406598249974,0.932692307692308,NA,0.264373464373464
"1471895",0.744504527230013,0.972477064220184,0.411111111111111,0.0654362416107383
"1958442",0.926206516044385,0.929203539823009,0.714285714285714,0.114433582518689
"948001",0.823587453800096,0.945454545454545,NA,0.196068796068796
"964235",0.0712508635041258,1,1,NA
"1650226",0.779476597424615,0.906779661016949,0.650306748466258,NA
"8201",0.722072129481219,0.972972972972973,1,0.0246768507638073
"1546130",0.87479343483127,0.954128440366973,0.310344827586207,0.351351351351351
"1221713",0.826613154283223,0.935779816513762,NA,0.176412776412776
"943424",0.633082089794899,0.898989898989899,0.121951219512195,0.25267304445695
"706726",0.7208068353854,0.950980392156863,0.923076923076923,0.321106821106821
"809906",0.332364592650576,0.606666666666667,0.601503759398496,0.854122621564482
"611375",0.880515045893016,0.786764705882353,0.709923664122137,0
"1547003",0.833678275050932,0.912280701754386,0.111111111111111,0.188188188188188
"1946494",0.87805851924808,0.867256637168142,1,0.19559779889945
"1545927",0.412606531922328,1,NA,0.971990171990172
"618853",0.824799745549213,0.918181818181818,0.5,0.194194194194194
"2008368",0.530381561719223,0.833333333333333,NA,0.127764127764128
"943904",0.632813117544395,0.714285714285714,0.354166666666667,0.330930930930931
"1633630",0.853393344437907,0.990909090909091,0.986486486486487,0
"1114910",0.563298073277467,0.963636363636364,NA,0.968058968058968
"1023683",0.739865331216684,1,1,NA
"793205",0.683814398894965,0.878787878787879,0.420289855072464,0.240989399293286
"1221771",0.452131097049875,0.930434782608696,0.78125,0.63751987281399
"1054467",0.811275061348909,1,1,0
