"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.761822321747803,0.992753623188406,0.992156862745098,0.569343065693431
"223811",0.934766113651744,1,1,NA
"1948107",0.861044391525955,0.963898916967509,0.943462897526502,0.516129032258065
"1962655",0.930427676949581,0.949458483754513,0.780864197530864,0.264705882352941
"586116",0.638931615424983,0.956043956043956,0.931192660550459,0.5
"964155",0.547651507690075,1,0.952380952380952,0
"1942922",0.550184882224125,0.960144927536232,NA,0.515607580824972
"929647",0.709324170266061,1,1,NA
"1338378",0.859477453848482,0.981949458483754,0.96113074204947,NA
"633346",0.769579028076965,0.996376811594203,1,NA
"1650389",0.673457197648464,0.9453125,0.666666666666667,0.589473684210526
"1641245",0.892957731974688,0.954225352112676,0.899328859060403,0
"1663289",0.117406516824812,0.530864197530864,0.541666666666667,NA
"618849",0.565433125141411,0.996376811594203,0.996168582375479,0.691489361702128
"1054084",0.890576902461063,0.946808510638298,0.857605177993528,0.4375
"811237",0.948649316422336,0.978339350180505,0.688571428571429,0.5
"955492",0.772387074051246,0.989130434782609,0.91156462585034,NA
"948898",0.890838216534613,0.947735191637631,0.913793103448276,0.466666666666667
"8383",0.88168831764508,0.963898916967509,0.549883990719258,0.361702127659574
"737498",0.837305441977094,0.923913043478261,0.792642140468227,0
"1041019",0.931849575514892,0.953068592057762,0.584577114427861,0.173913043478261
"1985204",0.831447533842061,0.945652173913043,0.937728937728938,0
"948601",0.862061051182006,0.946043165467626,0.826388888888889,0.542372881355932
"1331037",0.788092461032764,0.996376811594203,1,NA
"1669601",0.746697068601091,0.934545454545455,0.718181818181818,0.40746887966805
"893041",0.861740166865316,0.992753623188406,0.981949458483754,NA
"847832",0.730076199013895,1,1,NA
"1102195",0.554812684420872,1,1,NA
"592977",0.88940635771735,0.938405797101449,0.75,0.333333333333333
"1471895",0.8149900026032,0.974910394265233,0.942028985507246,0.241935483870968
"1958442",0.937871746970083,0.953237410071942,0.619565217391304,0.75
"948001",0.870214347664478,0.923344947735192,0.641604010025063,0.333333333333333
"964235",0.0636125473444835,1,1,NA
"1650226",0.80699227574505,0.989130434782609,0.964664310954064,1
"8201",0.783374382253988,0.961267605633803,0.921768707482993,1
"1546130",0.919995325227006,0.989051094890511,0.122448979591837,0.617862371888726
"1221713",0.894903593735856,0.960144927536232,0.897887323943662,0.15
"943424",0.753788516585284,0.918518518518519,0.627586206896552,0.553648068669528
"706726",0.807035853061721,0.888888888888889,0.746153846153846,0.470873786407767
"809906",0.328908966322361,0.950354609929078,0.871244635193133,0.926436781609195
"611375",0.894075722076746,0.957446808510638,0.918367346938776,0.466666666666667
"1547003",0.882181528173982,0.971119133574007,0.697297297297297,0.25
"1946494",0.944320436507937,0.971014492753623,0.659459459459459,0.375
"1545927",0.605337137582344,0.89568345323741,NA,0.515607580824972
"618853",0.898441307932426,0.978339350180505,0.857142857142857,1
"2008368",0.698307349185998,0.921985815602837,0.728291316526611,0
"943904",0.762118896515995,0.879003558718861,0.715909090909091,0.494279176201373
"1633630",0.878887044334714,1,1,NA
"1114910",0.627218130785434,0.931159420289855,NA,0.593645484949833
"1023683",0.704197297630293,1,1,NA
"793205",0.840261045778749,0.954716981132075,0.8714859437751,0.761290322580645
"1221771",0.534447528134435,0.932142857142857,0.927710843373494,0.369175627240143
"1054467",0.840685768243383,1,1,NA
"715945",0.933767802115433,0.933566433566434,0.868055555555556,0.553571428571429
"1054036",0.865848848217103,0.974729241877256,0.814102564102564,0.08
"612046",0.801480262295769,0.974729241877256,0.968085106382979,NA
"1102397",0.76530612244898,0.953405017921147,0.924302788844621,0.17175572519084
"358485",0.872409748468656,0.939501779359431,0.850533807829182,0.865497076023392
"810877",0.806491466223327,0.925650557620818,0.79182156133829,0.973372781065089
"1126",0.884674792396275,0.942857142857143,0.773006134969325,0.566666666666667
"715737",0.898397025659779,0.942238267148014,0.585365853658537,0.675
"1099406",0.57149268323957,1,1,NA
"1220694",0.891537495836643,0.931159420289855,0.634615384615385,0.333333333333333
"943893",0.881716323549904,0.943262411347518,0.678191489361702,0.272727272727273
"809838",0.892376089676912,0.890845070422535,0.764285714285714,0.202020202020202
