"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.710430379746835,0.988636363636364,0.987654320987654,0.414364640883978
"223811",0.927624958067762,0.989130434782609,0.892156862745098,NA
"1948107",0.815121459191393,0.923076923076923,0.694915254237288,0.189189189189189
"1962655",0.915647870045264,0.934782608695652,0.121004566210046,0.378378378378378
"586116",0.63459841129744,0.922222222222222,0.426356589147287,0.575121163166397
"964155",0.507495999326202,1,0.728155339805825,0
"1942922",0.533044149235678,0.956521739130435,NA,0.681551116333725
"929647",0.708372439237516,1,1,NA
"1338378",0.851529928728364,0.989130434782609,0.696,0.125
"633346",0.767278276080241,0.978260869565217,1,NA
"1650389",0.583162480779088,0.880952380952381,0.666666666666667,0.568281938325991
"1641245",0.86961814117968,0.956521739130435,0.319502074688797,1
"1663289",0.0119162409153055,0.58974358974359,0.0858085808580858,NA
"618849",0.579680954778715,0.989130434782609,0.945054945054945,0.925233644859813
"1054084",0.885068592204829,0.978260869565217,0.442424242424242,0.453947368421053
"811237",0.955709061357172,0.989130434782609,0.175308641975309,NA
"955492",0.747906465931451,0.934782608695652,0.482758620689655,0
"948898",0.871867184042323,0.978260869565217,0.147849462365591,0.276073619631902
"8383",0.841953162897749,0.934782608695652,0.213793103448276,0.185779816513761
"737498",0.691213999270871,0.779069767441861,0.2,0.221128608923885
"1041019",0.945187068273929,0.978260869565217,0.208955223880597,0.0606060606060606
"1985204",0.863647577788085,0.978260869565217,0.210702341137124,0.020979020979021
"948601",0.830837311261806,0.934782608695652,0.342857142857143,0.274021352313167
"1331037",0.794082367053179,1,1,NA
"1669601",0.728879411975766,0.89010989010989,0.233333333333333,0.402414486921529
"893041",0.872572240644244,0.989130434782609,0.526627218934911,NA
"847832",0.732636160309496,1,1,NA
"1102195",0.51624589607155,1,1,NA
"592977",0.815300925689674,0.922222222222222,NA,0.430669800235018
"1471895",0.806012275435688,0.978021978021978,0.589147286821705,0.149700598802395
"1958442",0.909293149764943,0.934782608695652,0.163701067615658,0.311392405063291
"948001",0.847023170654713,0.934782608695652,0.186721991701245,0.233545647558386
"964235",0.0572004766706389,1,1,NA
"1650226",0.802645084879589,1,1,NA
"8201",0.754249983716538,0.967391304347826,0.703389830508475,0.0449438202247191
"1546130",0.909169818339637,0.978021978021978,0.0833333333333333,0.871106337271751
"1221713",0.865322522781086,0.934782608695652,0.196078431372549,0.348337950138504
"943424",0.647838518691738,0.925,0.388888888888889,0.639588100686499
"706726",0.689822128305603,0.894117647058824,0.235294117647059,0.543859649122807
"809906",0.327218337317669,0.923076923076923,0.533333333333333,0.902004454342984
"611375",0.891251410583833,0.989130434782609,0.676691729323308,NA
"1547003",0.8557051098474,0.967391304347826,0.333333333333333,0.299151888974557
"1946494",0.945008909869634,0.978260869565217,0.152019002375297,0.171428571428571
"1545927",0.460871897501496,0.978260869565217,NA,0.965334900117509
"618853",0.861095762315637,0.956043956043956,0.162921348314607,0.346031746031746
"2008368",0.593055372879127,0.891304347826087,0.328671328671329,0.0478325859491779
"943904",0.657086772153958,0.839080459770115,0.27972027972028,0.535365853658537
"1633630",0.879507098848111,1,1,NA
"1114910",0.600744933818733,0.945652173913043,NA,0.990011750881316
"1023683",0.770684451266945,1,1,NA
"793205",0.768867924528302,0.963855421686747,0.551020408163265,0.543859649122807
"1221771",0.527266834130135,0.967391304347826,1,0.438202247191011
"1054467",0.851077344502119,1,0.900990099009901,NA
"715945",0.87476847954201,0.912087912087912,0.110878661087866,0.916666666666667
"1054036",0.845932165816892,0.956521739130435,0.424050632911392,0.795107033639144
"612046",0.759209419680404,0.945652173913043,0.698412698412698,NA
"1102397",0.603446359088382,0.986111111111111,0.855263157894737,0.233545647558386
"358485",0.813156330493362,0.911111111111111,0.405555555555556,0.635922330097087
"810877",0.731731648516086,0.924050632911392,0.514925373134328,0.909356725146199
"1126",0.857300410514062,0.956521739130435,0.305343511450382,0.270696452036794
"715737",0.872484755305777,0.91304347826087,0.151041666666667,0.302150537634409
"1099406",0.575011601679276,1,1,NA
"1220694",0.843832512215602,0.923076923076923,0.125,0.314314314314314
"943893",0.848123732251521,0.934065934065934,0.232558139534884,0.525423728813559
"809838",0.840579710144927,0.923076923076923,1,0.43963963963964
"1054436",0.851990151826016,0.956521739130435,0.402234636871508,0.508333333333333
"817395",0.257061048464067,1,1,NA
"586036",0.890599831832319,0.978260869565217,0.68503937007874,NA
"706714",0.827731526432128,0.978021978021978,0.573913043478261,0.353689567430025
"1220878",0.80095893003596,0.868131868131868,0.162983425414365,0.571428571428571
"955414",0.555723972875947,1,NA,1
"1555181",0,NA,1,NA
"1739024",0,NA,1,NA
"1652570",0.940554821664465,0.967391304347826,0.178571428571429,0.558823529411765
"1220941",0.800799051126787,0.91304347826087,0.797752808988764,0.0368098159509202
"1947988",0.878165479026305,0.978260869565217,0.360406091370558,0
"807274",0.905170965538096,0.978260869565217,0.257142857142857,0.0754716981132075
"1475279",0.536666703475082,0.989130434782609,1,NA
"594559",0.724601371579014,0.962962962962963,0.555555555555556,0.8671875
"965207",0.930033998261578,0.945652173913043,NA,0.941833137485311
"942980",0.791522400587556,1,0.827272727272727,NA
"715586",0.488843625590223,0.978260869565217,0.661538461538462,0.649122807017544
"799526",0.352966809499601,0.858695652173913,0.221374045801527,0.354417670682731
"1641403",0.834707337180544,0.934782608695652,0.301282051282051,0.270588235294118
"1615370",0.955423569865583,0.989130434782609,0.223776223776224,0.334841628959276
"1771782",0.646709010173683,0.978260869565217,0.909090909090909,NA
