"","utilization_rate1","utilization_rate2","survival_rate","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.762351714248468,0.739504299443601,0.990963855421687,0.9921875,0.197368421052632
"223811",0.935440133500209,0.931126664301966,1,0.996978851963746,0
"1948107",0.865792020647381,0.827143370832691,0.960843373493976,0.98326359832636,0.118279569892473
"1962655",0.952167101827676,0.945558887842148,0.984939759036145,0.834146341463415,0.094488188976378
"586116",0.637043499937679,0.600399404808521,0.978125,0.982832618025751,0.404040404040404
"964155",0.554256726951919,0.521153048527582,1,0.996309963099631,0
"1942922",0.753804017041996,0.508985676001952,1,NA,0.512048192771084
"929647",0.730782608695652,0.678118668077247,1,1,NA
"1338378",0.857899859413864,0.843360472018215,0.987951807228916,0.978851963746224,0
"633346",0.814947564051507,0.752758930761056,0.990963855421687,1,NA
"1650389",0.701521953355962,0.65814072932717,0.958990536277603,0.962790697674419,0.35042735042735
"1641245",0.910349233390119,0.884589519424758,0.987951807228916,0.922077922077922,0.125
"1663289",0.0392648287385129,0.0127254882052323,0.8125,0.820143884892086,0.233160621761658
"618849",0.579823935284321,0.558400641576445,0.990909090909091,0.992337164750958,0.436619718309859
"1054084",0.926110463267253,0.888188496047582,0.987951807228916,0.951965065502183,0.184466019417476
"811237",0.964870217867195,0.962078822000866,1,0.922297297297297,0.277777777777778
"955492",0.808691468890314,0.750018590585727,0.993975903614458,0.982014388489209,0.0925925925925926
"948898",0.90863804981452,0.870878446444142,0.984939759036145,0.887596899224806,0.175675675675676
"8383",0.900488011882028,0.862251117431938,0.969879518072289,0.887755102040816,0.123931623931624
"737498",0.829861111111111,0.794110907424381,0.870481927710843,0.92831541218638,0.433962264150943
"1041019",0.962020033388982,0.958511292656092,0.993975903614458,0.906137184115523,0.254545454545455
"1985204",0.87380741615029,0.866400643656489,0.996987951807229,0.940140845070423,0.0833333333333333
"948601",0.891057600509176,0.8538031509402,0.969788519637462,0.904761904761905,0.158620689655172
"1331037",0.802213195125368,0.765062118715768,1,1,0
"1669601",0.817658800046965,0.690245312629058,0.984939759036145,1,0.419939577039275
"893041",0.894912079908438,0.841228441952205,0.993975903614458,0.98019801980198,0
"847832",0.738251536938627,0.711941048400603,1,1,NA
"1102195",0.553282959874935,0.526308180062582,1,1,NA
"592977",0.896185115697311,0.86793690851735,0.942771084337349,0.75,0.145061728395062
"1471895",0.828247803975959,0.809587919071335,0.993975903614458,0.974358974358974,0.220338983050847
"1958442",0.951843727149274,0.947291818276328,0.984939759036145,0.894230769230769,0.217741935483871
"948001",0.894065092533504,0.861675137743988,0.975903614457831,0.878151260504202,0.127659574468085
"964235",0.0494167206740117,0.0457368506554366,1,1,NA
