"","utilization_rate1","utilization_rate2","survival_rate","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.757900459624244,0.72400343959523,0.990476190476191,0.97029702970297,0.444444444444444
"223811",0.942006995663677,0.926937472402742,0.990909090909091,0.990909090909091,NA
"1948107",0.816627610406908,0.760716552832184,0.881818181818182,0.964285714285714,0.384615384615385
"1962655",0.873408654097465,0.857650033855722,0.9,0.87,0
"586116",0.66400031583984,0.599440841871976,0.931372549019608,0.947368421052632,0.294117647058824
"964155",0.578428670871448,0.526992436955821,0.990384615384615,0.989473684210526,0
"1942922",0.827076020680742,0.519761763211999,0.936363636363636,NA,0.663636363636364
"929647",0.783045666318188,0.708926046207924,1,1,NA
"1338378",0.864122623811604,0.836629268620983,0.972727272727273,0.972727272727273,NA
"633346",0.842075042845299,0.759282343183442,0.972727272727273,1,NA
"1650389",0.671602542541119,0.598705958505068,0.854368932038835,0.91304347826087,0.48780487804878
"1641245",0.902178292554711,0.852581680451427,0.945454545454545,0.927272727272727,NA
"1663289",0.212560889171386,0.0207099020138435,0.490740740740741,0.936363636363636,NA
"618849",0.635918555433148,0.59082396129488,0.954545454545455,0.988372093023256,0.541666666666667
"1054084",0.913839495160742,0.867316956366171,0.963636363636364,0.988235294117647,0.28
"811237",0.837250728175634,0.823386033279783,0.854545454545454,0.854545454545454,NA
"955492",0.791954546539024,0.698613171132323,0.890909090909091,0.935779816513762,0
"948898",0.879219285777682,0.824288662168915,0.927272727272727,0.883116883116883,0.272727272727273
"8383",0.855362930745884,0.806578791643412,0.909090909090909,0.815789473684211,0.194444444444444
"737498",0.710685925464625,0.665011823521886,0.872727272727273,1,0.163265306122449
"1041019",0.834546901126481,0.819847215016013,0.854545454545454,0.828282828282828,0.181818181818182
"1985204",0.791074503631528,0.775279550214403,0.872727272727273,0.861386138613861,0
"948601",0.871906765584981,0.824967719461273,0.936363636363636,0.904761904761905,0.213483146067416
"1331037",0.819353561492107,0.769548307935753,0.981481481481482,1,NA
"1669601",0.678292079438827,0.548743549153862,0.681818181818182,1,0.524752475247525
"893041",0.928257329116968,0.855198032632628,0.981818181818182,0.945454545454545,NA
"847832",0.777747620489679,0.733319775055709,1,1,NA
"1102195",0.575705843136199,0.538652019978384,1,1,NA
"592977",0.811156251855254,0.774295594274105,0.871559633027523,0.5,0.305555555555556
"1471895",0.825497439876699,0.794040370173685,0.963636363636364,0.944444444444444,0.15
"1958442",0.87083719398877,0.855706100509369,0.890909090909091,0.851851851851852,0
"948001",0.864778761007149,0.808329147743997,0.909090909090909,0.815789473684211,0.117647058823529
"964235",0.108960126545739,0.0968699185810999,1,1,NA
"1650226",0.818226604231921,0.789677435934943,0.972727272727273,0.963636363636364,NA
"8201",0.816354703060608,0.752444871711587,0.981818181818182,0.96875,0.0714285714285714
"1546130",0.902005032963763,0.870934246985554,0.945454545454545,0.873015873015873,0.595744680851064
"1221713",0.832809772318402,0.791335008550186,0.880733944954128,0.916666666666667,0.232558139534884
"943424",0.689866565966234,0.634563141249908,0.872549019607843,0.919354838709677,0.604166666666667
"706726",0.784762951929341,0.731031115315168,0.908256880733945,0.932203389830508,0.470588235294118
"809906",0.377566583929681,0.350290664410316,0.851851851851852,0.931818181818182,0.909090909090909
"611375",0.91714017916954,0.892392675495776,0.981818181818182,0.972727272727273,NA
"1547003",0.880013019146278,0.823094799474606,0.927272727272727,0.806451612903226,0.189873417721519
"1946494",0.802895614822831,0.789318589204744,0.818181818181818,0.791666666666667,0.142857142857143
"1545927",0.628913969203673,0.417843644068364,0.953271028037383,NA,0.981818181818182
"618853",0.81319396565636,0.761806900166187,0.845454545454545,0.783333333333333,0.2
"2008368",0.665588824235521,0.555639599586064,0.863636363636364,0.875,0.157894736842105
"943904",0.696604793246329,0.620221709203175,0.817307692307692,0.813559322033898,0.470588235294118
"1633630",0.899367791127861,0.870491745534158,0.990909090909091,0.990909090909091,NA
"1114910",0.721409040947938,0.486453716242847,0.790909090909091,NA,0.963636363636364
"1023683",0.84441601032798,0.793955803437989,1,1,NA
"793205",0.759229081125677,0.715463748244255,0.862745098039216,0.880597014925373,0.325581395348837
"1221771",0.573162385321824,0.495406746376436,0.936363636363636,0.986842105263158,0.617647058823529
"1054467",0.858467460932063,0.837729663895616,0.981818181818182,1,0
"715945",0.887797996659271,0.871961538556101,0.918181818181818,0.913978494623656,0.176470588235294
"1054036",0.861637650990153,0.830868844051898,0.963636363636364,0.966666666666667,0.4
"612046",0.816855942581147,0.778543321251133,0.963636363636364,0.972727272727273,NA
"1102397",0.76937132738538,0.709687290573113,0.98,0.976744186046512,0.208333333333333
"358485",0.842578716866097,0.768347738383786,0.863636363636364,0.868686868686869,0.363636363636364
"810877",0.787053246362379,0.762555239390736,0.92,0.923913043478261,0.944444444444444
"1126",0.836349109569835,0.796017113173307,0.890909090909091,0.87719298245614,0.207547169811321
"715737",0.836054307550611,0.796242701274818,0.854545454545454,0.707317073170732,0.260869565217391
"1099406",0.681359968334193,0.574470653224619,1,1,NA
"1220694",0.832174365414894,0.793028102104887,0.863636363636364,0.86,0.2
"943893",0.848898895131229,0.794106128985017,0.890909090909091,0.851063829787234,0.375
"809838",0.82215424978601,0.768638708602464,0.836363636363636,NA,0.327272727272727
"1054436",0.842089616675739,0.794540768345553,0.899082568807339,0.882352941176471,0.375
"817395",0.339696095397327,0.276782260114954,1,1,NA
"586036",0.937194439798015,0.888852322834309,0.972727272727273,0.981818181818182,NA
"706714",0.872989037773647,0.813870681349553,0.972477064220184,0.931506849315068,0.135135135135135
"1220878",0.873864894474735,0.817887333258024,0.9,0.892156862745098,0
"955414",0.766685710109062,0.566633790113721,0.990909090909091,NA,1
"1555181",0.0297856805598277,0.029338725115414,1,1,NA
"1739024",0.0165386467469479,0.016502107467554,1,1,NA
"1652570",0.844868889853649,0.830520144922231,0.863636363636364,0.833333333333333,0.115384615384615
"1220941",0.835241426123832,0.77738780034242,0.890909090909091,0.938271604938272,0.137931034482759
"1947988",0.895909806137541,0.840964735658712,0.936363636363636,0.912621359223301,0
"807274",0.879480984009462,0.849568357090059,0.936363636363636,0.905660377358491,0.25
"1475279",0.607476899698702,0.548820573462608,1,1,NA
"594559",0.7700937310505,0.722255832979062,0.9375,0.946808510638298,0.8125
"965207",0.872578697623314,0.85331936523861,0.890909090909091,1,0.327102803738318
"942980",0.816704448613337,0.754586630137391,0.936363636363636,0.990909090909091,NA
"715586",0.538831143642207,0.520987440396545,0.97196261682243,0.950980392156863,0.125
"799526",0.516805268515941,0.309813321488563,0.775700934579439,0.837837837837838,0.328767123287671
"1641403",0.851106882253299,0.803675607758727,0.9,0.854545454545454,0.0909090909090909
"1615370",0.896853553629398,0.881969413530917,0.918181818181818,0.873684210526316,0.133333333333333
"1771782",0.719596929240619,0.635358019458222,0.981818181818182,0.981818181818182,NA
"1948338",0.889559944709941,0.827683725924016,0.945454545454545,0.963636363636364,NA
"1035359",0.18482578229342,0.133887177867207,0.305555555555556,NA,1
"780697",0.883537567773209,0.86935740721908,0.9,0.9,NA
"1061254",0.886763360179554,0.8787858172997,0.890909090909091,0.855421686746988,0.222222222222222
"1938269",0.677886359716876,0.520408312559448,0.963636363636364,0.981818181818182,NA
"827636",0.469250726993279,0.342017129910285,0.841584158415842,0.945945945945946,0.219178082191781
"1629198",0.688656315923747,0.626432876831577,0.736363636363636,0.784313725490196,0.305084745762712
"605145",0.618614432870138,0.498295116728445,0.908256880733945,0.938144329896907,0
"1053575",0.842373284048997,0.783428417689235,0.890909090909091,0.919540229885057,0.304347826086957
"1947803",0.880877479009653,0.819840690454246,0.927272727272727,0.894230769230769,0.166666666666667
"706990",0.852861846505489,0.802573655439582,0.909090909090909,0.8,0.2
"1061169",0.904936952699703,0.895516814974233,0.909090909090909,0.925233644859813,0.333333333333333
"282785",0.629483387066925,0.624439126836103,1,1,NA
"825849",0.898977319884554,0.883720756252085,1,0.989473684210526,0.133333333333333
