"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.74967677311141,0.995495495495496,1,0.114285714285714
"223811",0.920933727172099,0.995495495495496,0.995475113122172,0
"1948107",0.847270132084627,0.981900452488688,0.985074626865672,0.0476190476190476
"1962655",0.902782644190236,0.941441441441441,0.945945945945946,0.0743243243243243
"586116",0.624462133935332,0.986425339366516,0.99290780141844,0.185185185185185
"964155",0.503262019387933,1,0.993670886075949,0
"1942922",0.497105702346832,1,NA,0.5
"929647",0.668783192007226,1,1,NA
"1338378",0.832218679055863,0.986486486486487,0.986111111111111,0
"633346",0.75222279500225,0.995495495495496,1,NA
"1650389",0.597349369143574,0.927184466019418,0.938775510204082,0.298387096774194
"1641245",0.873014429284325,0.972972972972973,0.965346534653465,0.05
"1663289",0,NA,NA,0.018018018018018
"618849",0.547314113582157,0.995495495495496,0.995495495495496,NA
"1054084",0.8872546073075,0.990950226244344,0.975,0.028169014084507
"811237",0.929077491057184,0.968468468468468,0.942857142857143,0.0683760683760684
"955492",0.738552761108062,0.995495495495496,0.993710691823899,0.0158730158730159
"948898",0.880178126561118,0.990990990990991,0.989010989010989,0.0458015267175573
"8383",0.851680559119789,0.963800904977376,0.666666666666667,0.101851851851852
"737498",0.813671893374116,0.927927927927928,0.968354430379747,0.1875
"1041019",0.930252368612029,0.968468468468468,0.953125,0.0632911392405063
"1985204",0.855774242038864,1,1,0
"948601",0.86267357586089,0.977477477477477,1,0.0772727272727273
"1331037",0.777827700779683,1,1,0
"1669601",0.675882719236156,0.97737556561086,NA,0.112612612612613
"893041",0.844437868306794,0.990990990990991,0.968253968253968,0
"847832",0.719205507137848,1,1,NA
"1102195",0.525210218838256,1,1,NA
"592977",0.873081412581987,0.950226244343891,NA,0.126126126126126
"1471895",0.785594027334121,0.990990990990991,0.98876404494382,0.0454545454545455
"1958442",0.936628155597123,0.977477477477477,0.954545454545455,0.0842696629213483
"948001",0.840902015947351,0.95045045045045,0.927835051546392,0.096
"964235",0.052369704846652,1,1,NA
"1650226",0.798739152827368,0.995495495495496,0.995475113122172,0
"8201",0.755325639817025,0.986486486486487,0.994011976047904,0.0545454545454545
"1546130",0.894209352122484,0.990909090909091,NA,0.346846846846847
"1221713",0.877718655003574,0.963963963963964,1,0.0497737556561086
"943424",0.778225313995642,0.95045045045045,0.95,0.217821782178218
"706726",0.799511293193205,0.963963963963964,NA,0.175675675675676
"809906",0.314155101690398,0.954954954954955,0.974193548387097,0.940298507462687
"611375",0.886037997412667,0.990990990990991,0.990825688073395,0.5
"1547003",0.86314267510061,0.972972972972973,1,0.0679611650485437
"1946494",0.944868326687416,0.981981981981982,NA,0.0765765765765766
"1545927",0.567905395281194,0.986486486486487,NA,0.518018018018018
"618853",0.879995852422752,0.981981981981982,NA,0.112612612612613
"2008368",0.658085563658808,0.95045045045045,0.945812807881773,0
"943904",0.716919708363232,0.891891891891892,0.932203389830508,0.282208588957055
"1633630",0.863438389364613,1,1,0
"1114910",0.593517280647232,0.990990990990991,NA,0.558558558558559
"1023683",0.690252953238647,1,1,NA
"793205",0.856083448462597,0.981651376146789,0.97972972972973,0.243243243243243
"1221771",0.540551177690263,0.995475113122172,0.995495495495496,NA
"1054467",0.828235782567466,0.995495495495496,0.995192307692308,0
"715945",0.939729872953195,0.981981981981982,0.993006993006993,0.164556962025316
"1054036",0.852315842273493,0.977477477477477,0.982035928143713,0.145454545454545
"612046",0.789330218234229,0.995495495495496,0.990697674418605,0
"1102397",0.722287095452838,0.968181818181818,0.993006993006993,0.0759493670886076
"358485",0.837573312758514,0.95475113122172,0.931818181818182,0.140449438202247
"810877",0.772617832766217,0.97029702970297,0.969924812030075,0.606741573033708
"1126",0.886352594034544,0.977477477477477,0.935483870967742,0.05625
"715737",0.870489172986452,0.927927927927928,0.777777777777778,0.0882352941176471
"1099406",0.513859970718472,1,1,NA
"1220694",0.875002601414127,0.95045045045045,1,0.09375
"943893",0.860088111244815,0.954954954954955,0.937062937062937,0.0886075949367089
"809838",0.863439777958817,0.941441441441441,1,0.105022831050228
"1054436",0.869488228443308,0.972850678733032,0.969072164948454,0.357142857142857
"817395",0.263516468352015,1,1,NA
"586036",0.903464903053928,0.990990990990991,0.986486486486487,NA
"706714",0.815151656943173,0.990909090909091,0.991735537190083,0.108910891089109
"1220878",0.857880300620076,0.95045045045045,0.936,0.0515463917525773
"955414",0.707383091271563,0.932432432432432,0.974358974358974,0.617486338797814
"1555181",0.0193709369356996,1,1,NA
"1739024",0.0127867220844963,1,1,NA
"1652570",0.932235547886144,0.972972972972973,1,0.0684931506849315
"1220941",0.847028767055219,0.981981981981982,1,0.029585798816568
"1947988",0.885977854930186,0.977477477477477,0.9,0.0208333333333333
"807274",0.887694756102153,0.995495495495496,0.966666666666667,0.046875
"1475279",0.536623522105108,1,1,NA
"594559",0.710229313121557,0.990476190476191,0.987878787878788,0.719298245614035
"965207",0.928684056385797,0.968468468468468,NA,0.0900900900900901
"942980",0.754020158464794,1,1,0
"715586",0.473581467363438,0.995475113122172,0.995475113122172,0
"799526",0.359669618128818,0.936936936936937,0.931506849315068,0.147651006711409
"1641403",0.860271899176737,0.959459459459459,NA,0.0810810810810811
"1615370",0.927854242765583,0.968468468468468,0.980769230769231,0.0588235294117647
"1771782",0.615312392151911,1,1,NA
"1948338",0.850465094165683,0.986425339366516,0.995433789954338,0.333333333333333
"1035359",0.505357018677982,1,NA,0.990990990990991
"780697",0.937114335386033,0.972972972972973,0.857142857142857,0.054726368159204
"1061254",0.95911454028039,0.972972972972973,NA,0.0630630630630631
"1938269",0.481400997506756,0.995495495495496,1,0.0217391304347826
"827636",0.36506087642071,0.968468468468468,1,0.0497512437810945
"1629198",0.77108175825336,0.896396396396396,0.896103896103896,0.132352941176471
"605145",0.506428629601403,1,1,0
"1053575",0.847288128190662,0.972972972972973,1,0.0461538461538462
"1947803",0.850549511269418,0.963963963963964,0.75,0.0504587155963303
"706990",0.861119253125362,0.981981981981982,0.923076923076923,0.0669856459330144
"1061169",0.956291902108941,0.972972972972973,0.977611940298508,0.0340909090909091
"282785",0.625460988607934,1,1,NA
"825849",0.878627452677472,1,1,0
