"","utilization_rate1","utilization_rate2","survival_rate","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.766309381567399,0.727229194803891,0.935897435897436,1,0.112159329140461
"223811",0.933885300089494,0.920951568005954,1,1,0
"1948107",0.880939369359597,0.830789849367234,0.946666666666667,0.684931506849315,0
"1962655",0.930895567131331,0.906443859017893,0.972972972972973,NA,0.133674214755296
"586116",0.681587818296127,0.600483980008511,0.802469135802469,0.872340425531915,0.377450980392157
"964155",0.55440267249738,0.505417375889575,1,1,0
"1942922",0.788136451615586,0.486950131829995,1,NA,0.762600438276114
"929647",0.749877177532497,0.675854557593291,1,1,NA
"1338378",0.841028638477045,0.807209852066959,0.959459459459459,0.94,0.00584795321637427
"633346",0.839575869719531,0.745327613660556,0.972972972972973,1,NA
"1650389",0.6052639482068,0.497225757926526,0.901639344262295,0.54,0.429447852760736
"1641245",0.904951429155545,0.851585758081155,0.909090909090909,0.625,0.139492753623188
"1663289",0.00551928223527417,0.000543551471990145,1,NA,0.0248356464572681
"618849",0.613617209520925,0.580620411365201,1,1,NA
"1054084",0.912337769812377,0.86071019867058,0.959459459459459,0.545454545454545,0.100174216027875
"811237",0.929986582681605,0.89330219951579,0.893333333333333,0.212121212121212,0.135135135135135
"955492",0.829390602916876,0.735954107002642,0.972972972972973,0.977272727272727,0.0137614678899083
"948898",0.91962844130685,0.854001580919437,0.808988764044944,NA,0.0496712929145362
"8383",0.909695538343156,0.854148672100762,0.986486486486487,NA,0.195763330898466
"737498",0.72014906833563,0.623180136850463,0.531531531531532,0.666666666666667,0.201680672268908
"1041019",0.93952943078074,0.915150726426956,0.959459459459459,NA,0.0825420014609204
"1985204",0.842124674082157,0.811975254529638,0.825,NA,0.121256391526662
"948601",0.905939642343356,0.811475743262186,0.8,NA,0.241051862673484
"1331037",0.85117454863337,0.798523622296039,1,1,0
"1669601",0.809075210361318,0.707277352314286,0.860759493670886,NA,0.257121986851717
"893041",0.918792361157229,0.849521714135036,0.986486486486487,0.789473684210526,0.00559179869524697
"847832",0.772634347585771,0.729576022903586,1,1,NA
"1102195",0.54947954992606,0.511064273920382,1,1,NA
"592977",0.880088405487758,0.813550324758336,0.905405405405405,NA,0.335281227173119
"1471895",0.804703476189822,0.776563338418336,0.972972972972973,1,0.127236580516899
"1958442",0.955387460857783,0.898199824358572,0.860759493670886,NA,0.241051862673484
"948001",0.893962564645899,0.824802351375455,0.945945945945946,NA,0.135135135135135
"964235",0.0587948725487773,0.0509329168217806,1,1,NA
"1650226",0.811471697249992,0.789644775407892,0.986486486486487,0.986486486486487,NA
"8201",0.806219513378005,0.730108513107995,0.837209302325581,0.3125,0.0615114235500879
"1546130",0.903722765059767,0.854167791390146,0.945945945945946,NA,0.487947406866326
"1221713",0.920523784988272,0.853159237996307,0.922077922077922,NA,0.196493791088386
"943424",0.749288432541471,0.659636817643249,0.941176470588235,NA,0.393718042366691
"706726",0.777707299900805,0.703016823618968,0.914285714285714,NA,0.322863403944485
"809906",0.363568985081528,0.333625954359158,0.650485436893204,0.5,0.629251700680272
"611375",0.890861256567222,0.873475676621694,0.986486486486487,0.985915492957746,0
"1547003",0.890695169751339,0.837175546070095,0.945945945945946,1,0.161841128433556
"1946494",0.943646289102602,0.91012483016128,0.875,NA,0.120525931336742
"1545927",0.610026768670323,0.405583824784178,0.986486486486487,NA,0.970051132213294
"618853",0.872881535569066,0.815714265569798,0.823529411764706,NA,0.260774287801315
"2008368",0.560678028870837,0.469108371056047,0.905405405405405,NA,0.111760409057706
"943904",0.699267966749627,0.615865389365499,0.827160493827161,NA,0.300949598246896
"1633630",0.889229329682836,0.862199410662611,1,1,NA
"1114910",0.861674572962639,0.575389839770147,0.972972972972973,NA,0.95836376917458
"1023683",0.827298526408633,0.778957392089174,1,1,NA
"793205",0.855377864087149,0.796217256657023,0.918918918918919,1,0.179712460063898
"1221771",0.572041457347391,0.552274441524273,0.986486486486487,0.986486486486487,NA
"1054467",0.839131148574245,0.811771030770073,0.986486486486487,0.971428571428571,0
"715945",0.95856108720794,0.891123725025623,0.781609195402299,0.42,0.213459516298633
"1054036",0.889579323162475,0.823579220283764,0.945945945945946,0.533333333333333,0.342281879194631
"612046",0.806424216953001,0.760302083346412,0.934210526315789,0.797297297297297,0
"1102397",0.652524739528945,0.594727397363859,0.983870967741935,0.602564102564103,0.185031185031185
"358485",0.85117423770282,0.751376684340374,0.579439252336449,NA,0.203067932797663
"810877",0.758733995771175,0.71401098937335,0.884057971014493,0.294117647058824,0.310679611650485
"1126",0.903066183725071,0.835554732571091,0.825581395348837,NA,0.14536157779401
"715737",0.889019976272377,0.838089222359281,0.905405405405405,NA,0.173849525200877
"1099406",0.637362852676673,0.542204936109987,1,1,NA
"1220694",0.932811678455987,0.869636747473094,0.806818181818182,NA,0.209642074506939
"943893",0.892234214680566,0.823102764617601,0.896103896103896,0.9,0.111111111111111
"809838",0.852905225006087,0.779495112955186,0.826666666666667,NA,0.278305332359386
"1054436",0.926767830317642,0.859654426821941,0.89873417721519,0.378378378378378,0.138248847926267
"817395",0.31933979884335,0.261444710844019,1,1,NA
"586036",0.932803350011686,0.885685428607829,0.986486486486487,0.72,NA
"706714",0.828644857761883,0.775162594787416,0.923076923076923,NA,0.0591672753834916
