"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.678274777416431,0.980392156862745,0.3125,0.057160417947142
"223811",0.921269095182139,0.990909090909091,0.988095238095238,0
"1948107",0.782200369646537,0.84297520661157,0.602272727272727,0.158841158841159
"1962655",0.92653783485467,0.972727272727273,0.338983050847458,0.380263984915148
"586116",0.505022822047182,0.941860465116279,0.642201834862385,0.513513513513513
"964155",0.507236053440817,0.990384615384615,0.989010989010989,0
"1942922",0.482087065194751,0.990909090909091,NA,0.724324324324324
"929647",0.668272222973887,1,1,NA
"1338378",0.803106293480019,0.931034482758621,0.86046511627907,0.135416666666667
"633346",0.750608860070083,1,1,NA
"1650389",0.601454018007182,0.64963503649635,0.488188976377953,0.543735224586288
"1641245",0.872175748573216,0.964285714285714,0.638297872340426,0.276428571428571
"1663289",0,NA,NA,0.508599508599509
"618849",0.54219384793964,0.88695652173913,0.720338983050847,0.698198198198198
"1054084",0.863534713660133,0.990909090909091,0.621621621621622,0.210932475884244
"811237",0.952963377131675,0.990909090909091,0.175879396984925,0.310889443059019
"955492",0.682732324868542,0.990740740740741,0.350746268656716,0.104752667313288
"948898",0.830108339199561,0.963963963963964,0.25,0.346693386773547
"8383",0.83129975733322,0.955357142857143,NA,0.236363636363636
"737498",0.616520923824649,0.538888888888889,0.5,0.223671013039117
"1041019",0.945549766009961,0.972727272727273,0.266666666666667,0.336711711711712
"1985204",0.837202407912182,0.921739130434783,0.300751879699248,0.134290540540541
"948601",0.840349633022036,0.981818181818182,1,0.254627313656828
"1331037",0.61220097302872,1,1,0
"1669601",0.686520454868752,0.936936936936937,NA,0.505651105651106
"893041",0.845074590062878,0.981818181818182,0.333333333333333,0.0487661574618096
"847832",0.709701888796177,1,1,NA
"1102195",0.504618709670716,1,1,NA
"592977",0.808479774897979,0.952380952380952,NA,0.377886977886978
"1471895",0.719417337078117,1,0.411111111111111,0.124161073825503
"1958442",0.93666378748083,0.963636363636364,0.366666666666667,0.287521564117309
"948001",0.825981279412525,0.954545454545455,NA,0.383783783783784
"964235",0.0559766763848396,1,1,NA
"1650226",0.7722387934294,0.93859649122807,0.63855421686747,NA
"8201",0.713852749852159,0.981481481481482,1,0.036427732079906
"1546130",0.867154195404291,0.945454545454545,0.125,0.556536127964699
"1221713",0.863965637730318,0.972727272727273,NA,0.296805896805897
"943424",0.639139792381562,0.94949494949495,0.121951219512195,0.305571187394485
"706726",0.630447821716101,0.938144329896907,0.923076923076923,0.325611325611326
"809906",0.333782327586207,0.646258503401361,0.601503759398496,0.854122621564482
"611375",0.879457863883923,0.857142857142857,0.709923664122137,0
"1547003",0.827632786658123,0.912280701754386,0.111111111111111,0.279279279279279
"1946494",0.964940630928125,0.990909090909091,1,0.275637818909455
"1545927",0.391307750502178,0.989247311827957,NA,0.974447174447174
"618853",0.826717639072493,0.927272727272727,0.5,0.350850850850851
"2008368",0.473811982029746,0.837837837837838,NA,0.127764127764128
"943904",0.615530370741125,0.798165137614679,0.354166666666667,0.332732732732733
"1633630",0.857250646737568,1,0.986486486486487,0
"1114910",0.574841578751181,0.945945945945946,NA,0.996068796068796
"1023683",0.752040480357669,1,1,NA
"793205",0.775369894568973,0.907407407407407,0.420289855072464,0.276325088339223
"1221771",0.408430478874747,0.854166666666667,0.78125,0.640699523052464
"1054467",0.803072299215228,1,1,0.0972972972972973
"715945",0.902677569344236,0.944954128440367,0.257425742574257,0.321325648414986
"1054036",0.80474575706323,0.990740740740741,0.948717948717949,0.240369799691834
"612046",0.757991107837205,0.990909090909091,0.953125,0.0129411764705882
"1102397",0.695113140176543,0.96,0.694214876033058,0.220720720720721
"358485",0.805095962938451,0.894736842105263,1,0.174553101997897
"810877",0.739567076067042,0.87378640776699,0.595744680851064,0.261612021857923
"1126",0.830261684146217,0.963636363636364,1,0.198708395429707
"715737",0.878524442151425,0.838709677419355,NA,0.339066339066339
"1099406",0.462282433484868,1,1,NA
"1220694",0.858651208529579,0.936936936936937,0,0.291394061399094
"943893",0.808934982050259,0.918181818181818,0.176470588235294,0.331973482916879
"809838",0.836836012861736,0.88135593220339,NA,0.468304668304668
"1054436",0.823248872038565,0.945945945945946,0.144067796610169,0.141025641025641
"817395",0.125844294347672,1,1,NA
"586036",0.892403431263,0.915254237288136,0.363636363636364,NA
"706714",0.758816757944675,0.97196261682243,NA,0.194594594594595
"1220878",0.840039321870203,0.928571428571429,0.538461538461538,0.288440567066521
"955414",0.498308584667299,0.963636363636364,NA,1
"1555181",0.0066065147576082,1,1,NA
"1739024",0.00212121212121212,1,1,NA
"1652570",0.944106957650976,0.990909090909091,0.0263157894736842,0.268711018711019
"1220941",0.8164293020694,0.972477064220184,0.947368421052632,0.0878378378378378
"1947988",0.828810489088243,0.929203539823009,0.0987654320987654,0.158852730281302
"807274",0.861989364386583,1,0.833333333333333,0.179313929313929
"1475279",0.468560343633089,1,1,NA
"594559",0.70819153146023,0.837837837837838,0.401869158878505,0.236003445305771
"965207",0.924561212253352,0.981818181818182,NA,0.855528255528256
"942980",0.730279320789715,1,0.862903225806452,NA
"715586",0.505353238685947,0.981308411214953,0.983870967741935,0.272417707150965
"799526",0.212487671648585,0.95959595959596,0.482758620689655,0.432213209733488
"1641403",0.819598418482053,0.896551724137931,1,0.212755356253114
"1615370",0.944635034570117,0.963963963963964,0.282608695652174,0.185603807257585
"1771782",0.591155251225378,0.972972972972973,0.714285714285714,0.0850439882697947
"1948338",0.809231652873143,0.921052631578947,0.535714285714286,0.0351035103510351
"1035359",0.246864887637931,0.228915662650602,NA,1
"780697",0.913006875263084,0.920353982300885,0.0457831325301205,0.637668918918919
"1061254",0.985283236043739,0.972727272727273,NA,1
"1938269",0.445589344056296,0.972477064220184,0.65,0.0347567030784508
"827636",0.181489057437141,0.858823529411765,1,0.165984804208065
"1629198",0.66409062036841,0.783783783783784,NA,0.278132678132678
"605145",0.416752488843117,0.953703703703704,1,0.0606833248342682
"1053575",0.812628104453377,0.921052631578947,1,0.200618875709128
"1947803",0.80975601306114,0.896551724137931,1,0.15174672489083
"706990",0.827453562517327,0.954954954954955,0,0.308684863523573
"1061169",0.958261842242466,0.981818181818182,0.19811320754717,0.282416836388323
"282785",0.620689655172414,1,1,NA
"825849",0.863198111337382,1,1,0.24483306836248
