"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.734657245837835,0.98876404494382,0.987654320987654,0.38121546961326
"223811",0.929882038815344,0.989130434782609,0.892156862745098,NA
"1948107",0.801750739765216,0.882978723404255,0.703389830508475,0.189189189189189
"1962655",0.864906509671761,0.824742268041237,0.258687258687259,0.0467836257309941
"586116",0.602199228927051,0.707547169811321,0.426356589147287,0.397415185783522
"964155",0.516234463488674,1,0.728155339805825,0
"1942922",0.528982333878269,0.934782608695652,NA,0.656286721504113
"929647",0.708136581652859,1,1,NA
"1338378",0.844050832991991,0.978260869565217,0.747899159663866,0.125
"633346",0.755728826796595,0.967391304347826,1,NA
"1650389",0.587891472539484,0.78494623655914,0.666666666666667,0.544787077826725
"1641245",0.862260068611441,0.790909090909091,0.666666666666667,1
"1663289",0.0254619049853573,0.415929203539823,0.511904761904762,NA
"618849",0.574761714669534,0.936842105263158,0.945054945054945,0.532710280373832
"1054084",0.83823535053848,0.823529411764706,0.772277227722772,0.358108108108108
"811237",0.864285259738833,0.738317757009346,0.341991341991342,NA
"955492",0.746184507453361,0.904255319148936,0.57516339869281,0
"948898",0.861673528522853,0.925531914893617,0.33,0.128834355828221
"8383",0.835498557280448,0.893617021276596,0.275862068965517,0.173165137614679
"737498",0.627706743538331,0.462585034013605,0.2,0.202099737532808
"1041019",0.885791234483957,0.885416666666667,0.419354838709677,0.0606060606060606
"1985204",0.709123986973839,0.714285714285714,0.210702341137124,0.020979020979021
"948601",0.797250053954019,0.891304347826087,0.342857142857143,0.217081850533808
"1331037",0.789341226038876,0.989130434782609,1,NA
"1669601",0.679557710930162,0.808510638297872,0.233333333333333,0.392354124748491
"893041",0.867331230555201,0.989130434782609,0.526627218934911,NA
"847832",0.740017206565443,1,1,NA
"1102195",0.531098163449333,1,1,NA
"592977",0.810371244362924,0.901098901098901,NA,0.353701527614571
"1471895",0.805472761207578,0.936842105263158,0.589147286821705,0
"1958442",0.852422915522609,0.870967741935484,0.5,0.194070080862534
"948001",0.815460768390985,0.780952380952381,0.323529411764706,0.0986238532110092
"964235",0.130079933439215,1,1,NA
"1650226",0.810000120275433,1,1,NA
"8201",0.758677256837447,0.967391304347826,0.96551724137931,0
"1546130",0.893069785532127,0.967032967032967,0.339622641509434,0.640909090909091
"1221713",0.833073837139173,0.902173913043478,0.305555555555556,0.169667590027701
"943424",0.652882980242928,0.855555555555556,0.507042253521127,0.518306636155606
"706726",0.698123923232163,0.742574257425743,0.245508982035928,0.518105849582173
"809906",0.347195625104025,0.613636363636364,0.533333333333333,0.902004454342984
"611375",0.898316000042659,0.927835051546392,0.676691729323308,NA
"1547003",0.834441931106015,0.913978494623656,0.681818181818182,0.130265210608424
"1946494",0.81986704090859,0.700934579439252,0.212307692307692,0.171428571428571
"1545927",0.446715364063456,0.967391304347826,NA,0.962397179788484
"618853",0.838689737606583,0.894736842105263,0.409090909090909,0.222469410456062
"2008368",0.592217936581244,0.863157894736842,0.328671328671329,0.0478325859491779
"943904",0.631261225940419,0.747368421052632,0.27972027972028,0.530487804878049
"1633630",0.878537194250378,1,1,NA
"1114910",0.55658756463277,0.83695652173913,NA,0.972972972972973
"1023683",0.800133196720091,1,1,NA
"793205",0.800489885689201,0.923076923076923,0.666666666666667,0.561020036429873
"1221771",0.53686873966773,0.956989247311828,1,0.438202247191011
"1054467",0.845548959974707,0.989130434782609,1,NA
"715945",0.844586252848238,0.861702127659574,0.48125,0.722222222222222
"1054036",0.82525959171832,0.913978494623656,0.63302752293578,0.603076923076923
"612046",0.755345038138673,0.924731182795699,0.706349206349206,NA
"1102397",0.655894198000089,0.987179487179487,0.855263157894737,0.233545647558386
"358485",0.785238398634275,0.745283018867924,0.405555555555556,0.616504854368932
