"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.707704988908368,0.986301369863014,1,0.112159329140461
"223811",0.920676071478806,1,1,0
"1948107",0.828905244425162,0.959459459459459,0.684931506849315,0
"1962655",0.915438621877224,0.972972972972973,NA,0.133674214755296
"586116",0.553556418176463,0.955223880597015,0.872340425531915,0.377450980392157
"964155",0.500630428155584,1,1,0
"1942922",0.498752349876746,1,NA,0.762600438276114
"929647",0.686578540265126,1,1,NA
"1338378",0.805969590133855,0.959459459459459,0.94,0.00584795321637427
"633346",0.746356620873981,0.986486486486487,1,NA
"1650389",0.55489349444792,0.850746268656716,0.54,0.429447852760736
"1641245",0.857817867022315,0.945945945945946,0.625,0.139492753623188
"1663289",0,NA,NA,0.0248356464572681
"618849",0.571612244277162,1,1,NA
"1054084",0.864753407673613,0.972602739726027,0.545454545454545,0.100174216027875
"811237",0.914793112629256,0.932432432432432,0.212121212121212,0.135135135135135
"955492",0.73536505231184,0.972972972972973,0.977272727272727,0.0137614678899083
"948898",0.848323273562983,0.986301369863014,NA,0.0496712929145362
"8383",0.83180077215466,0.972602739726027,NA,0.195763330898466
"737498",0.615623492978543,0.830985915492958,0.666666666666667,0.201680672268908
"1041019",0.932139944096671,0.972972972972973,NA,0.0825420014609204
"1985204",0.806695141454151,0.878378378378378,NA,0.121256391526662
"948601",0.818498130287451,0.932432432432432,NA,0.241051862673484
"1331037",0.762552630909665,0.972972972972973,1,0
"1669601",0.724246113998499,0.917808219178082,NA,0.257121986851717
"893041",0.852971921454473,0.986486486486487,0.789473684210526,0.00559179869524697
"847832",0.719648880377706,1,1,NA
"1102195",0.50478784520428,1,1,NA
"592977",0.802056936734422,0.929577464788732,NA,0.335281227173119
"1471895",0.782800566229098,0.986486486486487,1,0.127236580516899
"1958442",0.904533514641692,0.932432432432432,NA,0.241051862673484
"948001",0.822974901704864,0.932432432432432,NA,0.135135135135135
"964235",0.0785891074506542,1,1,NA
"1650226",0.791487591074138,0.986486486486487,0.986486486486487,NA
"8201",0.737619206733747,0.972972972972973,0.3125,0.0615114235500879
"1546130",0.859229575585041,0.932432432432432,NA,0.487947406866326
"1221713",0.820383489854434,0.917808219178082,NA,0.196493791088386
"943424",0.646405366025523,0.96969696969697,NA,0.393718042366691
"706726",0.735219876115591,0.927536231884058,NA,0.322863403944485
"809906",0.327429604868815,0.917808219178082,0.5,0.629251700680272
"611375",0.86822583107115,0.986301369863014,0.985915492957746,0
"1547003",0.814877462558425,0.917808219178082,1,0.161841128433556
"1946494",0.911119334284193,0.905405405405405,NA,0.120525931336742
"1545927",0.43231460446343,0.986486486486487,NA,0.970051132213294
"618853",0.82013904264679,0.918918918918919,NA,0.260774287801315
"2008368",0.468988919355504,0.902777777777778,NA,0.111760409057706
"943904",0.59422689008792,0.915492957746479,NA,0.300949598246896
"1633630",0.86102465218168,1,1,NA
"1114910",0.604671999038129,0.972972972972973,NA,0.95836376917458
"1023683",0.775571651047654,1,1,NA
"793205",0.801179549349187,0.929577464788732,1,0.179712460063898
"1221771",0.554150126825371,0.986486486486487,0.986486486486487,NA
"1054467",0.832008476321803,0.986486486486487,0.971428571428571,0
"715945",0.891076138189816,0.932432432432432,0.42,0.213459516298633
"1054036",0.815463288959573,0.958904109589041,0.533333333333333,0.342281879194631
"612046",0.763214775444857,0.972972972972973,0.797297297297297,0
"1102397",0.707075521656049,0.945945945945946,0.602564102564103,0.185031185031185
"358485",0.748667629871237,0.849315068493151,NA,0.203067932797663
"810877",0.671471013396455,0.931034482758621,0.294117647058824,0.310679611650485
"1126",0.847866326560895,0.972602739726027,NA,0.14536157779401
"715737",0.84450755198063,0.905405405405405,NA,0.173849525200877
"1099406",0.520751040946856,1,1,NA
"1220694",0.871633133474809,0.959459459459459,NA,0.209642074506939
"943893",0.815746088094895,0.918918918918919,0.9,0.111111111111111
"809838",0.857547157866255,0.945945945945946,NA,0.278305332359386
"1054436",0.845226251450008,0.958904109589041,0.378378378378378,0.138248847926267
"817395",0.262974846971307,1,1,NA
