"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.709048547382436,0.990291262135922,0.680555555555556,0.659259259259259
"223811",0.925247359071835,0.990909090909091,0.990909090909091,NA
"1948107",0.798413977908978,0.909090909090909,0.648,0.311850311850312
"1962655",0.914455198251639,0.963302752293578,0.262048192771084,0.0491803278688525
"586116",0.559010628630132,0.927083333333333,0.651785714285714,0.398936170212766
"964155",0.519969682566191,0.990384615384615,0.989583333333333,0
"1942922",0.510951463115472,0.890909090909091,NA,0.724324324324324
"929647",0.703091031089242,1,1,NA
"1338378",0.832006401280256,0.972727272727273,0.595505617977528,NA
"633346",0.756653623846425,0.981818181818182,1,NA
"1650389",0.601367350935603,0.831683168316832,0.406451612903226,0.484035759897829
"1641245",0.882005291399939,0.954545454545455,0.385542168674699,NA
"1663289",0.0258325310498652,0.697916666666667,0.0699386503067485,NA
"618849",0.55530819200754,0.961165048543689,0.720338983050847,0.45045045045045
"1054084",0.881058245267012,0.972727272727273,0.988235294117647,0.298876404494382
"811237",0.911713581528084,0.945454545454545,0.167364016736402,NA
"955492",0.705323703348269,0.926605504587156,0.361313868613139,NA
"948898",0.846808035905842,0.945454545454545,0.367021276595745,0.36247723132969
"8383",0.836769003957272,0.935779816513762,0.251968503937008,0.248780487804878
"737498",0.678773562621061,0.872727272727273,0.4,0.21328081035453
"1041019",0.920255934897771,0.936363636363636,0.140625,0.261904761904762
"1985204",0.780476933363049,0.872727272727273,0.29,0.0227272727272727
"948601",0.845764595264552,0.945454545454545,0.636363636363636,0.234760051880674
"1331037",0.676195035218491,0.98,1,NA
"1669601",0.674141036357839,0.842592592592593,0.538461538461538,0.611850060459492
"893041",0.857181338437741,0.981818181818182,0.666666666666667,NA
"847832",0.728487524472029,1,1,NA
"1102195",0.525521773335184,1,1,NA
"592977",0.802077922077922,0.885714285714286,0.5,0.369369369369369
"1471895",0.779168875275001,0.981818181818182,0.6640625,0.170658682634731
"1958442",0.919917792027944,0.936363636363636,0.182965299684543,0.313883299798793
"948001",0.828021364239335,0.909090909090909,0.2,0.217162872154116
"964235",0.0898259621982409,1,1,NA
"1650226",0.792091788752116,0.972727272727273,0.650306748466258,NA
"8201",0.757129006243261,0.981818181818182,0.680851063829787,0
"1546130",0.880727332014708,0.936363636363636,0.121827411167513,0.917091836734694
"1221713",0.804313858695652,0.872727272727273,0.354838709677419,0.241610738255034
"943424",0.670689617934818,0.919191919191919,0.38,0.525179856115108
"706726",0.690443042092252,0.901960784313726,0.495575221238938,0.482758620689655
"809906",0.351350598563892,0.92,0.476744186046512,0.919799498746867
"611375",0.895978152929494,0.981818181818182,0.737931034482759,NA
"1547003",0.852670613492941,0.936363636363636,0.242990654205607,0.18660647103085
"1946494",0.864670829362146,0.863636363636364,0.204819277108434,0.145748987854251
"1545927",0.427348404150393,0.952380952380952,NA,0.974447174447174
"618853",0.82223098496697,0.890909090909091,0.2,0.293537787513691
"2008368",0.584307935817393,0.872727272727273,0.444444444444444,0.155393053016453
"943904",0.646860301347293,0.861386138613861,0.333333333333333,0.577447335811648
"1633630",0.869884607688374,0.990909090909091,0.990909090909091,NA
"1114910",0.518857823253169,0.822429906542056,NA,0.990663390663391
"1023683",0.788285079098033,1,1,NA
"793205",0.758491367110105,0.902912621359223,0.48,0.407862407862408
"1221771",0.478333713090914,0.945054945054945,0.78125,0.63751987281399
"1054467",0.835170260296459,0.990909090909091,0.75886524822695,1
"715945",0.899178596780523,0.927272727272727,0.559210526315789,0.186046511627907
"1054036",0.828702521479114,0.972477064220184,0.604166666666667,0.478260869565217
"612046",0.779896977749136,0.954545454545455,0.883333333333333,NA
"1102397",0.706189086845863,0.989690721649485,0.694214876033058,0.220720720720721
"358485",0.825524907369288,0.909090909090909,0.480662983425414,0.416666666666667
"810877",0.745051219190945,0.926315789473684,0.47752808988764,0.98705501618123
"1126",0.846720875446462,0.945454545454545,0.328859060402685,0.233041575492341
"715737",0.844591647702492,0.898148148148148,0.128571428571429,0.309296264118158
"1099406",0.538130551853078,1,1,NA
"1220694",0.853947340000432,0.908256880733945,0.219653179190751,0.338276181649676
"943893",0.825324732703013,0.908256880733945,0.220670391061453,0.382198952879581
"809838",0.860712558439465,0.899082568807339,NA,0.337592137592138
"1054436",0.829437526835552,0.935779816513762,0.333333333333333,0.370689655172414
"817395",0.225623844731978,1,1,NA
"586036",0.909802052255481,0.981818181818182,0.363636363636364,NA
"706714",0.799811538955755,0.972222222222222,0.5,0.263565891472868
"1220878",0.849584410141789,0.909090909090909,0.473404255319149,0
"955414",0.547166893092277,0.954545454545455,NA,1
"1555181",0.0247575940847104,1,1,NA
"1739024",0.0102181175083513,1,1,NA
"1652570",0.929623394355555,0.945454545454545,0.124463519313305,0.196936542669584
"1220941",0.81431422668861,0.918181818181818,0.611111111111111,0.120075046904315
"1947988",0.851277514700526,0.944954128440367,0.257575757575758,0.170542635658915
"807274",0.862807295796987,0.954545454545455,0.334558823529412,0.205128205128205
"1475279",0.531147000659196,1,1,NA
"594559",0.730683650220511,0.947368421052632,0.574193548387097,0.902527075812274
"965207",0.928198594385763,0.954545454545455,1,0.390452261306533
"942980",0.756490586622241,0.981481481481482,0.870967741935484,NA
"715586",0.518385491251557,0.97196261682243,0.562874251497006,0.12987012987013
"799526",0.321453228800687,0.826923076923077,0.471428571428571,0.458832335329341
"1641403",0.85030982654002,0.945454545454545,0.690140845070423,0.174097664543524
"1615370",0.915389984295934,0.936363636363636,0.287313432835821,0.169312169312169
"1771782",0.630384270858437,0.981818181818182,0.624277456647399,NA
"1948338",0.827152343598307,0.954128440366973,0.724137931034483,NA
"1035359",0.205233554313601,0.416666666666667,NA,1
"780697",0.907485061327183,0.936363636363636,0.312714776632302,NA
"1061254",0.970484093183562,0.972727272727273,0,1
"1938269",0.505493722731725,0.963636363636364,0.75,NA
"827636",0.324075595727198,0.861386138613861,0.5,0.167333867093675
"1629198",0.700901055367303,0.759259259259259,0.317829457364341,0.310176125244618
"605145",0.498626295545408,0.925233644859813,0.465,0
