"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.308146560058527,0.934782608695652,0.380281690140845,0.0643598615916955
"223811",0.230474456206766,1,1,0.022412656558998
"1948107",0.648858996677551,0.98936170212766,0.564102564102564,0.142857142857143
"1962655",0.146795751181788,0.944444444444444,0.32,0.188679245283019
"586116",0.434885188882051,0.959459459459459,0.506666666666667,0.185328185328185
"964155",0.0330842521925022,0.8,0.833333333333333,0
"1942922",0,NA,NA,0.661425061425061
"929647",0.177430900437141,1,1,0
"1338378",0.547694333594797,0.985507246376812,0.85,0.0625909752547307
"633346",0.249036284411518,0.972222222222222,1,0
"1650389",0.48244518443614,0.958333333333333,0.580645161290323,0.433165829145729
"1641245",0.615590682965744,0.974683544303797,0.727272727272727,0.0960307298335467
"1663289",0,NA,0.705479452054795,NA
"618849",0.375885275171683,0.98,1,0.193412162162162
"1054084",0.327711841186915,0.957446808510638,1,0.119136262099777
"811237",0.0860647370361851,1,0.9,0.161081081081081
"955492",0.384106651633764,0.95,0.491228070175439,0.0898876404494382
"948898",0.353735672911775,1,0.512820512820513,0.227050183598531
"8383",0.1424025726843,1,0.0862068965517241,0.18816631130064
"737498",0.689158034731563,0.863636363636364,0.363636363636364,0.18448098663926
"1041019",0.180523947922935,1,0.875,0.197668256491786
"1985204",0.350004268148307,0.869565217391304,0.300751879699248,0.131756756756757
"948601",0.271551374499419,1,0.222222222222222,0.195909580193757
"1331037",0.00795649161101519,0.5,1,0
"1669601",0.279933461816771,1,0.320754716981132,0.547158403869408
"893041",0.0944504509333742,0.857142857142857,0.292682926829268,0.0337837837837838
"847832",0,NA,NA,0
"1102195",0.154053876036162,1,1,0
"592977",0.0488353289899095,1,NA,0.264373464373464
"1471895",0.590552832781664,0.89873417721519,0.585585585585586,0.0828488372093023
"1958442",0.309892246304031,0.972972972972973,0.485714285714286,0.0915080527086384
"948001",0.43601304846669,0.967741935483871,0.564102564102564,0.196267696267696
"964235",0.23396873872649,0.947368421052632,1,NA
"1650226",0.763572915754442,0.97029702970297,0.811475409836066,0.201183431952663
"8201",0.137208532364849,1,1,0.0236087689713322
"1546130",0.131275129711068,1,0.875,0.34870164281929
"1221713",0.199378799696424,0.928571428571429,0.105263157894737,0.161642411642412
"943424",0.492068031312222,0.928571428571429,0.29126213592233,0.314369073668855
"706726",0.160252245880572,0.958333333333333,0.888888888888889,0.284334763948498
"809906",0.647970595325562,0.94047619047619,0.41566265060241,0.559006211180124
"611375",0.257872205183076,0.96875,0.96875,0.0256410256410256
"1547003",0.354183845573976,1,0.32,0.181187355435621
"1946494",0.120468399176757,1,0.785714285714286,0.185247747747748
"1545927",0.177040944419782,0.964285714285714,NA,0.971990171990172
"618853",0.164104295838737,1,NA,0.194594594594595
"2008368",0.0801451808985885,0.964285714285714,NA,0.127764127764128
"943904",0.342592196378224,0.907692307692308,0.4375,0.313725490196078
"1633630",0.39882203368167,0.979591836734694,0.979591836734694,0
"1114910",0.0713619606119504,1,NA,0.968058968058968
"1023683",0.0478380637976247,1,1,0
"793205",0.578471717099242,0.950617283950617,0.35,0.229686500319898
"1221771",0.347147564518429,0.976190476190476,1,0.335453100158982
"1054467",0.0833682297965732,1,1,0
"715945",0.163880769799914,0.95,0.9,0.0798798798798799
"1054036",0.300077078628112,0.972972972972973,0.9375,0.10880829015544
"612046",0.463490000291213,0.984615384615385,0.984615384615385,0.0152866242038217
"1102397",0.0253815319481174,0.5,0.0512820512820513,0.0324123273113709
"358485",0.618510391309759,0.953488372093023,0.518518518518518,0.312829525483304
"810877",0.690559995724856,0.948453608247423,0.43298969072165,0.316722972972973
"1126",0.555458109996789,0.973333333333333,0.31875,0.180272108843537
"715737",0.214017193841534,1,0,0.255255255255255
"1099406",0.0351436854683093,1,1,0
"1220694",0.512385542300435,0.970149253731343,0.185185185185185,0.158042744656918
"943893",0.614018683294193,0.955555555555556,0.370967741935484,0.193050193050193
"809838",0.294505645144909,1,NA,0.31007371007371
"1054436",0.253946808718435,1,0.209302325581395,0.116796440489433
"817395",0,NA,1,NA
"586036",0.313151224279291,1,1,0.016988416988417
"706714",0.327738806865215,1,NA,0.0928746928746929
"1220878",0.518576817906463,0.944444444444444,0.425925925925926,0.0875959079283887
"955414",0.0300147023389629,1,NA,1
"1555181",0.141758642665836,0.882352941176471,1,NA
"1739024",0,NA,1,NA
"1652570",0.345024518727599,1,0.298245614035088,0.147490347490347
"1220941",0.718513788320507,0.961165048543689,0.841269841269841,0.109327983951856
"1947988",0.30585801448073,1,0.952380952380952,0.0988336402701044
"807274",0,NA,NA,0.112039312039312
"1475279",0.0264798307795728,1,1,0
"594559",0.404090627716207,0.981818181818182,0.584615384615385,0.243519245875884
"965207",0.557645034536283,1,0.176470588235294,0.352789699570815
"942980",0.649827051658998,0.919540229885057,0.988636363636364,0
"715586",0.531568804198307,0.967213114754098,0.983606557377049,0.0683572216097023
"799526",0.135713390326518,0.96078431372549,0.766666666666667,0.383800623052959
"1641403",0.455273042162133,0.9375,0.731707317073171,0.134880348078318
"1615370",0.284031780044805,0.970588235294118,0.315789473684211,0.14651493598862
"1771782",0.289136164354325,0.976744186046512,0.538461538461538,0.0227827502034174
"1948338",0.104740648458611,1,1,0.0377252252252252
"1035359",0.164665425899393,1,NA,1
"780697",0.685749364335392,0.930232558139535,0.321637426900585,0.0599294947121034
"1061254",0.607954352282481,0.971428571428571,0.434108527131783,0.12027027027027
"1938269",0.265394191223605,0.9375,0.659090909090909,0.00712589073634204
"827636",0.0297560086883402,1,1,0.14873417721519
"1629198",0.0117817638006205,1,NA,0.277641277641278
"605145",0.00663501152731342,1,1,0.0585918266863614
"1053575",0.353150773751929,1,1,0.146763392857143
"1947803",0.668247436352659,0.979381443298969,1,0.0944323144104803
"706990",0.542855448832993,0.987179487179487,0.944444444444444,0.234131736526946
"1061169",0.358381367722745,0.976190476190476,0.567164179104478,0.0969793322734499
"282785",0,NA,NA,0
"825849",0.396863111010333,0.979166666666667,1,0.036541889483066
