"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.429666026124395,1,1,0.111269614835949
"223811",0.744963620841244,1,1,0.0196629213483146
"1948107",0.801435118568431,0.995475113122172,0.922413793103448,0.1
"1962655",0.818222536692394,1,0.958333333333333,0.0827478532396565
"586116",0.654553655327946,0.98936170212766,0.993150684931507,0.284501061571125
"964155",0.548938066240903,0.983739837398374,1,0.010016694490818
"1942922",0.17201772252903,1,NA,0.5003465003465
"929647",0.231541075354787,1,1,0
"1338378",0.818541247886686,0.986111111111111,0.986111111111111,0
"633346",0.249131167195301,0.98780487804878,1,0
"1650389",0.64625710749108,0.945,0.822222222222222,0.342024539877301
"1641245",0.809986768682046,0.995475113122172,0.854838709677419,NA
"1663289",0,NA,0.465425531914894,NA
"618849",0.78513510078544,0.995283018867924,1,0.0153846153846154
"1054084",0.815316050467642,0.990783410138249,0.981566820276498,0.407407407407407
"811237",0.852471629159454,1,0.638376383763838,0.264550264550265
"955492",0.476842284869282,1,1,0.0260869565217391
"948898",0.777925380498729,1,0.919642857142857,0.235294117647059
"8383",0.778712943612676,0.985849056603774,0.60377358490566,0.110222222222222
"737498",0.79441950643822,0.956730769230769,0.908212560386473,0.102857142857143
"1041019",0.90410696864778,1,0.785714285714286,0.106
"1985204",0,NA,NA,0
"948601",0.763727972420934,1,0.771653543307087,0.411111111111111
"1331037",0.179939250420477,1,1,0
"1669601",0.399373531714957,1,NA,0.122661122661123
"893041",0.231723332846928,0.966666666666667,0.790322580645161,0
"847832",0,NA,NA,0
"1102195",0.398055252930942,1,1,0
"592977",0.638004099442928,0.994350282485876,1,0.16013986013986
"1471895",0.740857669034465,0.989417989417989,0.898550724637681,0.0247524752475248
"1958442",0.18565086381363,0.977272727272727,0.740740740740741,0.164930555555556
"948001",0.770024063251977,1,0.790983606557377,0.423076923076923
"964235",0.371138721076029,0.953125,1,NA
"1650226",0.846856870380672,0.990950226244344,0.995475113122172,0
"8201",0.704613250553846,0.990610328638498,0.927272727272727,0.144736842105263
"1546130",0.325483647722872,0.989010989010989,0.0517241379310345,0.702861335289802
"1221713",0.787814734224433,0.995475113122172,1,0.0334961618981158
"943424",0.591339127759403,0.985074626865672,0.8,0.27112417340191
"706726",0.631380590810841,0.990610328638498,NA,0.194040194040194
"809906",0.813420794447463,0.967213114754098,0.909638554216867,0.961187214611872
"611375",0.487134502923977,0.991666666666667,0.991666666666667,0.0368098159509202
"1547003",0.771011308317391,1,0.896860986547085,0.338461538461538
"1946494",0.947061531379469,0.995495495495496,0.613924050632911,0.235294117647059
"1545927",0.527953199977059,0.995495495495496,NA,0.530838530838531
"618853",0.781895398219792,1,0.466321243523316,0.307692307692308
"2008368",0.669292349265327,0.946601941747573,0.932038834951456,0.0531914893617021
"943904",0.52733342338344,0.985294117647059,0.941176470588235,0.246648793565684
"1633630",0,NA,NA,0
"1114910",0.541545687174153,0.995495495495496,NA,0.620928620928621
"1023683",0.235594866813232,1,1,0
"793205",0.72006196746708,0.979591836734694,1,0.271043771043771
"1221771",0.889845188818585,0.995495495495496,0.995495495495496,NA
"1054467",0.824711794265445,1,1,0.0412371134020619
"715945",0,NA,NA,0.0720720720720721
"1054036",0.666915441450855,0.963855421686747,0.953488372093023,0.212025316455696
"612046",0.585570436606065,0.986666666666667,1,0.0314769975786925
"1102397",0.122060693331699,0.888888888888889,0.827586206896552,0.0187144019528072
"358485",0.798725551881551,0.972850678733032,0.795744680851064,0.7875
"810877",0.65090127335869,0.977653631284916,0.934782608695652,0.322049405306496
"1126",0.814145422833382,0.981735159817352,0.651685393258427,0.0486593843098312
"715737",0.835434497407384,0.97737556561086,0.642335766423358,0.158647594278283
"1099406",0.591987481268317,1,1,0
"1220694",0.806487438963102,1,0.780487804878049,0.17135761589404
"943893",0.804858485160995,0.968468468468468,0.739463601532567,0.209302325581395
"809838",0.801061441623855,0.995475113122172,0.478260869565217,0.117734724292101
"1054436",0.829748002458513,0.958715596330275,0.777777777777778,0.405405405405405
"817395",0.35765290282521,1,1,NA
"586036",0.808673644743009,0.995475113122172,0.682926829268293,0.0232558139534884
"706714",0.690274917932491,0.994871794871795,0.894308943089431,0.0586552217453505
"1220878",0.787742490364094,0.981818181818182,0.765432098765432,0.191011235955056
"955414",0.417323994026209,0.990990990990991,0.923076923076923,0.688053097345133
"1555181",0.261009123886996,0.963636363636364,1,NA
"1739024",0,NA,1,NA
"1652570",0.922926918051755,1,0.674242424242424,0.415384615384615
"1220941",0.78267875641042,0.990950226244344,0.978260869565217,0.13469387755102
