"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.533810131150183,0.74293059125964,0.613333333333333,0.35250569476082
"223811",0.690442704729478,0.786096256684492,NA,0.651065801668211
"1948107",0.459218748072572,0.729442970822281,0.4,0.432232626909808
"1962655",0.658876118913117,0.798898071625344,NA,0.7516218721038
"586116",0.393238370528585,0.608355091383812,0.581395348837209,0.563262684649968
"964155",0.301187998013659,0.744252873563218,0.372093023255814,0.478
"1942922",0.33601748624967,0.803519061583578,NA,0.985171455050973
"929647",0.0891655280073678,0.624161073825503,NA,0.886005560704356
"1338378",0.49314714278721,0.759894459102902,0.540540540540541,0.797086891009543
"633346",0.0249545516704242,0.642384105960265,0.5,0.911204091120409
"1650389",0.29258755070686,0.675603217158177,0.625,0.600473933649289
"1641245",0.545958031639021,0.795389048991354,NA,0.861909175162187
"1663289",0,0,0,0.69906103286385
"618849",0.39600482305249,0.737609329446064,0.664634146341463,0.473598700243704
"1054084",0.506767997300246,0.722513089005236,0.357142857142857,0.64326375711575
"811237",0.723306280907301,0.827195467422096,NA,0.709916589434662
"955492",0.513261880067122,0.78393351800554,0.431372549019608,0.69861609431061
"948898",0.393284406358447,0.745398773006135,NA,0.833178869323448
"8383",0.421884532219895,0.696378830083565,NA,0.825764596848934
"737498",0.531962448136314,0.792134831460674,NA,0.6209453197405
"1041019",0.704720067108489,0.87536231884058,NA,0.766450417052827
"1985204",0.486421942440121,0.735211267605634,0.1875,0.752963489805595
"948601",0.383334875790654,0.821086261980831,1,0.74883504193849
"1331037",0.367055993737292,0.793706293706294,0.787878787878788,0.472718001019888
"1669601",0.326418288394167,0.815864022662889,NA,0.960611677479147
"893041",0.243459903345285,0.780645161290323,NA,0.996292863762743
"847832",0.124741901464756,0.772893772893773,0.2,0.873252562907735
"1102195",0.161594681944083,0.839009287925697,0.25,0.841254752851711
"592977",0.558020271788163,0.771276595744681,NA,0.788693234476367
"1471895",0.592318421599587,0.777472527472527,0.661538461538462,0.669627984453082
"1958442",0.678353494395538,0.740837696335079,NA,0.787766450417053
"948001",0.419463402363142,0.785714285714286,NA,0.809082483781279
"964235",0.360247893277993,0.411111111111111,0.979591836734694,0.900219298245614
"1650226",0.363426199535251,0.730337078651685,NA,0.649212233549583
"8201",0.309622219994467,0.680124223602484,0.666666666666667,0.68220742150333
"1546130",0.480699433908418,0.583333333333333,NA,0.94902687673772
"1221713",0.480448528126097,0.78735632183908,NA,0.803985171455051
"943424",0.438136560455894,0.636144578313253,0.6,0.5505
"706726",0.415115387391956,0.686224489795918,0,0.651205936920223
"809906",0.587449521517645,0.622727272727273,0.959276018099548,0.651129943502825
"611375",0.471343876491792,0.720101781170484,0.2,0.614092393840411
"1547003",0.416519868788407,0.808823529411765,1,0.800564440263405
"1946494",0.710607084472808,0.824362606232295,NA,0.781742354031511
"1545927",0.320592203450071,0.769014084507042,NA,0.947636700648749
"618853",0.498248024372518,0.724137931034483,NA,0.731696014828545
"2008368",0.116856193492559,0.632768361581921,NA,0.863762743280816
"943904",0.414805259077391,0.588785046728972,0.666666666666667,0.592247301275761
"1633630",0.547694806472842,0.727047146401985,0.666666666666667,0.656410256410256
"1114910",0.331813890770179,0.709239130434783,1,0.941968430826369
"1023683",0.280735499301864,0.759856630824373,0.130434782608696,0.818439716312057
"793205",0.397761502200373,0.5825,NA,0.622335495829472
"1221771",0.497882452218895,0.745980707395498,0.952879581151832,0.69683257918552
"1054467",0.633077447715707,0.744736842105263,0.607142857142857,0.217344173441734
"715945",0.714890935552271,0.803867403314917,NA,0.707136237256719
"1054036",0.451700496169658,0.644028103044497,0.714285714285714,0.610193487494101
"612046",0.370292981385689,0.660891089108911,0.5,0.670162059103908
"1102397",0.602419208480005,0.774535809018568,0.424242424242424,0.682358771060456
"358485",0.394796787232797,0.622828784119107,0.111111111111111,0.849627560521415
"810877",0.633521963459406,0.687979539641944,NA,0.42678405931418
"1126",0.512999353992601,0.819277108433735,0.6,0.782934833567745
"715737",0.516289363849429,0.747368421052632,NA,0.767840593141798
"1099406",0.0781896951910575,0.772532188841202,0.5,0.792444029850746
"1220694",0.462336396964972,0.820809248554913,NA,0.732622798887859
"943893",0.454241540730193,0.726063829787234,0.333333333333333,0.791142191142191
"809838",0.467689724938604,0.650717703349282,NA,0.793790546802595
"1054436",0.508805532235503,0.737430167597765,0.666666666666667,0.816953889147648
"817395",0,0,NA,0.779888785912882
"586036",0.416031085804799,0.823361823361823,NA,0.816033364226135
"706714",0.398076881802949,0.624338624338624,0.454545454545455,0.616185518220539
"1220878",0.389882853626696,0.692913385826772,NA,0.803058387395737
"955414",0.105962647315,0.685294117647059,0,0.956824512534819
"1555181",0.435231390951761,0.788461538461538,0.989010989010989,0.646245059288538
"1739024",0.000225772844130837,0.0454545454545455,0.75,0.766355140186916
"1652570",0.706065274291795,0.86046511627907,NA,0.763670064874884
"1220941",0.41542633489191,0.688607594936709,0.0952380952380952,0.604891815616181
"1947988",0.530591315720719,0.815864022662889,1,0.781919850885368
"807274",0.521803289126471,0.764542936288089,NA,0.77710843373494
"1475279",0.0705104313891385,0.82520325203252,0,0.842717543043276
"594559",0.436179333467448,0.704545454545455,1,0.546287367405979
"965207",0.605119336138657,0.862973760932945,NA,0.937442075996293
"942980",0.484122814385331,0.756906077348066,0.473684210526316,0.642215568862275
"715586",0.597729451014124,0.734210526315789,0.919831223628692,0.768768768768769
"799526",0.205419694414846,0.804093567251462,0.569230769230769,0.640504939626784
"1641403",0.450170148468361,0.71875,0.5,0.76093023255814
"1615370",0.705992245175374,0.821022727272727,NA,0.759962928637627
"1771782",0.418325142347381,0.871060171919771,1,0.863932898415657
"1948338",0.428890510206086,0.69309462915601,0.333333333333333,0.506395073424917
"1035359",0.0533528611412696,0.844961240310077,NA,0.998146431881372
"780697",0.713068017903338,0.817927170868347,NA,0.835495829471733
"1061254",0.853579276547172,0.899705014749263,NA,0.851251158480074
"1938269",0.0959418255362552,0.888888888888889,NA,0.823447636700649
"827636",0.280726727014747,0.786516853932584,0.716312056737589,0.573224852071006
"1629198",0.399850628262837,0.724431818181818,0,0.715219421101774
"605145",0.0489324166595338,0.630952380952381,NA,0.943466172381835
"1053575",0.463137855242312,0.798192771084337,0.142857142857143,0.811655011655012
"1947803",0.427419854955734,0.628019323671498,0.636363636363636,0.619591060389919
"706990",0.41100956833446,0.66839378238342,0.333333333333333,0.798695246971109
"1061169",0.851019011938272,0.909620991253644,NA,0.890639481000927
"282785",0.290715765271754,0.793785310734463,NA,0.934198331788693
"825849",0.74301461575801,0.828571428571429,0.720930232558139,0.461864406779661
