"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.643077860469165,0.803333333333333,0.698412698412698,0.355067328136074
"223811",0.734546527864498,0.831615120274914,NA,0.794314381270903
"1948107",0.544402997844016,0.75974025974026,0.545454545454545,0.383680555555556
"1962655",0.71518654755649,0.774086378737541,NA,0.948717948717949
"586116",0.406755785117903,0.688644688644689,0.553398058252427,0.699376947040498
"964155",0.346107903643241,0.769811320754717,0.666666666666667,0.526942711287578
"1942922",0.351991463499501,0.764912280701754,NA,0.987179487179487
"929647",0.0950868550687062,0.601626016260163,NA,0.950947603121516
"1338378",0.571407608496276,0.829861111111111,0.533333333333333,0.830742659758204
"633346",0.0204845030281439,0.635135135135135,0,0.953098827470687
"1650389",0.362446513969293,0.715277777777778,0.25,0.727374929735807
"1641245",0.603560563119599,0.792387543252595,NA,0.999442586399108
"1663289",0.000503841793676786,0.0526315789473684,0.111111111111111,0.779527559055118
"618849",0.508947093862597,0.767857142857143,0.842364532019704,0.34075723830735
"1054084",0.595105860177051,0.807692307692308,1,0.758001122964627
"811237",0.742072431121123,0.852112676056338,NA,0.931995540691193
"955492",0.57951386413857,0.862068965517241,0.666666666666667,0.673261729790842
"948898",0.50567171711379,0.837037037037037,NA,0.960423634336678
"8383",0.483798451372647,0.783882783882784,NA,0.912486064659978
"737498",0.593656493117893,0.808270676691729,NA,1
"1041019",0.727755527514127,0.857142857142857,NA,0.898550724637681
"1985204",0.619599722377089,0.732394366197183,0,0.828011204481793
"948601",0.463139516184613,0.834677419354839,NA,0.955964325529543
"1331037",0.422777867397967,0.768518518518518,0.465116279069767,0.51219512195122
"1669601",0.324914411213746,0.888888888888889,NA,0.973801560758083
"893041",0.33894289397582,0.821561338289963,NA,0.999442586399108
"847832",0.110408472432628,0.794392523364486,NA,0.915830546265329
"1102195",0.164927394644522,0.842696629213483,NA,0.910813823857302
"592977",0.604765596036534,0.834507042253521,NA,0.948160535117057
"1471895",0.62278349623735,0.767676767676768,0.677966101694915,0.713513513513514
"1958442",0.699727233888725,0.790540540540541,NA,0.959308807134894
