"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.499845712475279,0.764150943396226,0.177215189873418,0.564566437928883
"223811",0.606434433044859,0.777777777777778,NA,0.922358722358722
"1948107",0.362406894825591,0.77,0,0.723152709359606
"1962655",0.604573037177227,0.794392523364486,NA,0.93022113022113
"586116",0.277307999534195,0.698795180722892,0.257142857142857,0.649409116488464
"964155",0.250330399351111,0.703296703296703,0,0.694198623402163
"1942922",0.284848058018508,0.805555555555556,NA,1
"929647",0.0116354918885866,0.692307692307692,NA,0.976904176904177
"1338378",0.408308130608034,0.716981132075472,0,0.940973930152484
"633346",0.00169070456542548,0.222222222222222,NA,0.998525798525798
"1650389",0.20007436805327,0.637362637362637,NA,0.904176904176904
"1641245",0.432693879155104,0.707547169811321,NA,1
"1663289",0,NA,NA,0.998525798525798
"618849",0.283788416676891,0.7,0.206060606060606,0.488530161427358
"1054084",0.411887385077119,0.695238095238095,NA,0.946437346437346
"811237",0.606713034122219,0.740740740740741,NA,0.906633906633907
"955492",0.421449411643806,0.722222222222222,0.0303030303030303,0.878391959798995
"948898",0.321976833834866,0.703296703296703,NA,0.992628992628993
"8383",0.376558138936217,0.741935483870968,NA,1
"737498",0.49979893022261,0.771739130434783,NA,0.921867321867322
"1041019",0.53131618460851,0.707547169811321,NA,0.978378378378378
"1985204",0.458744538276801,0.722222222222222,0,0.960454770143351
"948601",0.317068225495461,0.729411764705882,NA,0.993120393120393
"1331037",0.298417294229796,0.661290322580645,0.285714285714286,0.674137931034483
"1669601",0.337751819404512,0.805555555555556,NA,1
"893041",0.224880592685314,0.739583333333333,NA,1
"847832",0.0465123007484782,0.720588235294118,NA,1
"1102195",0.112393150088147,0.784313725490196,0,0.974384236453202
"592977",0.457390202569074,0.719626168224299,NA,0.985257985257985
"1471895",0.549113130644357,0.779816513761468,0.375,0.825388026607539
"1958442",0.585737996095748,0.747663551401869,NA,0.955773955773956
"948001",0.329647090216626,0.696969696969697,NA,0.997051597051597
"964235",0.342397707734109,0.6875,1,0.958810068649886
"1650226",0.319207954390612,0.736842105263158,NA,0.93955773955774
"8201",0.167085942535779,0.591549295774648,0,0.922205809945839
"1546130",0.47893216173396,0.747474747474748,NA,0.981818181818182
"1221713",0.427918158888167,0.797979797979798,NA,0.987223587223587
"943424",0.316827011675256,0.712871287128713,NA,0.774938574938575
"706726",0.342288478961166,0.660194174757282,NA,0.88009828009828
"809906",0.479496314448619,0.707070707070707,0.485915492957746,0.719387755102041
"611375",0.469678993121323,0.730769230769231,NA,0.893857493857494
"1547003",0.365948738905691,0.777777777777778,NA,0.97985257985258
"1946494",0.595655522836225,0.731481481481482,NA,0.917936117936118
"1545927",0.242734258712838,0.742574257425743,NA,1
"618853",0.352460334134181,0.649484536082474,NA,0.992628992628993
"2008368",0.0451660130395949,0.583333333333333,NA,0.97985257985258
"943904",0.322308940140517,0.701030927835051,NA,0.801965601965602
"1633630",0.491046056819545,0.728971962616822,NA,0.935135135135135
"1114910",0.281067610175809,0.757281553398058,NA,1
"1023683",0.195207045573742,0.628571428571429,0,0.991629739044806
"793205",0.331550482356307,0.606382978723404,0,0.874136229022705
"1221771",0.421001037534369,0.7875,0.328767123287671,0.711159737417943
"1054467",0.514211840694153,0.740384615384615,0.225806451612903,0.397721106890939
"715945",0.568265864195594,0.704761904761905,NA,0.932186732186732
"1054036",0.380656570054459,0.769230769230769,1,0.799899949974987
"612046",0.258831186408506,0.6875,0.166666666666667,0.899849018621037
"1102397",0.538850758582394,0.761904761904762,0.833333333333333,0.825105042016807
"358485",0.344694727905965,0.702380952380952,NA,0.988206388206388
"810877",0.585533268976396,0.785046728971963,0.666666666666667,0.688990360223237
"1126",0.382876239150873,0.724489795918367,NA,0.985257985257985
"715737",0.419075570055324,0.710280373831776,NA,0.998525798525798
"1099406",0.0339477790621489,0.648148148148148,NA,0.984275184275184
"1220694",0.407923442683291,0.757575757575758,NA,0.96019656019656
"943893",0.34109841802696,0.742574257425743,NA,0.973464373464373
"809838",0.374454594478328,0.715686274509804,NA,0.996068796068796
"1054436",0.404024062498753,0.71,NA,0.98968058968059
"817395",0,NA,NA,0.977886977886978
"586036",0.319562052374616,0.715686274509804,NA,0.983292383292383
"706714",0.307818524402402,0.719101123595506,0,0.852143913257762
