"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.488145005784805,0.622222222222222,0.128787878787879,0.664675767918089
"223811",0.567811750293502,0.613636363636364,NA,0.959459459459459
"1948107",0.405742653964846,0.583333333333333,NA,0.72737955346651
"1962655",0.52981115807877,0.606741573033708,NA,1
"586116",0.26019178988143,0.545454545454545,0.145833333333333,0.737481031866464
"964155",0.24524885699027,0.604938271604938,0.0165289256198347,0.803513337670787
"1942922",0.289032518683094,0.662921348314607,NA,1
"929647",0.0480285470882292,0.394736842105263,NA,1
"1338378",0.42546571136131,0.597701149425287,0.037037037037037,0.954122752634842
"633346",0.00923634168427407,0.347826086956522,NA,1
"1650389",0.249531972831216,0.604651162790698,0,0.902352941176471
"1641245",0.420335245922177,0.563218390804598,NA,1
"1663289",0,NA,NA,1
"618849",0.310549190043461,0.513513513513513,0.194805194805195,0.467924528301887
"1054084",0.415768333923405,0.588235294117647,NA,0.982961222091657
"811237",0.637536821433581,0.722222222222222,NA,1
"955492",0.438690022848439,0.655172413793103,0,0.893031784841076
"948898",0.373345004923952,0.590361445783133,NA,1
"8383",0.399209578054167,0.604938271604938,NA,0.999412455934195
"737498",0.385665288148033,0.575757575757576,NA,1
"1041019",0.585629989586949,0.693181818181818,NA,0.995887191539365
"1985204",0.381454625357064,0.614285714285714,NA,0.986486486486487
"948601",0.334510725757818,0.512820512820513,NA,1
"1331037",0.318557171082628,0.678571428571429,0.113475177304965,0.712570056044836
"1669601",0.359589157184665,0.736263736263736,NA,1
"893041",0.238099835859805,0.527027027027027,NA,1
"847832",0.0944016015564422,0.605633802816901,NA,1
"1102195",0.116840652021217,0.528735632183908,0,0.993517972893341
"592977",0.422104985491955,0.536585365853659,NA,1
"1471895",0.476650479748994,0.627906976744186,0.189655172413793,0.816171389080857
"1958442",0.501154307876997,0.6,NA,0.994712103407756
"948001",0.374398909517739,0.558139534883721,NA,1
"964235",0.20393648693351,0.428571428571429,1,0.917987594762233
"1650226",0.332441696350561,0.5875,NA,1
"8201",0.248033095148552,0.536231884057971,NA,0.940070505287897
"1546130",0.445632471376454,0.666666666666667,NA,1
"1221713",0.423433515265629,0.566265060240964,NA,1
"943424",0.287371588106145,0.548780487804878,0.0294117647058824,0.817610062893082
"706726",0.26915969655709,0.4875,0.210526315789474,0.853068815871048
"809906",0.451606479967003,0.611764705882353,0.925373134328358,0.858455882352941
"611375",0.456077447113661,0.579545454545455,NA,0.934195064629847
"1547003",0.404484458945612,0.630952380952381,NA,0.99764982373678
"1946494",0.524051423876694,0.623529411764706,NA,1
"1545927",0.2654471196762,0.625,NA,1
