"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.769670886075949,0.989130434782609,1,0.09375
"223811",0.913511657667218,0.989130434782609,0.958333333333333,0
"1948107",0.677205882352941,0.978260869565217,1,0.0555555555555556
"1962655",0.871727012242772,0.989130434782609,NA,0.380434782608696
"586116",0.533957845433255,0.955555555555556,1,0.32
"964155",0.803503747999663,0.945652173913043,0.986111111111111,0
"1942922",0.353472637636915,1,NA,0.717391304347826
"929647",0.759636234182336,0.989130434782609,1,0
"1338378",0.844584963292428,0.989130434782609,1,0.0476190476190476
"633346",0.724425322679779,0.989130434782609,1,0
"1650389",0.612905564243033,0.945652173913043,NA,0.271739130434783
"1641245",0.757977397374107,0.967391304347826,NA,0.16304347826087
"1663289",0.00384707862466939,0.333333333333333,0.666666666666667,0.518072289156627
"618849",0.748376416656055,0.978260869565217,1,0.24
"1054084",0.710278474839732,0.967391304347826,NA,0.152173913043478
"811237",0.920826430781734,0.989130434782609,NA,0.239130434782609
"955492",0.42895887365691,0.987179487179487,1,0.0843373493975904
"948898",0.761220532707419,0.978260869565217,NA,0.239130434782609
"8383",0.7829818314617,0.967391304347826,NA,0.25
"737498",0.443036532281957,0.728260869565217,NA,0.282608695652174
"1041019",0.890426230191392,0.978260869565217,NA,0.25
"1985204",0.854212253829322,0.978260869565217,NA,0.25
"948601",0.74710407009322,0.978260869565217,NA,0.271739130434783
"1331037",0.775849660135946,1,1,0
"1669601",0.64423305588585,0.978260869565217,NA,0.391304347826087
"893041",0.853361566966649,0.978260869565217,0.933333333333333,0.0161290322580645
"847832",0.83600314332346,1,1,0
"1102195",0.791577040643043,0.989130434782609,1,0
"592977",0.797557338635234,0.978260869565217,NA,0.402173913043478
"1471895",0.790122908007912,0.989130434782609,0.916666666666667,0.05
"1958442",0.918631559196948,0.989130434782609,NA,0.33695652173913
"948001",0.756750069588346,0.956521739130435,NA,0.326086956521739
"964235",0.630054978619426,1,1,0
"1650226",0.785234899328859,1,NA,0
"8201",0.723376538787208,0.978260869565217,NA,0.0434782608695652
"1546130",0.763123834371146,1,NA,0.652173913043478
"1221713",0.780636870490858,0.967391304347826,NA,0.33695652173913
"943424",0.583496139175737,0.967391304347826,NA,0.41304347826087
"706726",0.623632710030588,0.945652173913043,0.8,0.344827586206897
"809906",0.496116948378255,0.956521739130435,1,0.294117647058824
"611375",0.87315750554597,0.967391304347826,1,0.025
"1547003",0.747518957707771,0.967391304347826,NA,0.293478260869565
"1946494",0.891362115859568,0.989130434782609,NA,0.304347826086957
"1545927",0.421236788753846,0.989130434782609,NA,0.978260869565217
"618853",0.757177410873909,0.978260869565217,NA,0.33695652173913
"2008368",0.213582719100166,0.945652173913043,NA,0.108695652173913
"943904",0.515406277621328,0.880434782608696,NA,0.358695652173913
"1633630",0.903809268684704,1,1,0
"1114910",0.416567656083727,0.989130434782609,NA,1
"1023683",0.808023814215925,0.989130434782609,1,NA
"793205",0.716916164521615,0.967391304347826,NA,0.239130434782609
"1221771",0.487848257323888,1,1,0.0789473684210526
"1054467",0.81463322647558,0.978260869565217,1,0.010989010989011
"715945",0.902676475191736,0.967391304347826,NA,0.41304347826087
"1054036",0.819969802924348,0.923913043478261,0.75,0.238636363636364
"612046",0.759897453139447,0.923913043478261,1,0.0465116279069767
"1102397",0.442912729294052,0.692307692307692,0.96875,0.1
