"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.784117296831911,0.494791666666667,0.736,0.334426229508197
"223811",0.874334438028731,0.868421052631579,0.982758620689655,0
"1948107",0.766001807111155,0.807692307692308,1,0.128755364806867
"1962655",0.823222036365219,0.860869565217391,0.177777777777778,0.180487804878049
"586116",0.702725254938911,0.689655172413793,0.971830985915493,0.332859174964438
"964155",0.820883263256577,0.635220125786163,1,0.255813953488372
"1942922",0.438698799829273,0.954545454545455,NA,0.661425061425061
"929647",0.691793077089933,0.794642857142857,1,0
"1338378",0.861297691973388,0.811023622047244,0.788135593220339,0.0437956204379562
"633346",0.762311866600745,0.963636363636364,1,0
"1650389",0.724514391768391,0.489583333333333,0.568965517241379,0.332147937411095
"1641245",0.815691270739857,0.911504424778761,0.642857142857143,0.0604982206405694
"1663289",0.025737966657019,0.341880341880342,0.971830985915493,0.081769436997319
"618849",0.773961139495581,0.869918699186992,0.752688172043011,0.287308228730823
"1054084",0.810919912503261,0.58659217877095,1,0.0833767587285044
"811237",0.896419941453921,0.911504424778761,NA,0.159213759213759
"955492",0.555486884094058,0.753968253968254,0.558441558441558,0.097519247219846
"948898",0.811703012275109,0.818897637795276,0.5,0.194694694694695
"8383",0.791837004525663,0.736842105263158,0.0833333333333333,0.198692152917505
"737498",0.547204556397226,0.188095238095238,NA,0.17985257985258
"1041019",0.910459472706523,0.903508771929825,0.307692307692308,0.195723684210526
"1985204",0.797337925516535,0.519774011299435,NA,0.134152334152334
"948601",0.82514903694923,0.848,1,0.202423018677436
"1331037",0.781481939013356,0.696296296296296,1,0
"1669601",0.687761619955016,0.981818181818182,1,0.466206216082881
"893041",0.798593053826717,0.848214285714286,0.814814814814815,0.123123123123123
"847832",0.834810630035191,0.936363636363636,1,0
"1102195",0.674107666359639,0.593984962406015,1,0
"592977",0.827467053458583,0.798449612403101,1,0.269134567283642
"1471895",0.773037585093457,0.56441717791411,0.646153846153846,0.196581196581197
"1958442",0.889776442621063,0.862068965517241,0.416666666666667,0.118003025718608
"948001",0.81995186976691,0.936363636363636,0.857142857142857,0.211682743837085
"964235",0.576803144545407,0.4321608040201,1,0
