"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.787752597942991,0.958904109589041,0.646341463414634,0.192468619246862
"223811",0.937665648966984,1,1,0
"1948107",0.723336224449799,0.972972972972973,NA,0.0197224251278305
"1962655",0.878858708089977,0.986486486486487,NA,0.133674214755296
"586116",0.605186896211091,0.972972972972973,1,0.21683440073193
"964155",0.804683532286051,0.958904109589041,1,0
"1942922",0.404409473255681,1,NA,0.762600438276114
"929647",0.765669891232295,0.972972972972973,1,0
"1338378",0.797546000805946,0.918918918918919,0.962962962962963,0.0197889182058048
"633346",0.767661881111635,0.986486486486487,1,NA
"1650389",0.580927479566756,0.916666666666667,NA,0.295836376917458
"1641245",0.799850156439568,0.986486486486487,NA,0.0971512052593134
"1663289",0.00495174347017488,0.777777777777778,1,0.0270055599682288
"618849",0.788969116091371,0.959459459459459,1,0
"1054084",0.727934345693246,0.986301369863014,NA,0.114682249817385
"811237",0.934728231310541,1,NA,0.139517896274653
"955492",0.548855283228663,1,1,0.00819672131147541
"948898",0.781468775113132,0.986301369863014,NA,0.0496712929145362
"8383",0.821972997363803,0.972972972972973,NA,0.195763330898466
"737498",0.604090360171527,0.814285714285714,NA,0.193571950328707
"1041019",0.920896345835239,0.986486486486487,NA,0.0825420014609204
"1985204",0.820284295359961,0.891891891891892,NA,0.121256391526662
"948601",0.774159474181137,0.986301369863014,NA,0.241051862673484
"1331037",0.812111650390934,0.959459459459459,1,0
"1669601",0.736129295379128,0.986486486486487,NA,0.257121986851717
"893041",0.8521839020168,0.945945945945946,0.918918918918919,0.0474683544303797
"847832",0.839311595875303,1,1,NA
"1102195",0.843674829147376,0.986486486486487,1,NA
"592977",0.810321566050905,0.958904109589041,NA,0.335281227173119
"1471895",0.81362334972351,0.986486486486487,1,0.0888888888888889
"1958442",0.92819568747676,0.986486486486487,NA,0.241051862673484
"948001",0.782148069835555,0.972602739726027,NA,0.135135135135135
"964235",0.655940324900435,0.958904109589041,1,0
"1650226",0.802046948371449,0.986486486486487,NA,0.0014609203798393
"8201",0.719945471308773,0.958904109589041,0.666666666666667,0.0691489361702128
"1546130",0.745713123776841,0.959459459459459,NA,0.487947406866326
"1221713",0.797922279457575,0.986301369863014,NA,0.196493791088386
"943424",0.617571722633215,0.972972972972973,NA,0.393718042366691
"706726",0.667295573398687,0.972972972972973,NA,0.322863403944485
"809906",0.534703597952732,0.961538461538462,NA,0.325785244704164
"611375",0.89377403297668,0.986486486486487,0.909090909090909,0
"1547003",0.77989635831097,0.986301369863014,NA,0.159240321402484
"1946494",0.915467752684617,1,NA,0.120525931336742
"1545927",0.462481164021734,1,NA,0.970051132213294
"618853",0.771098395092778,0.986301369863014,NA,0.260774287801315
"2008368",0.29426293172827,0.959459459459459,NA,0.111760409057706
"943904",0.575693749789937,0.945205479452055,NA,0.300949598246896
"1633630",0.889916699699558,0.945945945945946,1,0
"1114910",0.440225084032707,0.986486486486487,NA,0.95836376917458
"1023683",0.825197581459501,0.986486486486487,1,NA
"793205",0.778939157018564,0.986486486486487,NA,0.164353542731921
"1221771",0.526958564425389,0.972972972972973,NA,0.00365230094959825
